[epoch 1]  train_loss: 1.206  val_accuracy: 0.558  train_time: 23.95 s
[epoch 2]  train_loss: 0.997  val_accuracy: 0.577  train_time: 18.62 s
[epoch 3]  train_loss: 0.925  val_accuracy: 0.635  train_time: 19.83 s
[epoch 4]  train_loss: 0.872  val_accuracy: 0.635  train_time: 19.10 s
[epoch 5]  train_loss: 0.807  val_accuracy: 0.670  train_time: 19.15 s
[epoch 6]  train_loss: 0.773  val_accuracy: 0.712  train_time: 19.74 s
[epoch 7]  train_loss: 0.738  val_accuracy: 0.615  train_time: 20.12 s
[epoch 8]  train_loss: 0.727  val_accuracy: 0.676  train_time: 19.37 s
[epoch 9]  train_loss: 0.697  val_accuracy: 0.720  train_time: 19.28 s
[epoch 10]  train_loss: 0.686  val_accuracy: 0.684  train_time: 20.29 s
[epoch 11]  train_loss: 0.664  val_accuracy: 0.761  train_time: 19.43 s
[epoch 12]  train_loss: 0.667  val_accuracy: 0.712  train_time: 18.66 s
[epoch 13]  train_loss: 0.625  val_accuracy: 0.772  train_time: 19.50 s
[epoch 14]  train_loss: 0.604  val_accuracy: 0.734  train_time: 20.00 s
[epoch 15]  train_loss: 0.614  val_accuracy: 0.758  train_time: 19.85 s
[epoch 16]  train_loss: 0.595  val_accuracy: 0.766  train_time: 19.66 s
[epoch 17]  train_loss: 0.548  val_accuracy: 0.769  train_time: 18.70 s
[epoch 18]  train_loss: 0.550  val_accuracy: 0.780  train_time: 19.38 s
[epoch 19]  train_loss: 0.551  val_accuracy: 0.777  train_time: 20.15 s
[epoch 20]  train_loss: 0.528  val_accuracy: 0.794  train_time: 18.68 s
[epoch 21]  train_loss: 0.526  val_accuracy: 0.676  train_time: 19.03 s
[epoch 22]  train_loss: 0.526  val_accuracy: 0.777  train_time: 19.44 s
[epoch 23]  train_loss: 0.507  val_accuracy: 0.764  train_time: 19.41 s
[epoch 24]  train_loss: 0.482  val_accuracy: 0.668  train_time: 19.12 s
[epoch 25]  train_loss: 0.491  val_accuracy: 0.824  train_time: 19.58 s
[epoch 26]  train_loss: 0.492  val_accuracy: 0.769  train_time: 19.89 s
[epoch 27]  train_loss: 0.473  val_accuracy: 0.753  train_time: 18.66 s
[epoch 28]  train_loss: 0.442  val_accuracy: 0.791  train_time: 19.52 s
[epoch 29]  train_loss: 0.440  val_accuracy: 0.791  train_time: 20.42 s
[epoch 30]  train_loss: 0.456  val_accuracy: 0.783  train_time: 18.38 s
[epoch 31]  train_loss: 0.434  val_accuracy: 0.802  train_time: 19.03 s
[epoch 32]  train_loss: 0.406  val_accuracy: 0.805  train_time: 19.61 s
[epoch 33]  train_loss: 0.426  val_accuracy: 0.797  train_time: 19.99 s
[epoch 34]  train_loss: 0.403  val_accuracy: 0.799  train_time: 20.32 s
[epoch 35]  train_loss: 0.417  val_accuracy: 0.758  train_time: 18.49 s
[epoch 36]  train_loss: 0.419  val_accuracy: 0.830  train_time: 19.05 s
[epoch 37]  train_loss: 0.410  val_accuracy: 0.821  train_time: 19.49 s
[epoch 38]  train_loss: 0.386  val_accuracy: 0.775  train_time: 19.70 s
[epoch 39]  train_loss: 0.428  val_accuracy: 0.772  train_time: 18.23 s
[epoch 40]  train_loss: 0.379  val_accuracy: 0.797  train_time: 19.45 s
[epoch 41]  train_loss: 0.367  val_accuracy: 0.816  train_time: 20.43 s
[epoch 42]  train_loss: 0.354  val_accuracy: 0.802  train_time: 18.48 s
[epoch 43]  train_loss: 0.371  val_accuracy: 0.819  train_time: 18.79 s
[epoch 44]  train_loss: 0.363  val_accuracy: 0.802  train_time: 19.47 s
[epoch 45]  train_loss: 0.370  val_accuracy: 0.821  train_time: 19.54 s
[epoch 46]  train_loss: 0.379  val_accuracy: 0.799  train_time: 19.31 s
[epoch 47]  train_loss: 0.371  val_accuracy: 0.799  train_time: 18.89 s
[epoch 48]  train_loss: 0.354  val_accuracy: 0.810  train_time: 20.18 s
[epoch 49]  train_loss: 0.351  val_accuracy: 0.821  train_time: 19.59 s
[epoch 50]  train_loss: 0.338  val_accuracy: 0.799  train_time: 19.79 s
[epoch 51]  train_loss: 0.327  val_accuracy: 0.841  train_time: 18.28 s
[epoch 52]  train_loss: 0.345  val_accuracy: 0.816  train_time: 19.34 s
[epoch 53]  train_loss: 0.341  val_accuracy: 0.816  train_time: 20.21 s
[epoch 54]  train_loss: 0.301  val_accuracy: 0.824  train_time: 18.56 s
[epoch 55]  train_loss: 0.327  val_accuracy: 0.830  train_time: 18.76 s
[epoch 56]  train_loss: 0.327  val_accuracy: 0.827  train_time: 19.68 s
[epoch 57]  train_loss: 0.310  val_accuracy: 0.843  train_time: 20.41 s
[epoch 58]  train_loss: 0.317  val_accuracy: 0.819  train_time: 20.41 s
[epoch 59]  train_loss: 0.326  val_accuracy: 0.821  train_time: 20.10 s
[epoch 60]  train_loss: 0.293  val_accuracy: 0.819  train_time: 19.88 s
[epoch 61]  train_loss: 0.310  val_accuracy: 0.805  train_time: 18.30 s
[epoch 62]  train_loss: 0.324  val_accuracy: 0.791  train_time: 19.48 s
[epoch 63]  train_loss: 0.294  val_accuracy: 0.819  train_time: 20.36 s
[epoch 64]  train_loss: 0.288  val_accuracy: 0.832  train_time: 19.27 s
[epoch 65]  train_loss: 0.271  val_accuracy: 0.821  train_time: 20.22 s
[epoch 66]  train_loss: 0.303  val_accuracy: 0.857  train_time: 18.52 s
[epoch 67]  train_loss: 0.281  val_accuracy: 0.835  train_time: 19.12 s
[epoch 68]  train_loss: 0.281  val_accuracy: 0.827  train_time: 20.23 s
[epoch 69]  train_loss: 0.269  val_accuracy: 0.808  train_time: 18.42 s
[epoch 70]  train_loss: 0.290  val_accuracy: 0.805  train_time: 19.06 s
[epoch 71]  train_loss: 0.268  val_accuracy: 0.819  train_time: 19.38 s
[epoch 72]  train_loss: 0.267  val_accuracy: 0.843  train_time: 19.58 s
[epoch 73]  train_loss: 0.272  val_accuracy: 0.819  train_time: 18.92 s
[epoch 74]  train_loss: 0.256  val_accuracy: 0.819  train_time: 18.96 s
[epoch 75]  train_loss: 0.271  val_accuracy: 0.827  train_time: 20.24 s
[epoch 76]  train_loss: 0.253  val_accuracy: 0.841  train_time: 18.76 s
[epoch 77]  train_loss: 0.254  val_accuracy: 0.816  train_time: 19.50 s
[epoch 78]  train_loss: 0.289  val_accuracy: 0.827  train_time: 20.12 s
[epoch 79]  train_loss: 0.250  val_accuracy: 0.824  train_time: 18.89 s
[epoch 80]  train_loss: 0.254  val_accuracy: 0.824  train_time: 19.10 s
[epoch 81]  train_loss: 0.258  val_accuracy: 0.824  train_time: 18.95 s
[epoch 82]  train_loss: 0.270  val_accuracy: 0.819  train_time: 20.71 s
[epoch 83]  train_loss: 0.256  val_accuracy: 0.830  train_time: 20.10 s
[epoch 84]  train_loss: 0.248  val_accuracy: 0.827  train_time: 19.54 s
[epoch 85]  train_loss: 0.271  val_accuracy: 0.805  train_time: 20.58 s
[epoch 86]  train_loss: 0.243  val_accuracy: 0.832  train_time: 19.24 s
[epoch 87]  train_loss: 0.260  val_accuracy: 0.843  train_time: 19.96 s
[epoch 88]  train_loss: 0.236  val_accuracy: 0.841  train_time: 18.88 s
[epoch 89]  train_loss: 0.225  val_accuracy: 0.843  train_time: 18.66 s
[epoch 90]  train_loss: 0.204  val_accuracy: 0.827  train_time: 21.78 s
[epoch 91]  train_loss: 0.240  val_accuracy: 0.824  train_time: 18.70 s
[epoch 92]  train_loss: 0.250  val_accuracy: 0.819  train_time: 20.11 s
[epoch 93]  train_loss: 0.255  val_accuracy: 0.838  train_time: 20.80 s
[epoch 94]  train_loss: 0.215  val_accuracy: 0.857  train_time: 19.07 s
[epoch 95]  train_loss: 0.239  val_accuracy: 0.838  train_time: 19.00 s
[epoch 96]  train_loss: 0.209  val_accuracy: 0.849  train_time: 18.57 s
[epoch 97]  train_loss: 0.228  val_accuracy: 0.824  train_time: 20.44 s
[epoch 98]  train_loss: 0.225  val_accuracy: 0.821  train_time: 19.87 s
[epoch 99]  train_loss: 0.237  val_accuracy: 0.761  train_time: 19.01 s
[epoch 100]  train_loss: 0.212  val_accuracy: 0.813  train_time: 18.86 s
