[epoch 1]  train_loss: 1.160  val_accuracy: 0.585  train_time: 31.83 s
[epoch 2]  train_loss: 0.932  val_accuracy: 0.626  train_time: 24.61 s
[epoch 3]  train_loss: 0.866  val_accuracy: 0.684  train_time: 24.11 s
[epoch 4]  train_loss: 0.796  val_accuracy: 0.709  train_time: 23.95 s
[epoch 5]  train_loss: 0.766  val_accuracy: 0.695  train_time: 24.39 s
[epoch 6]  train_loss: 0.725  val_accuracy: 0.753  train_time: 23.43 s
[epoch 7]  train_loss: 0.669  val_accuracy: 0.706  train_time: 23.51 s
[epoch 8]  train_loss: 0.663  val_accuracy: 0.750  train_time: 22.75 s
[epoch 9]  train_loss: 0.631  val_accuracy: 0.602  train_time: 23.89 s
[epoch 10]  train_loss: 0.611  val_accuracy: 0.690  train_time: 23.24 s
[epoch 11]  train_loss: 0.589  val_accuracy: 0.777  train_time: 22.94 s
[epoch 12]  train_loss: 0.600  val_accuracy: 0.723  train_time: 23.24 s
[epoch 13]  train_loss: 0.549  val_accuracy: 0.728  train_time: 23.31 s
[epoch 14]  train_loss: 0.555  val_accuracy: 0.745  train_time: 23.15 s
[epoch 15]  train_loss: 0.527  val_accuracy: 0.794  train_time: 22.44 s
[epoch 16]  train_loss: 0.525  val_accuracy: 0.813  train_time: 22.95 s
[epoch 17]  train_loss: 0.506  val_accuracy: 0.758  train_time: 23.29 s
[epoch 18]  train_loss: 0.516  val_accuracy: 0.755  train_time: 22.23 s
[epoch 19]  train_loss: 0.476  val_accuracy: 0.799  train_time: 23.25 s
[epoch 20]  train_loss: 0.469  val_accuracy: 0.791  train_time: 23.00 s
[epoch 21]  train_loss: 0.450  val_accuracy: 0.775  train_time: 22.52 s
[epoch 22]  train_loss: 0.464  val_accuracy: 0.799  train_time: 23.95 s
[epoch 23]  train_loss: 0.445  val_accuracy: 0.775  train_time: 24.91 s
[epoch 24]  train_loss: 0.430  val_accuracy: 0.769  train_time: 24.69 s
[epoch 25]  train_loss: 0.435  val_accuracy: 0.775  train_time: 24.01 s
[epoch 26]  train_loss: 0.440  val_accuracy: 0.797  train_time: 23.51 s
[epoch 27]  train_loss: 0.413  val_accuracy: 0.841  train_time: 23.64 s
[epoch 28]  train_loss: 0.398  val_accuracy: 0.838  train_time: 23.98 s
[epoch 29]  train_loss: 0.373  val_accuracy: 0.827  train_time: 22.89 s
[epoch 30]  train_loss: 0.380  val_accuracy: 0.802  train_time: 23.65 s
[epoch 31]  train_loss: 0.375  val_accuracy: 0.830  train_time: 22.95 s
[epoch 32]  train_loss: 0.359  val_accuracy: 0.799  train_time: 22.88 s
[epoch 33]  train_loss: 0.379  val_accuracy: 0.797  train_time: 23.72 s
[epoch 34]  train_loss: 0.390  val_accuracy: 0.830  train_time: 23.68 s
[epoch 35]  train_loss: 0.368  val_accuracy: 0.849  train_time: 23.52 s
[epoch 36]  train_loss: 0.385  val_accuracy: 0.799  train_time: 23.51 s
[epoch 37]  train_loss: 0.347  val_accuracy: 0.783  train_time: 23.42 s
[epoch 38]  train_loss: 0.330  val_accuracy: 0.821  train_time: 23.31 s
[epoch 39]  train_loss: 0.361  val_accuracy: 0.821  train_time: 22.79 s
[epoch 40]  train_loss: 0.346  val_accuracy: 0.838  train_time: 23.48 s
[epoch 41]  train_loss: 0.335  val_accuracy: 0.824  train_time: 23.51 s
[epoch 42]  train_loss: 0.365  val_accuracy: 0.775  train_time: 22.18 s
[epoch 43]  train_loss: 0.305  val_accuracy: 0.838  train_time: 23.73 s
[epoch 44]  train_loss: 0.308  val_accuracy: 0.824  train_time: 23.29 s
[epoch 45]  train_loss: 0.306  val_accuracy: 0.830  train_time: 24.27 s
[epoch 46]  train_loss: 0.311  val_accuracy: 0.868  train_time: 23.83 s
[epoch 47]  train_loss: 0.319  val_accuracy: 0.813  train_time: 23.93 s
[epoch 48]  train_loss: 0.323  val_accuracy: 0.841  train_time: 24.75 s
[epoch 49]  train_loss: 0.297  val_accuracy: 0.849  train_time: 25.13 s
[epoch 50]  train_loss: 0.306  val_accuracy: 0.808  train_time: 23.61 s
[epoch 51]  train_loss: 0.287  val_accuracy: 0.843  train_time: 23.55 s
[epoch 52]  train_loss: 0.271  val_accuracy: 0.802  train_time: 24.80 s
[epoch 53]  train_loss: 0.269  val_accuracy: 0.838  train_time: 22.42 s
[epoch 54]  train_loss: 0.313  val_accuracy: 0.852  train_time: 23.19 s
[epoch 55]  train_loss: 0.304  val_accuracy: 0.854  train_time: 23.58 s
[epoch 56]  train_loss: 0.277  val_accuracy: 0.821  train_time: 23.30 s
[epoch 57]  train_loss: 0.287  val_accuracy: 0.816  train_time: 23.18 s
[epoch 58]  train_loss: 0.272  val_accuracy: 0.819  train_time: 23.51 s
[epoch 59]  train_loss: 0.269  val_accuracy: 0.821  train_time: 23.58 s
[epoch 60]  train_loss: 0.283  val_accuracy: 0.808  train_time: 23.55 s
[epoch 61]  train_loss: 0.280  val_accuracy: 0.791  train_time: 23.40 s
[epoch 62]  train_loss: 0.261  val_accuracy: 0.854  train_time: 23.80 s
[epoch 63]  train_loss: 0.263  val_accuracy: 0.827  train_time: 23.52 s
[epoch 64]  train_loss: 0.243  val_accuracy: 0.819  train_time: 23.31 s
[epoch 65]  train_loss: 0.243  val_accuracy: 0.849  train_time: 23.53 s
[epoch 66]  train_loss: 0.237  val_accuracy: 0.827  train_time: 23.58 s
[epoch 67]  train_loss: 0.278  val_accuracy: 0.860  train_time: 22.93 s
[epoch 68]  train_loss: 0.250  val_accuracy: 0.824  train_time: 23.87 s
[epoch 69]  train_loss: 0.259  val_accuracy: 0.830  train_time: 23.75 s
[epoch 70]  train_loss: 0.271  val_accuracy: 0.852  train_time: 23.92 s
[epoch 71]  train_loss: 0.235  val_accuracy: 0.846  train_time: 23.29 s
