[epoch 1]  train_loss: 1.591  val_accuracy: 0.318  train_time: 219.85 s
[epoch 2]  train_loss: 1.545  val_accuracy: 0.161  train_time: 214.33 s
[epoch 3]  train_loss: 1.548  val_accuracy: 0.455  train_time: 214.73 s
[epoch 4]  train_loss: 1.504  val_accuracy: 0.246  train_time: 214.08 s
[epoch 5]  train_loss: 1.465  val_accuracy: 0.393  train_time: 213.40 s
[epoch 6]  train_loss: 1.435  val_accuracy: 0.550  train_time: 213.64 s
[epoch 7]  train_loss: 1.362  val_accuracy: 0.431  train_time: 214.33 s
[epoch 8]  train_loss: 1.318  val_accuracy: 0.341  train_time: 213.66 s
[epoch 9]  train_loss: 1.267  val_accuracy: 0.616  train_time: 213.20 s
[epoch 10]  train_loss: 1.248  val_accuracy: 0.635  train_time: 213.88 s
[epoch 11]  train_loss: 1.192  val_accuracy: 0.659  train_time: 213.86 s
[epoch 12]  train_loss: 1.166  val_accuracy: 0.645  train_time: 215.04 s
[epoch 13]  train_loss: 1.191  val_accuracy: 0.716  train_time: 213.68 s
[epoch 14]  train_loss: 1.149  val_accuracy: 0.706  train_time: 213.12 s
[epoch 15]  train_loss: 1.155  val_accuracy: 0.692  train_time: 213.18 s
[epoch 16]  train_loss: 1.151  val_accuracy: 0.664  train_time: 213.21 s
[epoch 17]  train_loss: 1.100  val_accuracy: 0.692  train_time: 214.67 s
[epoch 18]  train_loss: 1.096  val_accuracy: 0.716  train_time: 216.44 s
[epoch 19]  train_loss: 1.100  val_accuracy: 0.716  train_time: 214.81 s
[epoch 20]  train_loss: 1.084  val_accuracy: 0.645  train_time: 213.52 s
[epoch 21]  train_loss: 1.106  val_accuracy: 0.711  train_time: 214.65 s
[epoch 22]  train_loss: 1.075  val_accuracy: 0.720  train_time: 213.63 s
[epoch 23]  train_loss: 1.037  val_accuracy: 0.725  train_time: 213.87 s
[epoch 24]  train_loss: 1.054  val_accuracy: 0.735  train_time: 214.52 s
[epoch 25]  train_loss: 1.009  val_accuracy: 0.735  train_time: 213.62 s
[epoch 26]  train_loss: 1.051  val_accuracy: 0.720  train_time: 212.78 s
[epoch 27]  train_loss: 1.047  val_accuracy: 0.730  train_time: 213.56 s
[epoch 28]  train_loss: 1.008  val_accuracy: 0.754  train_time: 212.25 s
[epoch 29]  train_loss: 0.986  val_accuracy: 0.782  train_time: 213.41 s
[epoch 30]  train_loss: 1.006  val_accuracy: 0.777  train_time: 212.64 s
