[epoch 1]  train_loss: 1.596  val_accuracy: 0.238  train_time: 210.21 s
[epoch 2]  train_loss: 1.552  val_accuracy: 0.316  train_time: 207.63 s
[epoch 3]  train_loss: 1.546  val_accuracy: 0.340  train_time: 208.60 s
[epoch 4]  train_loss: 1.525  val_accuracy: 0.358  train_time: 208.80 s
[epoch 5]  train_loss: 1.492  val_accuracy: 0.354  train_time: 207.69 s
[epoch 6]  train_loss: 1.492  val_accuracy: 0.389  train_time: 205.03 s
[epoch 7]  train_loss: 1.461  val_accuracy: 0.453  train_time: 204.14 s
[epoch 8]  train_loss: 1.413  val_accuracy: 0.417  train_time: 203.96 s
[epoch 9]  train_loss: 1.377  val_accuracy: 0.500  train_time: 203.29 s
[epoch 10]  train_loss: 1.317  val_accuracy: 0.550  train_time: 203.46 s
[epoch 11]  train_loss: 1.272  val_accuracy: 0.557  train_time: 203.82 s
[epoch 12]  train_loss: 1.240  val_accuracy: 0.519  train_time: 203.98 s
[epoch 13]  train_loss: 1.206  val_accuracy: 0.604  train_time: 204.42 s
[epoch 14]  train_loss: 1.197  val_accuracy: 0.545  train_time: 204.13 s
[epoch 15]  train_loss: 1.156  val_accuracy: 0.670  train_time: 203.70 s
[epoch 16]  train_loss: 1.127  val_accuracy: 0.651  train_time: 204.58 s
[epoch 17]  train_loss: 1.124  val_accuracy: 0.632  train_time: 204.25 s
[epoch 18]  train_loss: 1.096  val_accuracy: 0.601  train_time: 204.96 s
[epoch 19]  train_loss: 1.085  val_accuracy: 0.658  train_time: 204.99 s
[epoch 20]  train_loss: 1.105  val_accuracy: 0.658  train_time: 204.55 s
[epoch 21]  train_loss: 1.071  val_accuracy: 0.653  train_time: 204.17 s
[epoch 22]  train_loss: 1.079  val_accuracy: 0.700  train_time: 204.55 s
[epoch 23]  train_loss: 1.056  val_accuracy: 0.724  train_time: 204.12 s
[epoch 24]  train_loss: 1.075  val_accuracy: 0.686  train_time: 204.18 s
[epoch 25]  train_loss: 1.040  val_accuracy: 0.691  train_time: 204.61 s
[epoch 26]  train_loss: 1.028  val_accuracy: 0.686  train_time: 204.06 s
[epoch 27]  train_loss: 1.037  val_accuracy: 0.717  train_time: 204.49 s
[epoch 28]  train_loss: 1.003  val_accuracy: 0.724  train_time: 204.38 s
[epoch 29]  train_loss: 0.952  val_accuracy: 0.769  train_time: 205.91 s
[epoch 30]  train_loss: 1.026  val_accuracy: 0.722  train_time: 204.78 s
