[epoch 1]  train_loss: 1.408  val_accuracy: 0.510  train_time: 323.90 s
[epoch 2]  train_loss: 1.301  val_accuracy: 0.517  train_time: 326.39 s
[epoch 3]  train_loss: 1.250  val_accuracy: 0.533  train_time: 326.04 s
[epoch 4]  train_loss: 1.157  val_accuracy: 0.536  train_time: 323.17 s
[epoch 5]  train_loss: 1.113  val_accuracy: 0.690  train_time: 324.10 s
[epoch 6]  train_loss: 1.019  val_accuracy: 0.709  train_time: 322.45 s
[epoch 7]  train_loss: 0.989  val_accuracy: 0.709  train_time: 323.46 s
[epoch 8]  train_loss: 0.981  val_accuracy: 0.732  train_time: 325.12 s
[epoch 9]  train_loss: 0.959  val_accuracy: 0.747  train_time: 323.50 s
[epoch 10]  train_loss: 0.913  val_accuracy: 0.774  train_time: 323.94 s
[epoch 11]  train_loss: 0.919  val_accuracy: 0.739  train_time: 323.17 s
[epoch 12]  train_loss: 0.886  val_accuracy: 0.739  train_time: 324.13 s
[epoch 13]  train_loss: 0.886  val_accuracy: 0.751  train_time: 323.52 s
[epoch 14]  train_loss: 0.912  val_accuracy: 0.793  train_time: 322.92 s
[epoch 15]  train_loss: 0.871  val_accuracy: 0.797  train_time: 324.37 s
[epoch 16]  train_loss: 0.869  val_accuracy: 0.789  train_time: 323.18 s
[epoch 17]  train_loss: 0.874  val_accuracy: 0.782  train_time: 323.11 s
[epoch 18]  train_loss: 0.839  val_accuracy: 0.739  train_time: 324.23 s
[epoch 19]  train_loss: 0.782  val_accuracy: 0.762  train_time: 323.18 s
[epoch 20]  train_loss: 0.793  val_accuracy: 0.797  train_time: 322.23 s
[epoch 21]  train_loss: 0.790  val_accuracy: 0.824  train_time: 322.32 s
[epoch 22]  train_loss: 0.806  val_accuracy: 0.793  train_time: 322.66 s
[epoch 23]  train_loss: 0.782  val_accuracy: 0.828  train_time: 323.55 s
[epoch 24]  train_loss: 0.798  val_accuracy: 0.785  train_time: 323.13 s
[epoch 25]  train_loss: 0.794  val_accuracy: 0.824  train_time: 322.97 s
[epoch 26]  train_loss: 0.736  val_accuracy: 0.774  train_time: 323.73 s
[epoch 27]  train_loss: 0.759  val_accuracy: 0.862  train_time: 324.36 s
[epoch 28]  train_loss: 0.728  val_accuracy: 0.866  train_time: 324.38 s
[epoch 29]  train_loss: 0.734  val_accuracy: 0.881  train_time: 322.74 s
[epoch 30]  train_loss: 0.742  val_accuracy: 0.843  train_time: 323.22 s
[epoch 31]  train_loss: 0.719  val_accuracy: 0.839  train_time: 325.09 s
[epoch 32]  train_loss: 0.769  val_accuracy: 0.797  train_time: 324.09 s
[epoch 33]  train_loss: 0.706  val_accuracy: 0.812  train_time: 324.24 s
[epoch 34]  train_loss: 0.738  val_accuracy: 0.862  train_time: 324.15 s
[epoch 35]  train_loss: 0.735  val_accuracy: 0.831  train_time: 323.94 s
[epoch 36]  train_loss: 0.704  val_accuracy: 0.831  train_time: 323.58 s
[epoch 37]  train_loss: 0.716  val_accuracy: 0.858  train_time: 323.26 s
[epoch 38]  train_loss: 0.704  val_accuracy: 0.785  train_time: 324.06 s
[epoch 39]  train_loss: 0.684  val_accuracy: 0.904  train_time: 323.78 s
[epoch 40]  train_loss: 0.679  val_accuracy: 0.904  train_time: 323.24 s
[epoch 41]  train_loss: 0.660  val_accuracy: 0.828  train_time: 324.03 s
[epoch 42]  train_loss: 0.697  val_accuracy: 0.858  train_time: 325.10 s
[epoch 43]  train_loss: 0.651  val_accuracy: 0.824  train_time: 323.02 s
[epoch 44]  train_loss: 0.638  val_accuracy: 0.897  train_time: 324.86 s
[epoch 45]  train_loss: 0.652  val_accuracy: 0.854  train_time: 323.54 s
[epoch 46]  train_loss: 0.675  val_accuracy: 0.897  train_time: 322.62 s
[epoch 47]  train_loss: 0.640  val_accuracy: 0.877  train_time: 323.59 s
[epoch 48]  train_loss: 0.656  val_accuracy: 0.897  train_time: 324.84 s
[epoch 49]  train_loss: 0.665  val_accuracy: 0.885  train_time: 324.65 s
[epoch 50]  train_loss: 0.660  val_accuracy: 0.828  train_time: 328.30 s
[epoch 51]  train_loss: 0.648  val_accuracy: 0.908  train_time: 323.99 s
[epoch 52]  train_loss: 0.617  val_accuracy: 0.912  train_time: 322.11 s
[epoch 53]  train_loss: 0.617  val_accuracy: 0.916  train_time: 321.86 s
[epoch 54]  train_loss: 0.646  val_accuracy: 0.870  train_time: 323.39 s
[epoch 55]  train_loss: 0.708  val_accuracy: 0.881  train_time: 323.78 s
[epoch 56]  train_loss: 0.666  val_accuracy: 0.889  train_time: 325.26 s
[epoch 57]  train_loss: 0.650  val_accuracy: 0.874  train_time: 322.90 s
[epoch 58]  train_loss: 0.631  val_accuracy: 0.874  train_time: 324.33 s
[epoch 59]  train_loss: 0.635  val_accuracy: 0.897  train_time: 323.51 s
[epoch 60]  train_loss: 0.615  val_accuracy: 0.897  train_time: 324.21 s
[epoch 61]  train_loss: 0.656  val_accuracy: 0.851  train_time: 319.08 s
[epoch 62]  train_loss: 0.608  val_accuracy: 0.881  train_time: 322.17 s
[epoch 63]  train_loss: 0.628  val_accuracy: 0.877  train_time: 322.54 s
[epoch 64]  train_loss: 0.632  val_accuracy: 0.847  train_time: 322.82 s
[epoch 65]  train_loss: 0.596  val_accuracy: 0.885  train_time: 322.04 s
[epoch 66]  train_loss: 0.596  val_accuracy: 0.904  train_time: 321.48 s
[epoch 67]  train_loss: 0.622  val_accuracy: 0.858  train_time: 321.37 s
[epoch 68]  train_loss: 0.612  val_accuracy: 0.897  train_time: 321.59 s
[epoch 69]  train_loss: 0.620  val_accuracy: 0.900  train_time: 322.24 s
[epoch 70]  train_loss: 0.601  val_accuracy: 0.885  train_time: 321.74 s
[epoch 71]  train_loss: 0.583  val_accuracy: 0.874  train_time: 320.55 s
[epoch 72]  train_loss: 0.581  val_accuracy: 0.877  train_time: 320.63 s
[epoch 73]  train_loss: 0.591  val_accuracy: 0.889  train_time: 321.28 s
[epoch 74]  train_loss: 0.568  val_accuracy: 0.916  train_time: 321.91 s
[epoch 75]  train_loss: 0.580  val_accuracy: 0.908  train_time: 321.32 s
[epoch 76]  train_loss: 0.578  val_accuracy: 0.858  train_time: 322.19 s
[epoch 77]  train_loss: 0.574  val_accuracy: 0.897  train_time: 321.70 s
[epoch 78]  train_loss: 0.561  val_accuracy: 0.920  train_time: 322.43 s
[epoch 79]  train_loss: 0.559  val_accuracy: 0.912  train_time: 321.68 s
[epoch 80]  train_loss: 0.526  val_accuracy: 0.881  train_time: 326.52 s
[epoch 81]  train_loss: 0.554  val_accuracy: 0.912  train_time: 324.51 s
[epoch 82]  train_loss: 0.577  val_accuracy: 0.893  train_time: 323.38 s
[epoch 83]  train_loss: 0.544  val_accuracy: 0.920  train_time: 325.51 s
[epoch 84]  train_loss: 0.577  val_accuracy: 0.889  train_time: 322.36 s
[epoch 85]  train_loss: 0.574  val_accuracy: 0.870  train_time: 322.93 s
[epoch 86]  train_loss: 0.561  val_accuracy: 0.851  train_time: 323.33 s
[epoch 87]  train_loss: 0.548  val_accuracy: 0.897  train_time: 322.96 s
[epoch 88]  train_loss: 0.561  val_accuracy: 0.916  train_time: 322.98 s
[epoch 89]  train_loss: 0.572  val_accuracy: 0.912  train_time: 322.74 s
[epoch 90]  train_loss: 0.549  val_accuracy: 0.835  train_time: 323.32 s
[epoch 91]  train_loss: 0.535  val_accuracy: 0.920  train_time: 323.42 s
[epoch 92]  train_loss: 0.555  val_accuracy: 0.904  train_time: 322.85 s
[epoch 93]  train_loss: 0.507  val_accuracy: 0.874  train_time: 322.45 s
[epoch 94]  train_loss: 0.518  val_accuracy: 0.889  train_time: 324.85 s
[epoch 95]  train_loss: 0.553  val_accuracy: 0.900  train_time: 322.89 s
[epoch 96]  train_loss: 0.565  val_accuracy: 0.939  train_time: 323.24 s
[epoch 97]  train_loss: 0.553  val_accuracy: 0.904  train_time: 323.03 s
[epoch 98]  train_loss: 0.522  val_accuracy: 0.935  train_time: 322.51 s
[epoch 99]  train_loss: 0.545  val_accuracy: 0.866  train_time: 323.18 s
[epoch 100]  train_loss: 0.522  val_accuracy: 0.908  train_time: 323.93 s
