[epoch 1]  train_loss: 1.344  val_accuracy: 0.398  train_time: 253.91 s
[epoch 2]  train_loss: 1.289  val_accuracy: 0.498  train_time: 254.74 s
[epoch 3]  train_loss: 1.255  val_accuracy: 0.464  train_time: 254.09 s
[epoch 4]  train_loss: 1.281  val_accuracy: 0.517  train_time: 253.22 s
[epoch 5]  train_loss: 1.255  val_accuracy: 0.533  train_time: 253.05 s
[epoch 6]  train_loss: 1.204  val_accuracy: 0.582  train_time: 253.28 s
[epoch 7]  train_loss: 1.164  val_accuracy: 0.441  train_time: 254.89 s
[epoch 8]  train_loss: 1.134  val_accuracy: 0.659  train_time: 253.70 s
[epoch 9]  train_loss: 1.040  val_accuracy: 0.697  train_time: 253.67 s
[epoch 10]  train_loss: 1.036  val_accuracy: 0.682  train_time: 253.39 s
[epoch 11]  train_loss: 1.004  val_accuracy: 0.659  train_time: 253.73 s
[epoch 12]  train_loss: 1.024  val_accuracy: 0.701  train_time: 253.97 s
[epoch 13]  train_loss: 0.938  val_accuracy: 0.736  train_time: 254.52 s
[epoch 14]  train_loss: 0.920  val_accuracy: 0.728  train_time: 254.69 s
[epoch 15]  train_loss: 0.906  val_accuracy: 0.759  train_time: 254.53 s
[epoch 16]  train_loss: 0.931  val_accuracy: 0.774  train_time: 253.55 s
[epoch 17]  train_loss: 0.940  val_accuracy: 0.766  train_time: 255.15 s
[epoch 18]  train_loss: 0.903  val_accuracy: 0.739  train_time: 254.16 s
[epoch 19]  train_loss: 0.871  val_accuracy: 0.793  train_time: 253.29 s
[epoch 20]  train_loss: 0.888  val_accuracy: 0.793  train_time: 255.97 s
[epoch 21]  train_loss: 0.839  val_accuracy: 0.812  train_time: 256.05 s
[epoch 22]  train_loss: 0.859  val_accuracy: 0.808  train_time: 254.78 s
[epoch 23]  train_loss: 0.862  val_accuracy: 0.793  train_time: 255.91 s
[epoch 24]  train_loss: 0.867  val_accuracy: 0.793  train_time: 254.09 s
[epoch 25]  train_loss: 0.829  val_accuracy: 0.797  train_time: 254.00 s
[epoch 26]  train_loss: 0.858  val_accuracy: 0.759  train_time: 253.70 s
[epoch 27]  train_loss: 0.828  val_accuracy: 0.808  train_time: 255.76 s
[epoch 28]  train_loss: 0.816  val_accuracy: 0.805  train_time: 254.78 s
[epoch 29]  train_loss: 0.837  val_accuracy: 0.808  train_time: 255.32 s
[epoch 30]  train_loss: 0.793  val_accuracy: 0.797  train_time: 254.92 s
[epoch 31]  train_loss: 0.808  val_accuracy: 0.812  train_time: 254.65 s
[epoch 32]  train_loss: 0.784  val_accuracy: 0.839  train_time: 254.38 s
[epoch 33]  train_loss: 0.801  val_accuracy: 0.801  train_time: 255.95 s
[epoch 34]  train_loss: 0.819  val_accuracy: 0.808  train_time: 253.70 s
[epoch 35]  train_loss: 0.795  val_accuracy: 0.751  train_time: 253.76 s
[epoch 36]  train_loss: 0.782  val_accuracy: 0.762  train_time: 254.51 s
[epoch 37]  train_loss: 0.761  val_accuracy: 0.847  train_time: 255.37 s
[epoch 38]  train_loss: 0.780  val_accuracy: 0.851  train_time: 254.57 s
[epoch 39]  train_loss: 0.740  val_accuracy: 0.866  train_time: 255.12 s
[epoch 40]  train_loss: 0.735  val_accuracy: 0.670  train_time: 254.72 s
[epoch 41]  train_loss: 0.764  val_accuracy: 0.843  train_time: 254.62 s
[epoch 42]  train_loss: 0.737  val_accuracy: 0.816  train_time: 255.42 s
[epoch 43]  train_loss: 0.734  val_accuracy: 0.858  train_time: 256.05 s
[epoch 44]  train_loss: 0.732  val_accuracy: 0.762  train_time: 254.45 s
[epoch 45]  train_loss: 0.724  val_accuracy: 0.816  train_time: 256.21 s
[epoch 46]  train_loss: 0.715  val_accuracy: 0.854  train_time: 254.70 s
[epoch 47]  train_loss: 0.745  val_accuracy: 0.824  train_time: 255.34 s
[epoch 48]  train_loss: 0.734  val_accuracy: 0.805  train_time: 254.61 s
[epoch 49]  train_loss: 0.703  val_accuracy: 0.843  train_time: 254.76 s
[epoch 50]  train_loss: 0.701  val_accuracy: 0.820  train_time: 256.29 s
[epoch 51]  train_loss: 0.707  val_accuracy: 0.820  train_time: 255.48 s
[epoch 52]  train_loss: 0.668  val_accuracy: 0.816  train_time: 256.43 s
[epoch 53]  train_loss: 0.695  val_accuracy: 0.732  train_time: 254.79 s
[epoch 54]  train_loss: 0.700  val_accuracy: 0.854  train_time: 256.58 s
[epoch 55]  train_loss: 0.687  val_accuracy: 0.709  train_time: 255.05 s
[epoch 56]  train_loss: 0.696  val_accuracy: 0.575  train_time: 256.36 s
[epoch 57]  train_loss: 0.711  val_accuracy: 0.858  train_time: 257.87 s
[epoch 58]  train_loss: 0.685  val_accuracy: 0.793  train_time: 254.74 s
[epoch 59]  train_loss: 0.706  val_accuracy: 0.870  train_time: 256.06 s
[epoch 60]  train_loss: 0.668  val_accuracy: 0.789  train_time: 256.45 s
[epoch 61]  train_loss: 0.670  val_accuracy: 0.858  train_time: 254.96 s
[epoch 62]  train_loss: 0.655  val_accuracy: 0.686  train_time: 255.66 s
[epoch 63]  train_loss: 0.656  val_accuracy: 0.851  train_time: 254.91 s
[epoch 64]  train_loss: 0.668  val_accuracy: 0.705  train_time: 255.53 s
[epoch 65]  train_loss: 0.690  val_accuracy: 0.877  train_time: 253.75 s
[epoch 66]  train_loss: 0.643  val_accuracy: 0.885  train_time: 255.87 s
[epoch 67]  train_loss: 0.621  val_accuracy: 0.866  train_time: 255.96 s
[epoch 68]  train_loss: 0.643  val_accuracy: 0.870  train_time: 255.76 s
[epoch 69]  train_loss: 0.698  val_accuracy: 0.854  train_time: 255.55 s
[epoch 70]  train_loss: 0.666  val_accuracy: 0.625  train_time: 255.34 s
[epoch 71]  train_loss: 0.665  val_accuracy: 0.885  train_time: 256.69 s
[epoch 72]  train_loss: 0.657  val_accuracy: 0.866  train_time: 256.44 s
[epoch 73]  train_loss: 0.645  val_accuracy: 0.866  train_time: 255.05 s
[epoch 74]  train_loss: 0.647  val_accuracy: 0.858  train_time: 254.30 s
[epoch 75]  train_loss: 0.602  val_accuracy: 0.831  train_time: 256.25 s
[epoch 76]  train_loss: 0.625  val_accuracy: 0.820  train_time: 254.83 s
[epoch 77]  train_loss: 0.631  val_accuracy: 0.759  train_time: 255.27 s
[epoch 78]  train_loss: 0.627  val_accuracy: 0.693  train_time: 255.82 s
[epoch 79]  train_loss: 0.630  val_accuracy: 0.893  train_time: 255.30 s
[epoch 80]  train_loss: 0.608  val_accuracy: 0.674  train_time: 256.26 s
[epoch 81]  train_loss: 0.588  val_accuracy: 0.824  train_time: 255.39 s
[epoch 82]  train_loss: 0.598  val_accuracy: 0.897  train_time: 254.08 s
[epoch 83]  train_loss: 0.634  val_accuracy: 0.862  train_time: 254.63 s
[epoch 84]  train_loss: 0.633  val_accuracy: 0.893  train_time: 255.15 s
[epoch 85]  train_loss: 0.605  val_accuracy: 0.854  train_time: 258.37 s
[epoch 86]  train_loss: 0.600  val_accuracy: 0.885  train_time: 256.64 s
[epoch 87]  train_loss: 0.567  val_accuracy: 0.904  train_time: 256.25 s
[epoch 88]  train_loss: 0.610  val_accuracy: 0.889  train_time: 255.95 s
[epoch 89]  train_loss: 0.625  val_accuracy: 0.904  train_time: 256.07 s
[epoch 90]  train_loss: 0.604  val_accuracy: 0.839  train_time: 255.76 s
[epoch 91]  train_loss: 0.608  val_accuracy: 0.908  train_time: 255.68 s
[epoch 92]  train_loss: 0.581  val_accuracy: 0.874  train_time: 257.19 s
[epoch 93]  train_loss: 0.606  val_accuracy: 0.774  train_time: 255.66 s
[epoch 94]  train_loss: 0.577  val_accuracy: 0.870  train_time: 255.24 s
[epoch 95]  train_loss: 0.575  val_accuracy: 0.870  train_time: 256.32 s
[epoch 96]  train_loss: 0.567  val_accuracy: 0.897  train_time: 256.26 s
[epoch 97]  train_loss: 0.592  val_accuracy: 0.874  train_time: 255.65 s
[epoch 98]  train_loss: 0.597  val_accuracy: 0.659  train_time: 254.80 s
[epoch 99]  train_loss: 0.584  val_accuracy: 0.828  train_time: 255.78 s
[epoch 100]  train_loss: 0.576  val_accuracy: 0.897  train_time: 255.31 s
