[epoch 1]  train_loss: 1.347  val_accuracy: 0.395  train_time: 274.96 s
[epoch 2]  train_loss: 1.278  val_accuracy: 0.490  train_time: 267.61 s
[epoch 3]  train_loss: 1.302  val_accuracy: 0.460  train_time: 266.77 s
[epoch 4]  train_loss: 1.244  val_accuracy: 0.441  train_time: 266.26 s
[epoch 5]  train_loss: 1.243  val_accuracy: 0.464  train_time: 266.19 s
[epoch 6]  train_loss: 1.259  val_accuracy: 0.544  train_time: 265.43 s
[epoch 7]  train_loss: 1.195  val_accuracy: 0.559  train_time: 266.40 s
[epoch 8]  train_loss: 1.163  val_accuracy: 0.602  train_time: 268.87 s
[epoch 9]  train_loss: 1.213  val_accuracy: 0.648  train_time: 266.14 s
[epoch 10]  train_loss: 1.096  val_accuracy: 0.701  train_time: 266.52 s
[epoch 11]  train_loss: 1.016  val_accuracy: 0.693  train_time: 266.59 s
[epoch 12]  train_loss: 0.983  val_accuracy: 0.701  train_time: 266.23 s
[epoch 13]  train_loss: 0.991  val_accuracy: 0.751  train_time: 266.76 s
[epoch 14]  train_loss: 0.974  val_accuracy: 0.571  train_time: 266.43 s
[epoch 15]  train_loss: 0.947  val_accuracy: 0.759  train_time: 266.70 s
[epoch 16]  train_loss: 0.920  val_accuracy: 0.755  train_time: 266.68 s
[epoch 17]  train_loss: 0.888  val_accuracy: 0.693  train_time: 266.27 s
[epoch 18]  train_loss: 0.924  val_accuracy: 0.747  train_time: 266.38 s
[epoch 19]  train_loss: 0.900  val_accuracy: 0.778  train_time: 265.88 s
[epoch 20]  train_loss: 0.893  val_accuracy: 0.770  train_time: 265.78 s
[epoch 21]  train_loss: 0.918  val_accuracy: 0.782  train_time: 265.75 s
[epoch 22]  train_loss: 0.931  val_accuracy: 0.793  train_time: 266.79 s
[epoch 23]  train_loss: 0.856  val_accuracy: 0.805  train_time: 265.78 s
[epoch 24]  train_loss: 0.855  val_accuracy: 0.808  train_time: 266.70 s
[epoch 25]  train_loss: 0.841  val_accuracy: 0.812  train_time: 267.22 s
[epoch 26]  train_loss: 0.820  val_accuracy: 0.770  train_time: 266.52 s
[epoch 27]  train_loss: 0.850  val_accuracy: 0.793  train_time: 266.31 s
[epoch 28]  train_loss: 0.847  val_accuracy: 0.778  train_time: 266.82 s
[epoch 29]  train_loss: 0.851  val_accuracy: 0.824  train_time: 267.63 s
[epoch 30]  train_loss: 0.806  val_accuracy: 0.824  train_time: 267.73 s
[epoch 31]  train_loss: 0.780  val_accuracy: 0.805  train_time: 265.85 s
[epoch 32]  train_loss: 0.809  val_accuracy: 0.793  train_time: 266.31 s
[epoch 33]  train_loss: 0.781  val_accuracy: 0.835  train_time: 266.09 s
[epoch 34]  train_loss: 0.793  val_accuracy: 0.797  train_time: 267.20 s
[epoch 35]  train_loss: 0.789  val_accuracy: 0.808  train_time: 265.97 s
[epoch 36]  train_loss: 0.785  val_accuracy: 0.839  train_time: 267.07 s
[epoch 37]  train_loss: 0.784  val_accuracy: 0.854  train_time: 267.20 s
[epoch 38]  train_loss: 0.773  val_accuracy: 0.766  train_time: 267.02 s
[epoch 39]  train_loss: 0.772  val_accuracy: 0.812  train_time: 267.15 s
[epoch 40]  train_loss: 0.768  val_accuracy: 0.674  train_time: 266.27 s
[epoch 41]  train_loss: 0.732  val_accuracy: 0.778  train_time: 266.35 s
[epoch 42]  train_loss: 0.736  val_accuracy: 0.866  train_time: 268.23 s
[epoch 43]  train_loss: 0.741  val_accuracy: 0.854  train_time: 267.43 s
[epoch 44]  train_loss: 0.755  val_accuracy: 0.828  train_time: 267.15 s
[epoch 45]  train_loss: 0.699  val_accuracy: 0.877  train_time: 267.77 s
[epoch 46]  train_loss: 0.743  val_accuracy: 0.789  train_time: 267.28 s
[epoch 47]  train_loss: 0.745  val_accuracy: 0.743  train_time: 265.82 s
[epoch 48]  train_loss: 0.716  val_accuracy: 0.617  train_time: 266.54 s
[epoch 49]  train_loss: 0.721  val_accuracy: 0.847  train_time: 267.23 s
[epoch 50]  train_loss: 0.718  val_accuracy: 0.854  train_time: 267.50 s
[epoch 51]  train_loss: 0.704  val_accuracy: 0.793  train_time: 267.16 s
[epoch 52]  train_loss: 0.719  val_accuracy: 0.870  train_time: 265.70 s
[epoch 53]  train_loss: 0.694  val_accuracy: 0.839  train_time: 266.29 s
[epoch 54]  train_loss: 0.685  val_accuracy: 0.801  train_time: 266.92 s
[epoch 55]  train_loss: 0.683  val_accuracy: 0.828  train_time: 266.00 s
[epoch 56]  train_loss: 0.716  val_accuracy: 0.854  train_time: 266.91 s
[epoch 57]  train_loss: 0.707  val_accuracy: 0.897  train_time: 268.04 s
[epoch 58]  train_loss: 0.700  val_accuracy: 0.885  train_time: 266.40 s
[epoch 59]  train_loss: 0.681  val_accuracy: 0.862  train_time: 266.23 s
[epoch 60]  train_loss: 0.672  val_accuracy: 0.862  train_time: 267.27 s
[epoch 61]  train_loss: 0.651  val_accuracy: 0.877  train_time: 268.02 s
[epoch 62]  train_loss: 0.694  val_accuracy: 0.847  train_time: 268.06 s
[epoch 63]  train_loss: 0.695  val_accuracy: 0.885  train_time: 268.86 s
[epoch 64]  train_loss: 0.648  val_accuracy: 0.858  train_time: 266.35 s
[epoch 65]  train_loss: 0.683  val_accuracy: 0.851  train_time: 267.19 s
