[epoch 1]  train_loss: 1.377  val_accuracy: 0.410  train_time: 324.17 s
[epoch 2]  train_loss: 1.236  val_accuracy: 0.391  train_time: 324.09 s
[epoch 3]  train_loss: 1.151  val_accuracy: 0.602  train_time: 324.88 s
[epoch 4]  train_loss: 1.050  val_accuracy: 0.724  train_time: 324.06 s
[epoch 5]  train_loss: 0.980  val_accuracy: 0.709  train_time: 324.48 s
[epoch 6]  train_loss: 0.945  val_accuracy: 0.690  train_time: 323.71 s
[epoch 7]  train_loss: 0.963  val_accuracy: 0.759  train_time: 327.02 s
[epoch 8]  train_loss: 0.930  val_accuracy: 0.759  train_time: 325.03 s
[epoch 9]  train_loss: 0.946  val_accuracy: 0.801  train_time: 325.63 s
[epoch 10]  train_loss: 0.869  val_accuracy: 0.797  train_time: 326.22 s
[epoch 11]  train_loss: 0.903  val_accuracy: 0.808  train_time: 323.70 s
[epoch 12]  train_loss: 0.876  val_accuracy: 0.808  train_time: 324.42 s
[epoch 13]  train_loss: 0.882  val_accuracy: 0.774  train_time: 324.86 s
[epoch 14]  train_loss: 0.882  val_accuracy: 0.755  train_time: 324.43 s
[epoch 15]  train_loss: 0.814  val_accuracy: 0.743  train_time: 325.01 s
[epoch 16]  train_loss: 0.839  val_accuracy: 0.805  train_time: 325.83 s
[epoch 17]  train_loss: 0.792  val_accuracy: 0.805  train_time: 324.97 s
[epoch 18]  train_loss: 0.789  val_accuracy: 0.828  train_time: 324.30 s
[epoch 19]  train_loss: 0.823  val_accuracy: 0.701  train_time: 324.33 s
[epoch 20]  train_loss: 0.795  val_accuracy: 0.824  train_time: 325.07 s
[epoch 21]  train_loss: 0.805  val_accuracy: 0.824  train_time: 325.38 s
[epoch 22]  train_loss: 0.768  val_accuracy: 0.785  train_time: 325.44 s
[epoch 23]  train_loss: 0.768  val_accuracy: 0.728  train_time: 324.46 s
[epoch 24]  train_loss: 0.780  val_accuracy: 0.789  train_time: 324.72 s
[epoch 25]  train_loss: 0.759  val_accuracy: 0.862  train_time: 323.99 s
