[epoch 1]  train_loss: 1.385  val_accuracy: 0.460  train_time: 327.71 s
[epoch 2]  train_loss: 1.316  val_accuracy: 0.536  train_time: 327.74 s
[epoch 3]  train_loss: 1.195  val_accuracy: 0.563  train_time: 328.39 s
[epoch 4]  train_loss: 1.109  val_accuracy: 0.613  train_time: 329.29 s
[epoch 5]  train_loss: 1.013  val_accuracy: 0.747  train_time: 328.86 s
[epoch 6]  train_loss: 1.060  val_accuracy: 0.502  train_time: 329.60 s
[epoch 7]  train_loss: 1.017  val_accuracy: 0.728  train_time: 326.80 s
[epoch 8]  train_loss: 0.973  val_accuracy: 0.724  train_time: 330.09 s
[epoch 9]  train_loss: 0.926  val_accuracy: 0.770  train_time: 328.31 s
[epoch 10]  train_loss: 0.926  val_accuracy: 0.782  train_time: 333.05 s
[epoch 11]  train_loss: 0.939  val_accuracy: 0.770  train_time: 328.56 s
[epoch 12]  train_loss: 0.902  val_accuracy: 0.808  train_time: 328.89 s
[epoch 13]  train_loss: 0.909  val_accuracy: 0.793  train_time: 328.26 s
[epoch 14]  train_loss: 0.831  val_accuracy: 0.805  train_time: 328.93 s
[epoch 15]  train_loss: 0.842  val_accuracy: 0.755  train_time: 328.49 s
[epoch 16]  train_loss: 0.843  val_accuracy: 0.759  train_time: 328.68 s
[epoch 17]  train_loss: 0.813  val_accuracy: 0.797  train_time: 327.58 s
[epoch 18]  train_loss: 0.839  val_accuracy: 0.812  train_time: 329.04 s
[epoch 19]  train_loss: 0.812  val_accuracy: 0.808  train_time: 327.77 s
[epoch 20]  train_loss: 0.827  val_accuracy: 0.801  train_time: 328.39 s
[epoch 21]  train_loss: 0.767  val_accuracy: 0.770  train_time: 328.72 s
[epoch 22]  train_loss: 0.805  val_accuracy: 0.805  train_time: 328.78 s
[epoch 23]  train_loss: 0.815  val_accuracy: 0.835  train_time: 326.60 s
[epoch 24]  train_loss: 0.757  val_accuracy: 0.839  train_time: 328.14 s
[epoch 25]  train_loss: 0.732  val_accuracy: 0.831  train_time: 326.91 s
[epoch 26]  train_loss: 0.755  val_accuracy: 0.828  train_time: 326.89 s
[epoch 27]  train_loss: 0.750  val_accuracy: 0.774  train_time: 326.16 s
[epoch 28]  train_loss: 0.765  val_accuracy: 0.828  train_time: 328.82 s
