[epoch 1]  train_loss: 1.377  val_accuracy: 0.375  train_time: 451.46 s
[epoch 2]  train_loss: 1.318  val_accuracy: 0.506  train_time: 452.33 s
[epoch 3]  train_loss: 1.276  val_accuracy: 0.510  train_time: 451.79 s
[epoch 4]  train_loss: 1.244  val_accuracy: 0.460  train_time: 451.69 s
[epoch 5]  train_loss: 1.232  val_accuracy: 0.513  train_time: 451.33 s
[epoch 6]  train_loss: 1.209  val_accuracy: 0.590  train_time: 452.83 s
[epoch 7]  train_loss: 1.193  val_accuracy: 0.655  train_time: 451.39 s
[epoch 8]  train_loss: 1.108  val_accuracy: 0.598  train_time: 454.30 s
[epoch 9]  train_loss: 1.093  val_accuracy: 0.613  train_time: 451.14 s
[epoch 10]  train_loss: 1.049  val_accuracy: 0.728  train_time: 450.61 s
[epoch 11]  train_loss: 1.024  val_accuracy: 0.720  train_time: 450.82 s
[epoch 12]  train_loss: 0.987  val_accuracy: 0.709  train_time: 451.92 s
[epoch 13]  train_loss: 0.979  val_accuracy: 0.529  train_time: 449.29 s
[epoch 14]  train_loss: 1.037  val_accuracy: 0.743  train_time: 452.28 s
[epoch 15]  train_loss: 0.962  val_accuracy: 0.774  train_time: 450.87 s
[epoch 16]  train_loss: 0.923  val_accuracy: 0.487  train_time: 453.02 s
[epoch 17]  train_loss: 0.907  val_accuracy: 0.770  train_time: 452.48 s
[epoch 18]  train_loss: 0.933  val_accuracy: 0.782  train_time: 451.55 s
[epoch 19]  train_loss: 0.937  val_accuracy: 0.724  train_time: 452.14 s
[epoch 20]  train_loss: 0.921  val_accuracy: 0.801  train_time: 451.58 s
[epoch 21]  train_loss: 0.884  val_accuracy: 0.805  train_time: 451.59 s
[epoch 22]  train_loss: 0.883  val_accuracy: 0.770  train_time: 453.43 s
[epoch 23]  train_loss: 0.860  val_accuracy: 0.667  train_time: 451.71 s
[epoch 24]  train_loss: 0.838  val_accuracy: 0.755  train_time: 453.32 s
[epoch 25]  train_loss: 0.853  val_accuracy: 0.805  train_time: 453.00 s
[epoch 26]  train_loss: 0.835  val_accuracy: 0.801  train_time: 453.92 s
[epoch 27]  train_loss: 0.810  val_accuracy: 0.820  train_time: 451.20 s
[epoch 28]  train_loss: 0.831  val_accuracy: 0.820  train_time: 451.28 s
[epoch 29]  train_loss: 0.842  val_accuracy: 0.778  train_time: 452.78 s
[epoch 30]  train_loss: 0.823  val_accuracy: 0.797  train_time: 455.28 s
[epoch 31]  train_loss: 0.831  val_accuracy: 0.808  train_time: 452.14 s
[epoch 32]  train_loss: 0.775  val_accuracy: 0.747  train_time: 454.00 s
[epoch 33]  train_loss: 0.793  val_accuracy: 0.816  train_time: 451.69 s
[epoch 34]  train_loss: 0.821  val_accuracy: 0.843  train_time: 453.91 s
[epoch 35]  train_loss: 0.786  val_accuracy: 0.808  train_time: 452.20 s
[epoch 36]  train_loss: 0.756  val_accuracy: 0.751  train_time: 453.29 s
[epoch 37]  train_loss: 0.808  val_accuracy: 0.782  train_time: 452.73 s
[epoch 38]  train_loss: 0.775  val_accuracy: 0.828  train_time: 455.69 s
[epoch 39]  train_loss: 0.775  val_accuracy: 0.782  train_time: 454.62 s
[epoch 40]  train_loss: 0.767  val_accuracy: 0.785  train_time: 456.06 s
[epoch 41]  train_loss: 0.739  val_accuracy: 0.778  train_time: 454.56 s
[epoch 42]  train_loss: 0.755  val_accuracy: 0.751  train_time: 454.85 s
[epoch 43]  train_loss: 0.732  val_accuracy: 0.789  train_time: 452.81 s
[epoch 44]  train_loss: 0.777  val_accuracy: 0.747  train_time: 454.91 s
[epoch 45]  train_loss: 0.891  val_accuracy: 0.805  train_time: 452.99 s
[epoch 46]  train_loss: 0.788  val_accuracy: 0.820  train_time: 454.48 s
[epoch 47]  train_loss: 0.756  val_accuracy: 0.835  train_time: 454.95 s
[epoch 48]  train_loss: 0.732  val_accuracy: 0.824  train_time: 456.30 s
[epoch 49]  train_loss: 0.750  val_accuracy: 0.858  train_time: 452.65 s
[epoch 50]  train_loss: 0.740  val_accuracy: 0.808  train_time: 458.01 s
[epoch 51]  train_loss: 0.778  val_accuracy: 0.805  train_time: 453.34 s
[epoch 52]  train_loss: 0.731  val_accuracy: 0.835  train_time: 452.70 s
[epoch 53]  train_loss: 0.730  val_accuracy: 0.824  train_time: 454.25 s
[epoch 54]  train_loss: 0.699  val_accuracy: 0.831  train_time: 454.05 s
[epoch 55]  train_loss: 0.719  val_accuracy: 0.851  train_time: 454.75 s
[epoch 56]  train_loss: 0.709  val_accuracy: 0.789  train_time: 457.37 s
[epoch 57]  train_loss: 0.725  val_accuracy: 0.797  train_time: 454.91 s
[epoch 58]  train_loss: 0.708  val_accuracy: 0.866  train_time: 453.42 s
[epoch 59]  train_loss: 0.711  val_accuracy: 0.820  train_time: 453.80 s
[epoch 60]  train_loss: 0.709  val_accuracy: 0.858  train_time: 455.72 s
[epoch 61]  train_loss: 0.711  val_accuracy: 0.866  train_time: 454.86 s
[epoch 62]  train_loss: 0.725  val_accuracy: 0.847  train_time: 454.35 s
[epoch 63]  train_loss: 0.705  val_accuracy: 0.854  train_time: 455.38 s
[epoch 64]  train_loss: 0.679  val_accuracy: 0.628  train_time: 456.43 s
[epoch 65]  train_loss: 0.697  val_accuracy: 0.870  train_time: 455.91 s
[epoch 66]  train_loss: 0.695  val_accuracy: 0.874  train_time: 455.80 s
[epoch 67]  train_loss: 0.663  val_accuracy: 0.766  train_time: 454.84 s
[epoch 68]  train_loss: 0.690  val_accuracy: 0.858  train_time: 456.21 s
[epoch 69]  train_loss: 0.685  val_accuracy: 0.866  train_time: 457.08 s
[epoch 70]  train_loss: 0.666  val_accuracy: 0.816  train_time: 454.96 s
[epoch 71]  train_loss: 0.699  val_accuracy: 0.667  train_time: 456.34 s
[epoch 72]  train_loss: 0.685  val_accuracy: 0.847  train_time: 457.12 s
[epoch 73]  train_loss: 0.726  val_accuracy: 0.881  train_time: 456.22 s
[epoch 74]  train_loss: 0.676  val_accuracy: 0.885  train_time: 454.63 s
[epoch 75]  train_loss: 0.665  val_accuracy: 0.797  train_time: 453.85 s
[epoch 76]  train_loss: 0.649  val_accuracy: 0.854  train_time: 454.41 s
[epoch 77]  train_loss: 0.679  val_accuracy: 0.866  train_time: 456.57 s
[epoch 78]  train_loss: 0.657  val_accuracy: 0.870  train_time: 455.05 s
[epoch 79]  train_loss: 0.653  val_accuracy: 0.900  train_time: 455.84 s
[epoch 80]  train_loss: 0.625  val_accuracy: 0.866  train_time: 457.33 s
[epoch 81]  train_loss: 0.599  val_accuracy: 0.870  train_time: 456.73 s
[epoch 82]  train_loss: 0.641  val_accuracy: 0.828  train_time: 457.45 s
[epoch 83]  train_loss: 0.608  val_accuracy: 0.854  train_time: 456.08 s
[epoch 84]  train_loss: 0.631  val_accuracy: 0.789  train_time: 457.81 s
[epoch 85]  train_loss: 0.631  val_accuracy: 0.893  train_time: 457.22 s
[epoch 86]  train_loss: 0.580  val_accuracy: 0.877  train_time: 455.36 s
[epoch 87]  train_loss: 0.622  val_accuracy: 0.839  train_time: 455.87 s
[epoch 88]  train_loss: 0.638  val_accuracy: 0.889  train_time: 458.38 s
[epoch 89]  train_loss: 0.617  val_accuracy: 0.897  train_time: 457.47 s
[epoch 90]  train_loss: 0.618  val_accuracy: 0.874  train_time: 457.95 s
[epoch 91]  train_loss: 0.612  val_accuracy: 0.820  train_time: 456.49 s
[epoch 92]  train_loss: 0.619  val_accuracy: 0.893  train_time: 458.30 s
[epoch 93]  train_loss: 0.643  val_accuracy: 0.874  train_time: 459.19 s
[epoch 94]  train_loss: 0.613  val_accuracy: 0.858  train_time: 458.14 s
[epoch 95]  train_loss: 0.611  val_accuracy: 0.874  train_time: 458.18 s
[epoch 96]  train_loss: 0.602  val_accuracy: 0.835  train_time: 456.39 s
[epoch 97]  train_loss: 0.614  val_accuracy: 0.858  train_time: 457.68 s
[epoch 98]  train_loss: 0.643  val_accuracy: 0.835  train_time: 459.60 s
[epoch 99]  train_loss: 0.629  val_accuracy: 0.877  train_time: 458.13 s
[epoch 100]  train_loss: 0.639  val_accuracy: 0.885  train_time: 456.98 s
[epoch 101]  train_loss: 0.642  val_accuracy: 0.874  train_time: 460.68 s
[epoch 102]  train_loss: 0.611  val_accuracy: 0.881  train_time: 459.85 s
[epoch 103]  train_loss: 0.605  val_accuracy: 0.904  train_time: 459.34 s
[epoch 104]  train_loss: 0.582  val_accuracy: 0.659  train_time: 458.33 s
[epoch 105]  train_loss: 0.627  val_accuracy: 0.820  train_time: 458.16 s
[epoch 106]  train_loss: 0.583  val_accuracy: 0.920  train_time: 461.06 s
[epoch 107]  train_loss: 0.579  val_accuracy: 0.862  train_time: 459.76 s
[epoch 108]  train_loss: 0.585  val_accuracy: 0.904  train_time: 458.14 s
[epoch 109]  train_loss: 0.579  val_accuracy: 0.843  train_time: 459.88 s
[epoch 110]  train_loss: 0.571  val_accuracy: 0.900  train_time: 458.19 s
[epoch 111]  train_loss: 0.595  val_accuracy: 0.877  train_time: 459.85 s
[epoch 112]  train_loss: 0.576  val_accuracy: 0.889  train_time: 457.60 s
[epoch 113]  train_loss: 0.583  val_accuracy: 0.847  train_time: 458.33 s
[epoch 114]  train_loss: 0.623  val_accuracy: 0.893  train_time: 457.62 s
[epoch 115]  train_loss: 0.571  val_accuracy: 0.893  train_time: 457.51 s
[epoch 116]  train_loss: 0.567  val_accuracy: 0.835  train_time: 458.84 s
[epoch 117]  train_loss: 0.600  val_accuracy: 0.923  train_time: 459.36 s
[epoch 118]  train_loss: 0.552  val_accuracy: 0.893  train_time: 458.99 s
[epoch 119]  train_loss: 0.559  val_accuracy: 0.881  train_time: 459.06 s
[epoch 120]  train_loss: 0.568  val_accuracy: 0.897  train_time: 459.57 s
[epoch 121]  train_loss: 0.539  val_accuracy: 0.877  train_time: 459.32 s
[epoch 122]  train_loss: 0.575  val_accuracy: 0.874  train_time: 458.80 s
[epoch 123]  train_loss: 0.560  val_accuracy: 0.908  train_time: 458.60 s
[epoch 124]  train_loss: 0.613  val_accuracy: 0.575  train_time: 459.89 s
[epoch 125]  train_loss: 0.879  val_accuracy: 0.858  train_time: 459.16 s
[epoch 126]  train_loss: 0.676  val_accuracy: 0.874  train_time: 458.51 s
[epoch 127]  train_loss: 0.602  val_accuracy: 0.893  train_time: 459.04 s
[epoch 128]  train_loss: 0.603  val_accuracy: 0.900  train_time: 459.37 s
[epoch 129]  train_loss: 0.568  val_accuracy: 0.843  train_time: 457.90 s
[epoch 130]  train_loss: 0.576  val_accuracy: 0.900  train_time: 459.83 s
[epoch 131]  train_loss: 0.566  val_accuracy: 0.828  train_time: 460.45 s
[epoch 132]  train_loss: 0.546  val_accuracy: 0.885  train_time: 461.00 s
[epoch 133]  train_loss: 0.537  val_accuracy: 0.877  train_time: 459.49 s
[epoch 134]  train_loss: 0.540  val_accuracy: 0.904  train_time: 461.08 s
[epoch 135]  train_loss: 0.573  val_accuracy: 0.866  train_time: 459.80 s
[epoch 136]  train_loss: 0.515  val_accuracy: 0.893  train_time: 460.07 s
[epoch 137]  train_loss: 0.565  val_accuracy: 0.893  train_time: 459.26 s
[epoch 138]  train_loss: 0.625  val_accuracy: 0.885  train_time: 459.58 s
[epoch 139]  train_loss: 0.539  val_accuracy: 0.797  train_time: 459.41 s
[epoch 140]  train_loss: 0.560  val_accuracy: 0.904  train_time: 462.10 s
[epoch 141]  train_loss: 0.560  val_accuracy: 0.900  train_time: 460.62 s
[epoch 142]  train_loss: 0.550  val_accuracy: 0.912  train_time: 459.83 s
[epoch 143]  train_loss: 0.586  val_accuracy: 0.881  train_time: 460.32 s
[epoch 144]  train_loss: 0.544  val_accuracy: 0.866  train_time: 459.74 s
[epoch 145]  train_loss: 0.546  val_accuracy: 0.877  train_time: 459.60 s
