[epoch 1]  train_loss: 2.323  val_accuracy: 0.183  train_time: 0.13 s
[epoch 2]  train_loss: 0.345  val_accuracy: 0.861  train_time: 0.97 s
[epoch 3]  train_loss: 0.182  val_accuracy: 0.893  train_time: 1.82 s
[epoch 4]  train_loss: 0.170  val_accuracy: 0.908  train_time: 2.66 s
[epoch 5]  train_loss: 0.476  val_accuracy: 0.930  train_time: 3.53 s
[epoch 6]  train_loss: 0.193  val_accuracy: 0.934  train_time: 4.37 s
[epoch 7]  train_loss: 0.218  val_accuracy: 0.946  train_time: 5.22 s
[epoch 8]  train_loss: 0.092  val_accuracy: 0.946  train_time: 6.08 s
[epoch 9]  train_loss: 0.121  val_accuracy: 0.948  train_time: 6.95 s
[epoch 10]  train_loss: 0.145  val_accuracy: 0.956  train_time: 7.81 s
[epoch 11]  train_loss: 0.095  val_accuracy: 0.954  train_time: 8.68 s
[epoch 12]  train_loss: 0.137  val_accuracy: 0.965  train_time: 9.54 s
[epoch 13]  train_loss: 0.104  val_accuracy: 0.964  train_time: 10.39 s
[epoch 14]  train_loss: 0.112  val_accuracy: 0.963  train_time: 11.23 s
[epoch 15]  train_loss: 0.045  val_accuracy: 0.967  train_time: 12.08 s
[epoch 16]  train_loss: 0.102  val_accuracy: 0.965  train_time: 12.93 s
[epoch 17]  train_loss: 0.024  val_accuracy: 0.968  train_time: 13.79 s
[epoch 18]  train_loss: 0.016  val_accuracy: 0.971  train_time: 14.63 s
[epoch 19]  train_loss: 0.044  val_accuracy: 0.968  train_time: 15.49 s
[epoch 20]  train_loss: 0.052  val_accuracy: 0.969  train_time: 16.33 s
[epoch 21]  train_loss: 0.136  val_accuracy: 0.965  train_time: 17.18 s
[epoch 22]  train_loss: 0.115  val_accuracy: 0.968  train_time: 18.02 s
[epoch 23]  train_loss: 0.025  val_accuracy: 0.973  train_time: 18.87 s
[epoch 24]  train_loss: 0.274  val_accuracy: 0.972  train_time: 19.71 s
[epoch 25]  train_loss: 0.016  val_accuracy: 0.975  train_time: 0.14 s
[epoch 26]  train_loss: 0.068  val_accuracy: 0.971  train_time: 0.98 s
[epoch 27]  train_loss: 0.049  val_accuracy: 0.971  train_time: 1.83 s
[epoch 28]  train_loss: 0.021  val_accuracy: 0.970  train_time: 2.68 s
[epoch 29]  train_loss: 0.031  val_accuracy: 0.971  train_time: 3.55 s
[epoch 30]  train_loss: 0.029  val_accuracy: 0.976  train_time: 4.46 s
[epoch 31]  train_loss: 0.022  val_accuracy: 0.969  train_time: 5.32 s
[epoch 32]  train_loss: 0.027  val_accuracy: 0.973  train_time: 6.16 s
[epoch 33]  train_loss: 0.042  val_accuracy: 0.975  train_time: 7.02 s
[epoch 34]  train_loss: 0.018  val_accuracy: 0.970  train_time: 7.86 s
[epoch 35]  train_loss: 0.060  val_accuracy: 0.974  train_time: 8.72 s
[epoch 36]  train_loss: 0.074  val_accuracy: 0.973  train_time: 9.68 s
[epoch 37]  train_loss: 0.006  val_accuracy: 0.976  train_time: 10.58 s
[epoch 38]  train_loss: 0.110  val_accuracy: 0.977  train_time: 11.43 s
[epoch 39]  train_loss: 0.020  val_accuracy: 0.975  train_time: 12.29 s
[epoch 40]  train_loss: 0.029  val_accuracy: 0.976  train_time: 13.14 s
[epoch 41]  train_loss: 0.012  val_accuracy: 0.976  train_time: 13.98 s
[epoch 42]  train_loss: 0.061  val_accuracy: 0.977  train_time: 14.83 s
[epoch 43]  train_loss: 0.037  val_accuracy: 0.977  train_time: 15.67 s
[epoch 44]  train_loss: 0.013  val_accuracy: 0.977  train_time: 16.52 s
[epoch 45]  train_loss: 0.025  val_accuracy: 0.976  train_time: 17.36 s
[epoch 46]  train_loss: 0.026  val_accuracy: 0.971  train_time: 18.21 s
[epoch 47]  train_loss: 0.051  val_accuracy: 0.976  train_time: 19.06 s
[epoch 48]  train_loss: 0.018  val_accuracy: 0.975  train_time: 19.90 s
