[epoch 1]  train_loss: 2.315  val_accuracy: 0.110  train_time: 0.13 s
[epoch 2]  train_loss: 0.413  val_accuracy: 0.852  train_time: 0.99 s
[epoch 3]  train_loss: 0.669  val_accuracy: 0.883  train_time: 1.82 s
[epoch 4]  train_loss: 0.275  val_accuracy: 0.879  train_time: 2.67 s
[epoch 5]  train_loss: 0.151  val_accuracy: 0.919  train_time: 3.74 s
[epoch 6]  train_loss: 0.172  val_accuracy: 0.937  train_time: 4.65 s
[epoch 7]  train_loss: 0.175  val_accuracy: 0.937  train_time: 5.50 s
[epoch 8]  train_loss: 0.240  val_accuracy: 0.943  train_time: 6.35 s
[epoch 9]  train_loss: 0.079  val_accuracy: 0.943  train_time: 7.21 s
[epoch 10]  train_loss: 0.207  val_accuracy: 0.931  train_time: 8.08 s
[epoch 11]  train_loss: 0.241  val_accuracy: 0.951  train_time: 8.94 s
[epoch 12]  train_loss: 0.169  val_accuracy: 0.954  train_time: 9.80 s
[epoch 13]  train_loss: 0.231  val_accuracy: 0.951  train_time: 10.67 s
[epoch 14]  train_loss: 0.023  val_accuracy: 0.950  train_time: 11.53 s
[epoch 15]  train_loss: 0.054  val_accuracy: 0.949  train_time: 12.37 s
[epoch 16]  train_loss: 0.034  val_accuracy: 0.963  train_time: 13.24 s
[epoch 17]  train_loss: 0.086  val_accuracy: 0.963  train_time: 14.10 s
[epoch 18]  train_loss: 0.095  val_accuracy: 0.964  train_time: 14.94 s
[epoch 19]  train_loss: 0.067  val_accuracy: 0.965  train_time: 15.83 s
[epoch 20]  train_loss: 0.050  val_accuracy: 0.963  train_time: 16.69 s
[epoch 21]  train_loss: 0.035  val_accuracy: 0.960  train_time: 17.52 s
[epoch 22]  train_loss: 0.223  val_accuracy: 0.966  train_time: 18.36 s
[epoch 23]  train_loss: 0.234  val_accuracy: 0.961  train_time: 19.21 s
[epoch 24]  train_loss: 0.038  val_accuracy: 0.964  train_time: 20.04 s
[epoch 25]  train_loss: 0.041  val_accuracy: 0.961  train_time: 0.14 s
[epoch 26]  train_loss: 0.021  val_accuracy: 0.964  train_time: 0.98 s
[epoch 27]  train_loss: 0.050  val_accuracy: 0.969  train_time: 1.83 s
[epoch 28]  train_loss: 0.055  val_accuracy: 0.967  train_time: 2.68 s
[epoch 29]  train_loss: 0.047  val_accuracy: 0.968  train_time: 3.51 s
[epoch 30]  train_loss: 0.062  val_accuracy: 0.965  train_time: 4.35 s
[epoch 31]  train_loss: 0.144  val_accuracy: 0.969  train_time: 5.20 s
[epoch 32]  train_loss: 0.016  val_accuracy: 0.969  train_time: 6.06 s
[epoch 33]  train_loss: 0.051  val_accuracy: 0.967  train_time: 6.89 s
[epoch 34]  train_loss: 0.128  val_accuracy: 0.967  train_time: 7.73 s
[epoch 35]  train_loss: 0.144  val_accuracy: 0.973  train_time: 8.56 s
[epoch 36]  train_loss: 0.094  val_accuracy: 0.974  train_time: 9.41 s
[epoch 37]  train_loss: 0.020  val_accuracy: 0.971  train_time: 10.24 s
[epoch 38]  train_loss: 0.084  val_accuracy: 0.970  train_time: 11.09 s
[epoch 39]  train_loss: 0.184  val_accuracy: 0.964  train_time: 11.92 s
[epoch 40]  train_loss: 0.084  val_accuracy: 0.970  train_time: 12.92 s
[epoch 41]  train_loss: 0.055  val_accuracy: 0.969  train_time: 13.82 s
[epoch 42]  train_loss: 0.014  val_accuracy: 0.965  train_time: 14.67 s
[epoch 43]  train_loss: 0.038  val_accuracy: 0.974  train_time: 15.52 s
[epoch 44]  train_loss: 0.041  val_accuracy: 0.975  train_time: 16.40 s
[epoch 45]  train_loss: 0.034  val_accuracy: 0.972  train_time: 17.24 s
[epoch 46]  train_loss: 0.226  val_accuracy: 0.969  train_time: 18.08 s
[epoch 47]  train_loss: 0.046  val_accuracy: 0.974  train_time: 18.93 s
[epoch 48]  train_loss: 0.101  val_accuracy: 0.972  train_time: 19.84 s
