[epoch 1]  train_loss: 1.404  val_accuracy: 0.464  train_time: 75.70 s
[epoch 2]  train_loss: 1.253  val_accuracy: 0.498  train_time: 64.43 s
[epoch 3]  train_loss: 1.153  val_accuracy: 0.594  train_time: 64.17 s
[epoch 4]  train_loss: 1.089  val_accuracy: 0.563  train_time: 64.35 s
[epoch 5]  train_loss: 1.066  val_accuracy: 0.567  train_time: 64.41 s
[epoch 6]  train_loss: 1.004  val_accuracy: 0.720  train_time: 64.14 s
[epoch 7]  train_loss: 0.987  val_accuracy: 0.755  train_time: 64.37 s
[epoch 8]  train_loss: 0.933  val_accuracy: 0.774  train_time: 63.87 s
[epoch 9]  train_loss: 0.953  val_accuracy: 0.510  train_time: 64.52 s
[epoch 10]  train_loss: 0.915  val_accuracy: 0.762  train_time: 64.22 s
[epoch 11]  train_loss: 0.856  val_accuracy: 0.778  train_time: 64.07 s
[epoch 12]  train_loss: 0.851  val_accuracy: 0.805  train_time: 63.99 s
[epoch 13]  train_loss: 0.849  val_accuracy: 0.812  train_time: 63.94 s
[epoch 14]  train_loss: 0.821  val_accuracy: 0.789  train_time: 63.70 s
[epoch 15]  train_loss: 0.809  val_accuracy: 0.847  train_time: 64.06 s
[epoch 16]  train_loss: 0.803  val_accuracy: 0.858  train_time: 64.49 s
[epoch 17]  train_loss: 0.829  val_accuracy: 0.820  train_time: 64.35 s
[epoch 18]  train_loss: 0.807  val_accuracy: 0.843  train_time: 63.37 s
[epoch 19]  train_loss: 0.742  val_accuracy: 0.831  train_time: 64.36 s
[epoch 20]  train_loss: 0.737  val_accuracy: 0.801  train_time: 63.58 s
[epoch 21]  train_loss: 0.723  val_accuracy: 0.812  train_time: 64.41 s
[epoch 22]  train_loss: 0.687  val_accuracy: 0.828  train_time: 64.45 s
[epoch 23]  train_loss: 0.719  val_accuracy: 0.847  train_time: 64.05 s
[epoch 24]  train_loss: 0.699  val_accuracy: 0.889  train_time: 64.10 s
[epoch 25]  train_loss: 0.691  val_accuracy: 0.893  train_time: 64.00 s
[epoch 26]  train_loss: 0.687  val_accuracy: 0.870  train_time: 63.89 s
[epoch 27]  train_loss: 0.669  val_accuracy: 0.897  train_time: 64.27 s
[epoch 28]  train_loss: 0.658  val_accuracy: 0.866  train_time: 63.99 s
[epoch 29]  train_loss: 0.640  val_accuracy: 0.854  train_time: 64.20 s
[epoch 30]  train_loss: 0.676  val_accuracy: 0.881  train_time: 63.39 s
[epoch 31]  train_loss: 0.675  val_accuracy: 0.900  train_time: 63.92 s
[epoch 32]  train_loss: 0.688  val_accuracy: 0.889  train_time: 64.47 s
[epoch 33]  train_loss: 0.693  val_accuracy: 0.904  train_time: 63.45 s
[epoch 34]  train_loss: 0.644  val_accuracy: 0.908  train_time: 63.97 s
[epoch 35]  train_loss: 0.624  val_accuracy: 0.858  train_time: 63.30 s
[epoch 36]  train_loss: 0.644  val_accuracy: 0.866  train_time: 63.96 s
[epoch 37]  train_loss: 0.642  val_accuracy: 0.854  train_time: 64.00 s
[epoch 38]  train_loss: 0.613  val_accuracy: 0.885  train_time: 63.86 s
[epoch 39]  train_loss: 0.595  val_accuracy: 0.904  train_time: 64.28 s
[epoch 40]  train_loss: 0.600  val_accuracy: 0.858  train_time: 64.27 s
[epoch 41]  train_loss: 0.641  val_accuracy: 0.851  train_time: 64.09 s
[epoch 42]  train_loss: 0.615  val_accuracy: 0.885  train_time: 63.39 s
[epoch 43]  train_loss: 0.599  val_accuracy: 0.904  train_time: 63.91 s
[epoch 44]  train_loss: 0.614  val_accuracy: 0.912  train_time: 64.54 s
[epoch 45]  train_loss: 0.597  val_accuracy: 0.920  train_time: 63.76 s
[epoch 46]  train_loss: 0.614  val_accuracy: 0.874  train_time: 63.24 s
[epoch 47]  train_loss: 0.612  val_accuracy: 0.893  train_time: 64.32 s
[epoch 48]  train_loss: 0.594  val_accuracy: 0.885  train_time: 63.88 s
[epoch 49]  train_loss: 0.615  val_accuracy: 0.904  train_time: 64.48 s
[epoch 50]  train_loss: 0.600  val_accuracy: 0.904  train_time: 64.16 s
[epoch 51]  train_loss: 0.579  val_accuracy: 0.916  train_time: 64.00 s
[epoch 52]  train_loss: 0.560  val_accuracy: 0.908  train_time: 63.93 s
[epoch 53]  train_loss: 0.598  val_accuracy: 0.847  train_time: 63.96 s
[epoch 54]  train_loss: 0.540  val_accuracy: 0.862  train_time: 63.84 s
[epoch 55]  train_loss: 0.568  val_accuracy: 0.923  train_time: 63.90 s
[epoch 56]  train_loss: 0.581  val_accuracy: 0.843  train_time: 64.09 s
[epoch 57]  train_loss: 0.569  val_accuracy: 0.912  train_time: 64.05 s
[epoch 58]  train_loss: 0.595  val_accuracy: 0.931  train_time: 63.77 s
[epoch 59]  train_loss: 0.561  val_accuracy: 0.900  train_time: 64.08 s
[epoch 60]  train_loss: 0.587  val_accuracy: 0.893  train_time: 63.97 s
[epoch 61]  train_loss: 0.568  val_accuracy: 0.900  train_time: 63.89 s
[epoch 62]  train_loss: 0.573  val_accuracy: 0.843  train_time: 63.88 s
[epoch 63]  train_loss: 0.567  val_accuracy: 0.920  train_time: 63.84 s
[epoch 64]  train_loss: 0.577  val_accuracy: 0.916  train_time: 63.95 s
[epoch 65]  train_loss: 0.564  val_accuracy: 0.900  train_time: 63.95 s
[epoch 66]  train_loss: 0.574  val_accuracy: 0.931  train_time: 64.27 s
[epoch 67]  train_loss: 0.583  val_accuracy: 0.889  train_time: 64.44 s
[epoch 68]  train_loss: 0.608  val_accuracy: 0.851  train_time: 63.92 s
[epoch 69]  train_loss: 0.552  val_accuracy: 0.904  train_time: 63.28 s
[epoch 70]  train_loss: 0.530  val_accuracy: 0.916  train_time: 63.85 s
[epoch 71]  train_loss: 0.531  val_accuracy: 0.916  train_time: 64.38 s
[epoch 72]  train_loss: 0.555  val_accuracy: 0.916  train_time: 63.74 s
[epoch 73]  train_loss: 0.531  val_accuracy: 0.877  train_time: 63.64 s
