[epoch 1]  train_loss: 1.375  val_accuracy: 0.483  train_time: 75.32 s
[epoch 2]  train_loss: 1.178  val_accuracy: 0.602  train_time: 68.05 s
[epoch 3]  train_loss: 1.092  val_accuracy: 0.188  train_time: 68.34 s
[epoch 4]  train_loss: 1.086  val_accuracy: 0.667  train_time: 68.01 s
[epoch 5]  train_loss: 1.017  val_accuracy: 0.605  train_time: 67.84 s
[epoch 6]  train_loss: 0.988  val_accuracy: 0.705  train_time: 68.57 s
[epoch 7]  train_loss: 0.942  val_accuracy: 0.739  train_time: 67.93 s
[epoch 8]  train_loss: 0.906  val_accuracy: 0.678  train_time: 67.79 s
[epoch 9]  train_loss: 0.878  val_accuracy: 0.728  train_time: 67.76 s
[epoch 10]  train_loss: 0.910  val_accuracy: 0.774  train_time: 67.62 s
[epoch 11]  train_loss: 0.830  val_accuracy: 0.789  train_time: 67.41 s
[epoch 12]  train_loss: 0.896  val_accuracy: 0.762  train_time: 67.68 s
[epoch 13]  train_loss: 0.832  val_accuracy: 0.862  train_time: 67.36 s
[epoch 14]  train_loss: 0.802  val_accuracy: 0.874  train_time: 67.81 s
[epoch 15]  train_loss: 0.797  val_accuracy: 0.843  train_time: 67.95 s
[epoch 16]  train_loss: 0.757  val_accuracy: 0.812  train_time: 66.88 s
[epoch 17]  train_loss: 0.772  val_accuracy: 0.870  train_time: 66.88 s
[epoch 18]  train_loss: 0.752  val_accuracy: 0.831  train_time: 67.69 s
[epoch 19]  train_loss: 0.733  val_accuracy: 0.870  train_time: 67.84 s
[epoch 20]  train_loss: 0.748  val_accuracy: 0.847  train_time: 67.33 s
[epoch 21]  train_loss: 0.703  val_accuracy: 0.812  train_time: 66.92 s
[epoch 22]  train_loss: 0.706  val_accuracy: 0.881  train_time: 67.33 s
[epoch 23]  train_loss: 0.737  val_accuracy: 0.858  train_time: 67.59 s
[epoch 24]  train_loss: 0.745  val_accuracy: 0.839  train_time: 67.81 s
[epoch 25]  train_loss: 0.675  val_accuracy: 0.843  train_time: 67.78 s
[epoch 26]  train_loss: 0.665  val_accuracy: 0.824  train_time: 67.01 s
[epoch 27]  train_loss: 0.655  val_accuracy: 0.762  train_time: 67.63 s
[epoch 28]  train_loss: 0.629  val_accuracy: 0.893  train_time: 67.13 s
[epoch 29]  train_loss: 0.637  val_accuracy: 0.854  train_time: 67.97 s
[epoch 30]  train_loss: 0.643  val_accuracy: 0.908  train_time: 67.48 s
[epoch 31]  train_loss: 0.613  val_accuracy: 0.900  train_time: 67.73 s
[epoch 32]  train_loss: 0.632  val_accuracy: 0.900  train_time: 67.06 s
[epoch 33]  train_loss: 0.600  val_accuracy: 0.904  train_time: 67.22 s
[epoch 34]  train_loss: 0.664  val_accuracy: 0.897  train_time: 67.35 s
[epoch 35]  train_loss: 0.649  val_accuracy: 0.839  train_time: 66.88 s
[epoch 36]  train_loss: 0.666  val_accuracy: 0.900  train_time: 67.53 s
[epoch 37]  train_loss: 0.647  val_accuracy: 0.900  train_time: 68.21 s
[epoch 38]  train_loss: 0.607  val_accuracy: 0.897  train_time: 67.14 s
[epoch 39]  train_loss: 0.591  val_accuracy: 0.885  train_time: 67.87 s
[epoch 40]  train_loss: 0.603  val_accuracy: 0.912  train_time: 67.27 s
[epoch 41]  train_loss: 0.596  val_accuracy: 0.904  train_time: 67.26 s
[epoch 42]  train_loss: 0.625  val_accuracy: 0.916  train_time: 67.61 s
[epoch 43]  train_loss: 0.607  val_accuracy: 0.923  train_time: 67.01 s
[epoch 44]  train_loss: 0.606  val_accuracy: 0.912  train_time: 67.25 s
[epoch 45]  train_loss: 0.621  val_accuracy: 0.908  train_time: 67.26 s
[epoch 46]  train_loss: 0.585  val_accuracy: 0.881  train_time: 67.20 s
