[epoch 1]  train_loss: 2.813  val_accuracy: 0.448  train_time: 68.92 s
[epoch 2]  train_loss: 2.115  val_accuracy: 0.387  train_time: 62.43 s
[epoch 3]  train_loss: 2.074  val_accuracy: 0.471  train_time: 62.37 s
[epoch 4]  train_loss: 2.084  val_accuracy: 0.441  train_time: 61.69 s
[epoch 5]  train_loss: 2.078  val_accuracy: 0.429  train_time: 62.20 s
[epoch 6]  train_loss: 2.077  val_accuracy: 0.471  train_time: 62.23 s
[epoch 7]  train_loss: 2.057  val_accuracy: 0.410  train_time: 62.69 s
[epoch 8]  train_loss: 2.042  val_accuracy: 0.391  train_time: 61.92 s
[epoch 9]  train_loss: 2.030  val_accuracy: 0.467  train_time: 62.23 s
[epoch 10]  train_loss: 2.023  val_accuracy: 0.467  train_time: 61.92 s
[epoch 11]  train_loss: 2.017  val_accuracy: 0.483  train_time: 61.98 s
[epoch 12]  train_loss: 1.996  val_accuracy: 0.502  train_time: 61.90 s
[epoch 13]  train_loss: 2.001  val_accuracy: 0.490  train_time: 61.13 s
[epoch 14]  train_loss: 1.987  val_accuracy: 0.529  train_time: 61.78 s
[epoch 15]  train_loss: 1.963  val_accuracy: 0.544  train_time: 62.33 s
[epoch 16]  train_loss: 1.945  val_accuracy: 0.567  train_time: 61.68 s
[epoch 17]  train_loss: 1.961  val_accuracy: 0.433  train_time: 62.53 s
[epoch 18]  train_loss: 1.883  val_accuracy: 0.517  train_time: 62.04 s
[epoch 19]  train_loss: 1.872  val_accuracy: 0.567  train_time: 61.88 s
[epoch 20]  train_loss: 1.866  val_accuracy: 0.594  train_time: 62.13 s
[epoch 21]  train_loss: 1.821  val_accuracy: 0.548  train_time: 61.97 s
[epoch 22]  train_loss: 1.900  val_accuracy: 0.513  train_time: 61.93 s
[epoch 23]  train_loss: 1.788  val_accuracy: 0.628  train_time: 61.78 s
[epoch 24]  train_loss: 1.730  val_accuracy: 0.670  train_time: 62.55 s
[epoch 25]  train_loss: 1.760  val_accuracy: 0.613  train_time: 61.56 s
[epoch 26]  train_loss: 1.690  val_accuracy: 0.667  train_time: 62.47 s
[epoch 27]  train_loss: 1.658  val_accuracy: 0.705  train_time: 62.33 s
[epoch 28]  train_loss: 1.614  val_accuracy: 0.697  train_time: 62.73 s
[epoch 29]  train_loss: 1.574  val_accuracy: 0.743  train_time: 63.35 s
[epoch 30]  train_loss: 1.532  val_accuracy: 0.724  train_time: 61.95 s
[epoch 31]  train_loss: 1.539  val_accuracy: 0.743  train_time: 61.18 s
[epoch 32]  train_loss: 1.545  val_accuracy: 0.693  train_time: 61.79 s
[epoch 33]  train_loss: 1.566  val_accuracy: 0.751  train_time: 61.25 s
[epoch 34]  train_loss: 1.485  val_accuracy: 0.709  train_time: 61.99 s
[epoch 35]  train_loss: 1.461  val_accuracy: 0.728  train_time: 60.74 s
[epoch 36]  train_loss: 1.478  val_accuracy: 0.682  train_time: 62.66 s
[epoch 37]  train_loss: 1.430  val_accuracy: 0.762  train_time: 62.32 s
[epoch 38]  train_loss: 1.455  val_accuracy: 0.728  train_time: 62.19 s
[epoch 39]  train_loss: 1.397  val_accuracy: 0.785  train_time: 62.11 s
[epoch 40]  train_loss: 1.412  val_accuracy: 0.793  train_time: 62.47 s
[epoch 41]  train_loss: 1.370  val_accuracy: 0.762  train_time: 62.33 s
[epoch 42]  train_loss: 1.386  val_accuracy: 0.778  train_time: 62.40 s
[epoch 43]  train_loss: 1.372  val_accuracy: 0.785  train_time: 62.33 s
[epoch 44]  train_loss: 1.377  val_accuracy: 0.759  train_time: 62.64 s
[epoch 45]  train_loss: 1.366  val_accuracy: 0.774  train_time: 61.34 s
[epoch 46]  train_loss: 1.365  val_accuracy: 0.789  train_time: 62.01 s
[epoch 47]  train_loss: 1.298  val_accuracy: 0.797  train_time: 62.16 s
[epoch 48]  train_loss: 1.338  val_accuracy: 0.755  train_time: 62.36 s
[epoch 49]  train_loss: 1.288  val_accuracy: 0.808  train_time: 62.69 s
[epoch 50]  train_loss: 1.274  val_accuracy: 0.774  train_time: 62.24 s
[epoch 51]  train_loss: 1.323  val_accuracy: 0.785  train_time: 62.25 s
[epoch 52]  train_loss: 1.257  val_accuracy: 0.793  train_time: 62.28 s
[epoch 53]  train_loss: 1.287  val_accuracy: 0.782  train_time: 62.16 s
