[epoch 1]  train_loss: 1.373  val_accuracy: 0.510  train_time: 69.12 s
[epoch 2]  train_loss: 1.264  val_accuracy: 0.421  train_time: 59.09 s
[epoch 3]  train_loss: 1.220  val_accuracy: 0.533  train_time: 59.49 s
[epoch 4]  train_loss: 1.120  val_accuracy: 0.655  train_time: 60.23 s
[epoch 5]  train_loss: 1.088  val_accuracy: 0.655  train_time: 61.32 s
[epoch 6]  train_loss: 1.022  val_accuracy: 0.736  train_time: 58.94 s
[epoch 7]  train_loss: 0.984  val_accuracy: 0.728  train_time: 58.89 s
[epoch 8]  train_loss: 0.941  val_accuracy: 0.751  train_time: 59.41 s
[epoch 9]  train_loss: 0.977  val_accuracy: 0.724  train_time: 58.37 s
[epoch 10]  train_loss: 0.940  val_accuracy: 0.774  train_time: 58.33 s
[epoch 11]  train_loss: 0.953  val_accuracy: 0.720  train_time: 59.12 s
[epoch 12]  train_loss: 0.943  val_accuracy: 0.789  train_time: 58.35 s
[epoch 13]  train_loss: 0.896  val_accuracy: 0.774  train_time: 58.94 s
[epoch 14]  train_loss: 0.906  val_accuracy: 0.801  train_time: 58.98 s
[epoch 15]  train_loss: 0.859  val_accuracy: 0.751  train_time: 59.27 s
[epoch 16]  train_loss: 0.850  val_accuracy: 0.828  train_time: 59.47 s
[epoch 17]  train_loss: 0.833  val_accuracy: 0.778  train_time: 58.42 s
[epoch 18]  train_loss: 0.818  val_accuracy: 0.805  train_time: 58.98 s
[epoch 19]  train_loss: 0.817  val_accuracy: 0.828  train_time: 58.96 s
[epoch 20]  train_loss: 0.807  val_accuracy: 0.828  train_time: 58.75 s
[epoch 21]  train_loss: 0.824  val_accuracy: 0.797  train_time: 58.17 s
[epoch 22]  train_loss: 0.768  val_accuracy: 0.847  train_time: 58.77 s
[epoch 23]  train_loss: 0.801  val_accuracy: 0.885  train_time: 58.13 s
[epoch 24]  train_loss: 0.781  val_accuracy: 0.824  train_time: 58.58 s
[epoch 25]  train_loss: 0.786  val_accuracy: 0.870  train_time: 60.84 s
