[epoch 1]  train_loss: 1.389  val_accuracy: 0.556  train_time: 67.79 s
[epoch 2]  train_loss: 1.284  val_accuracy: 0.456  train_time: 57.80 s
[epoch 3]  train_loss: 1.258  val_accuracy: 0.559  train_time: 58.58 s
[epoch 4]  train_loss: 1.233  val_accuracy: 0.506  train_time: 60.03 s
[epoch 5]  train_loss: 1.252  val_accuracy: 0.521  train_time: 59.47 s
[epoch 6]  train_loss: 1.197  val_accuracy: 0.414  train_time: 59.43 s
[epoch 7]  train_loss: 1.161  val_accuracy: 0.510  train_time: 58.48 s
[epoch 8]  train_loss: 1.137  val_accuracy: 0.621  train_time: 60.18 s
[epoch 9]  train_loss: 1.065  val_accuracy: 0.670  train_time: 59.80 s
[epoch 10]  train_loss: 1.026  val_accuracy: 0.663  train_time: 59.13 s
[epoch 11]  train_loss: 1.021  val_accuracy: 0.759  train_time: 59.72 s
[epoch 12]  train_loss: 1.010  val_accuracy: 0.720  train_time: 58.36 s
[epoch 13]  train_loss: 0.940  val_accuracy: 0.709  train_time: 60.06 s
[epoch 14]  train_loss: 0.978  val_accuracy: 0.617  train_time: 59.50 s
[epoch 15]  train_loss: 0.904  val_accuracy: 0.732  train_time: 60.28 s
[epoch 16]  train_loss: 0.890  val_accuracy: 0.770  train_time: 60.36 s
[epoch 17]  train_loss: 0.910  val_accuracy: 0.805  train_time: 59.17 s
[epoch 18]  train_loss: 0.877  val_accuracy: 0.805  train_time: 59.09 s
[epoch 19]  train_loss: 0.852  val_accuracy: 0.716  train_time: 59.85 s
[epoch 20]  train_loss: 0.877  val_accuracy: 0.778  train_time: 59.68 s
[epoch 21]  train_loss: 0.848  val_accuracy: 0.441  train_time: 60.27 s
[epoch 22]  train_loss: 0.869  val_accuracy: 0.743  train_time: 61.09 s
[epoch 23]  train_loss: 0.852  val_accuracy: 0.801  train_time: 60.52 s
[epoch 24]  train_loss: 0.882  val_accuracy: 0.770  train_time: 60.59 s
[epoch 25]  train_loss: 0.837  val_accuracy: 0.701  train_time: 59.49 s
[epoch 26]  train_loss: 0.843  val_accuracy: 0.785  train_time: 59.94 s
[epoch 27]  train_loss: 0.839  val_accuracy: 0.789  train_time: 59.75 s
[epoch 28]  train_loss: 0.833  val_accuracy: 0.778  train_time: 59.85 s
[epoch 29]  train_loss: 0.850  val_accuracy: 0.816  train_time: 60.54 s
[epoch 30]  train_loss: 0.807  val_accuracy: 0.778  train_time: 60.81 s
[epoch 31]  train_loss: 0.843  val_accuracy: 0.801  train_time: 60.86 s
[epoch 32]  train_loss: 0.800  val_accuracy: 0.805  train_time: 60.26 s
[epoch 33]  train_loss: 0.771  val_accuracy: 0.590  train_time: 60.67 s
[epoch 34]  train_loss: 0.794  val_accuracy: 0.816  train_time: 59.96 s
[epoch 35]  train_loss: 0.770  val_accuracy: 0.805  train_time: 60.29 s
[epoch 36]  train_loss: 0.764  val_accuracy: 0.805  train_time: 60.27 s
[epoch 37]  train_loss: 0.778  val_accuracy: 0.797  train_time: 60.08 s
[epoch 38]  train_loss: 0.742  val_accuracy: 0.843  train_time: 60.09 s
[epoch 39]  train_loss: 0.750  val_accuracy: 0.854  train_time: 60.35 s
[epoch 40]  train_loss: 0.719  val_accuracy: 0.874  train_time: 60.01 s
[epoch 41]  train_loss: 0.742  val_accuracy: 0.801  train_time: 59.25 s
[epoch 42]  train_loss: 0.744  val_accuracy: 0.828  train_time: 60.20 s
[epoch 43]  train_loss: 0.720  val_accuracy: 0.835  train_time: 60.64 s
[epoch 44]  train_loss: 0.757  val_accuracy: 0.866  train_time: 60.27 s
[epoch 45]  train_loss: 0.722  val_accuracy: 0.862  train_time: 60.40 s
[epoch 46]  train_loss: 0.729  val_accuracy: 0.831  train_time: 59.51 s
