
[epoch 1]  train_loss: 1.329  val_accuracy: 0.445  train_time: 74.17 s
[epoch 2]  train_loss: 1.263  val_accuracy: 0.521  train_time: 62.37 s
[epoch 3]  train_loss: 1.190  val_accuracy: 0.500  train_time: 62.23 s
[epoch 4]  train_loss: 1.149  val_accuracy: 0.641  train_time: 61.48 s
[epoch 5]  train_loss: 1.035  val_accuracy: 0.676  train_time: 62.42 s
[epoch 6]  train_loss: 0.998  val_accuracy: 0.693  train_time: 62.21 s
[epoch 7]  train_loss: 0.945  val_accuracy: 0.706  train_time: 62.03 s
[epoch 8]  train_loss: 0.968  val_accuracy: 0.653  train_time: 61.99 s
[epoch 9]  train_loss: 0.902  val_accuracy: 0.742  train_time: 62.09 s
[epoch 10]  train_loss: 0.917  val_accuracy: 0.658  train_time: 61.85 s
[epoch 11]  train_loss: 0.902  val_accuracy: 0.758  train_time: 61.93 s
[epoch 12]  train_loss: 0.865  val_accuracy: 0.769  train_time: 61.92 s
[epoch 13]  train_loss: 0.866  val_accuracy: 0.767  train_time: 61.26 s
[epoch 14]  train_loss: 0.869  val_accuracy: 0.790  train_time: 61.99 s
[epoch 15]  train_loss: 0.850  val_accuracy: 0.773  train_time: 61.36 s
[epoch 16]  train_loss: 0.808  val_accuracy: 0.721  train_time: 61.43 s
[epoch 17]  train_loss: 0.855  val_accuracy: 0.826  train_time: 62.35 s
[epoch 18]  train_loss: 0.838  val_accuracy: 0.706  train_time: 61.66 s
[epoch 19]  train_loss: 0.829  val_accuracy: 0.737  train_time: 62.05 s
[epoch 20]  train_loss: 0.783  val_accuracy: 0.809  train_time: 61.83 s
[epoch 21]  train_loss: 0.788  val_accuracy: 0.710  train_time: 61.90 s
[epoch 22]  train_loss: 0.785  val_accuracy: 0.769  train_time: 62.14 s
[epoch 23]  train_loss: 0.784  val_accuracy: 0.634  train_time: 61.95 s
[epoch 24]  train_loss: 0.792  val_accuracy: 0.836  train_time: 61.40 s
[epoch 25]  train_loss: 0.742  val_accuracy: 0.844  train_time: 62.28 s
[epoch 26]  train_loss: 0.738  val_accuracy: 0.859  train_time: 61.71 s
[epoch 27]  train_loss: 0.751  val_accuracy: 0.863  train_time: 62.31 s
[epoch 28]  train_loss: 0.753  val_accuracy: 0.893  train_time: 61.92 s
[epoch 29]  train_loss: 0.727  val_accuracy: 0.876  train_time: 61.68 s
[epoch 30]  train_loss: 0.688  val_accuracy: 0.813  train_time: 62.18 s
[epoch 31]  train_loss: 0.733  val_accuracy: 0.819  train_time: 62.17 s
