[epoch 1]  train_loss: 1.351  val_accuracy: 0.240  train_time: 73.42 s
[epoch 2]  train_loss: 1.170  val_accuracy: 0.540  train_time: 65.30 s
[epoch 3]  train_loss: 1.137  val_accuracy: 0.561  train_time: 65.06 s
[epoch 4]  train_loss: 1.076  val_accuracy: 0.628  train_time: 65.04 s
[epoch 5]  train_loss: 1.044  val_accuracy: 0.477  train_time: 64.58 s
[epoch 6]  train_loss: 1.007  val_accuracy: 0.698  train_time: 64.79 s
[epoch 7]  train_loss: 0.984  val_accuracy: 0.735  train_time: 64.86 s
[epoch 8]  train_loss: 0.956  val_accuracy: 0.651  train_time: 64.97 s
[epoch 9]  train_loss: 0.884  val_accuracy: 0.725  train_time: 65.04 s
[epoch 10]  train_loss: 0.882  val_accuracy: 0.737  train_time: 65.26 s
[epoch 11]  train_loss: 0.897  val_accuracy: 0.750  train_time: 64.64 s
[epoch 12]  train_loss: 0.859  val_accuracy: 0.723  train_time: 64.85 s
[epoch 13]  train_loss: 0.872  val_accuracy: 0.779  train_time: 64.71 s
[epoch 14]  train_loss: 0.825  val_accuracy: 0.821  train_time: 64.95 s
[epoch 15]  train_loss: 0.825  val_accuracy: 0.842  train_time: 64.24 s
[epoch 16]  train_loss: 0.764  val_accuracy: 0.641  train_time: 64.77 s
[epoch 17]  train_loss: 0.791  val_accuracy: 0.679  train_time: 64.92 s
[epoch 18]  train_loss: 0.746  val_accuracy: 0.826  train_time: 64.62 s
[epoch 19]  train_loss: 0.748  val_accuracy: 0.857  train_time: 64.91 s
[epoch 20]  train_loss: 0.724  val_accuracy: 0.802  train_time: 65.01 s
[epoch 21]  train_loss: 0.729  val_accuracy: 0.811  train_time: 65.07 s
[epoch 22]  train_loss: 0.729  val_accuracy: 0.830  train_time: 64.33 s
[epoch 23]  train_loss: 0.704  val_accuracy: 0.885  train_time: 65.00 s
[epoch 24]  train_loss: 0.674  val_accuracy: 0.880  train_time: 64.97 s
[epoch 25]  train_loss: 0.684  val_accuracy: 0.868  train_time: 64.79 s
[epoch 26]  train_loss: 0.660  val_accuracy: 0.855  train_time: 65.36 s
[epoch 27]  train_loss: 0.640  val_accuracy: 0.880  train_time: 65.12 s
[epoch 28]  train_loss: 0.642  val_accuracy: 0.826  train_time: 65.48 s
[epoch 29]  train_loss: 0.649  val_accuracy: 0.817  train_time: 65.19 s
[epoch 30]  train_loss: 0.643  val_accuracy: 0.861  train_time: 65.40 s
[epoch 31]  train_loss: 0.663  val_accuracy: 0.866  train_time: 65.18 s
[epoch 32]  train_loss: 0.642  val_accuracy: 0.878  train_time: 65.16 s
[epoch 33]  train_loss: 0.626  val_accuracy: 0.872  train_time: 64.99 s
[epoch 34]  train_loss: 0.622  val_accuracy: 0.895  train_time: 65.33 s
[epoch 35]  train_loss: 0.615  val_accuracy: 0.876  train_time: 64.45 s
[epoch 36]  train_loss: 0.649  val_accuracy: 0.910  train_time: 64.56 s
[epoch 37]  train_loss: 0.613  val_accuracy: 0.878  train_time: 64.76 s
[epoch 38]  train_loss: 0.634  val_accuracy: 0.889  train_time: 64.94 s
[epoch 39]  train_loss: 0.606  val_accuracy: 0.855  train_time: 64.81 s
[epoch 40]  train_loss: 0.615  val_accuracy: 0.872  train_time: 64.59 s
[epoch 41]  train_loss: 0.636  val_accuracy: 0.885  train_time: 64.64 s
[epoch 42]  train_loss: 0.624  val_accuracy: 0.834  train_time: 65.32 s
[epoch 43]  train_loss: 0.569  val_accuracy: 0.876  train_time: 65.14 s
[epoch 44]  train_loss: 0.607  val_accuracy: 0.901  train_time: 65.19 s
[epoch 45]  train_loss: 0.569  val_accuracy: 0.912  train_time: 65.36 s
[epoch 46]  train_loss: 0.601  val_accuracy: 0.901  train_time: 65.47 s
[epoch 47]  train_loss: 0.569  val_accuracy: 0.891  train_time: 65.27 s
[epoch 48]  train_loss: 0.573  val_accuracy: 0.933  train_time: 64.11 s
[epoch 49]  train_loss: 0.594  val_accuracy: 0.891  train_time: 64.72 s
[epoch 50]  train_loss: 0.575  val_accuracy: 0.903  train_time: 64.59 s
[epoch 51]  train_loss: 0.565  val_accuracy: 0.895  train_time: 64.74 s
[epoch 52]  train_loss: 0.598  val_accuracy: 0.885  train_time: 63.94 s
[epoch 53]  train_loss: 0.595  val_accuracy: 0.910  train_time: 65.08 s
[epoch 54]  train_loss: 0.589  val_accuracy: 0.910  train_time: 64.29 s
[epoch 55]  train_loss: 0.583  val_accuracy: 0.895  train_time: 64.50 s
[epoch 56]  train_loss: 0.556  val_accuracy: 0.941  train_time: 64.30 s
[epoch 57]  train_loss: 0.575  val_accuracy: 0.832  train_time: 64.44 s
[epoch 58]  train_loss: 0.576  val_accuracy: 0.901  train_time: 64.71 s
[epoch 59]  train_loss: 0.556  val_accuracy: 0.866  train_time: 64.64 s
[epoch 60]  train_loss: 0.550  val_accuracy: 0.889  train_time: 64.55 s
[epoch 61]  train_loss: 0.573  val_accuracy: 0.926  train_time: 64.36 s
[epoch 62]  train_loss: 0.562  val_accuracy: 0.901  train_time: 64.31 s
[epoch 63]  train_loss: 0.567  val_accuracy: 0.903  train_time: 63.95 s
[epoch 64]  train_loss: 0.563  val_accuracy: 0.805  train_time: 64.40 s
[epoch 65]  train_loss: 0.566  val_accuracy: 0.905  train_time: 64.25 s
[epoch 66]  train_loss: 0.546  val_accuracy: 0.910  train_time: 64.79 s
[epoch 67]  train_loss: 0.547  val_accuracy: 0.823  train_time: 64.67 s
[epoch 68]  train_loss: 0.551  val_accuracy: 0.933  train_time: 64.02 s
[epoch 69]  train_loss: 0.518  val_accuracy: 0.912  train_time: 63.76 s
[epoch 70]  train_loss: 0.562  val_accuracy: 0.926  train_time: 64.36 s
[epoch 71]  train_loss: 0.521  val_accuracy: 0.916  train_time: 64.41 s
[epoch 72]  train_loss: 0.558  val_accuracy: 0.941  train_time: 64.68 s
[epoch 73]  train_loss: 0.555  val_accuracy: 0.887  train_time: 64.61 s
[epoch 74]  train_loss: 0.553  val_accuracy: 0.912  train_time: 64.34 s
[epoch 75]  train_loss: 0.531  val_accuracy: 0.918  train_time: 64.71 s
[epoch 76]  train_loss: 0.527  val_accuracy: 0.914  train_time: 64.63 s
[epoch 77]  train_loss: 0.500  val_accuracy: 0.910  train_time: 64.49 s
[epoch 78]  train_loss: 0.542  val_accuracy: 0.916  train_time: 64.34 s
[epoch 79]  train_loss: 0.535  val_accuracy: 0.929  train_time: 64.30 s
[epoch 80]  train_loss: 0.538  val_accuracy: 0.897  train_time: 64.54 s
[epoch 81]  train_loss: 0.556  val_accuracy: 0.916  train_time: 64.25 s
[epoch 82]  train_loss: 0.534  val_accuracy: 0.905  train_time: 64.70 s
[epoch 83]  train_loss: 0.544  val_accuracy: 0.899  train_time: 64.39 s
[epoch 84]  train_loss: 0.556  val_accuracy: 0.905  train_time: 64.45 s
