[epoch 1]  train_loss: 2.988  val_accuracy: 0.342  train_time: 74.57 s
[epoch 2]  train_loss: 2.112  val_accuracy: 0.452  train_time: 62.20 s
[epoch 3]  train_loss: 2.088  val_accuracy: 0.399  train_time: 61.95 s
[epoch 4]  train_loss: 2.070  val_accuracy: 0.387  train_time: 61.89 s
[epoch 5]  train_loss: 2.066  val_accuracy: 0.452  train_time: 62.45 s
[epoch 6]  train_loss: 2.074  val_accuracy: 0.460  train_time: 62.01 s
[epoch 7]  train_loss: 2.041  val_accuracy: 0.466  train_time: 62.45 s
[epoch 8]  train_loss: 2.061  val_accuracy: 0.450  train_time: 62.29 s
[epoch 9]  train_loss: 2.035  val_accuracy: 0.464  train_time: 61.66 s
[epoch 10]  train_loss: 2.014  val_accuracy: 0.443  train_time: 62.03 s
[epoch 11]  train_loss: 2.038  val_accuracy: 0.485  train_time: 61.91 s
[epoch 12]  train_loss: 2.003  val_accuracy: 0.485  train_time: 62.64 s
[epoch 13]  train_loss: 1.997  val_accuracy: 0.468  train_time: 64.01 s
[epoch 14]  train_loss: 1.992  val_accuracy: 0.475  train_time: 64.09 s
[epoch 15]  train_loss: 1.965  val_accuracy: 0.485  train_time: 64.08 s
[epoch 16]  train_loss: 1.946  val_accuracy: 0.546  train_time: 63.05 s
[epoch 17]  train_loss: 1.970  val_accuracy: 0.550  train_time: 61.85 s
[epoch 18]  train_loss: 1.961  val_accuracy: 0.510  train_time: 62.31 s
[epoch 19]  train_loss: 1.878  val_accuracy: 0.599  train_time: 62.27 s
[epoch 20]  train_loss: 1.870  val_accuracy: 0.590  train_time: 61.50 s
[epoch 21]  train_loss: 1.849  val_accuracy: 0.630  train_time: 62.36 s
[epoch 22]  train_loss: 1.808  val_accuracy: 0.597  train_time: 62.38 s
[epoch 23]  train_loss: 1.733  val_accuracy: 0.613  train_time: 62.04 s
[epoch 24]  train_loss: 1.701  val_accuracy: 0.647  train_time: 62.38 s
[epoch 25]  train_loss: 1.685  val_accuracy: 0.645  train_time: 61.52 s
[epoch 26]  train_loss: 1.652  val_accuracy: 0.630  train_time: 61.98 s
[epoch 27]  train_loss: 1.667  val_accuracy: 0.718  train_time: 62.31 s
[epoch 28]  train_loss: 1.610  val_accuracy: 0.700  train_time: 61.65 s
[epoch 29]  train_loss: 1.590  val_accuracy: 0.613  train_time: 61.83 s
[epoch 30]  train_loss: 1.564  val_accuracy: 0.685  train_time: 61.86 s
[epoch 31]  train_loss: 1.593  val_accuracy: 0.750  train_time: 61.58 s
[epoch 32]  train_loss: 1.531  val_accuracy: 0.763  train_time: 61.45 s
[epoch 33]  train_loss: 1.519  val_accuracy: 0.727  train_time: 61.71 s
[epoch 34]  train_loss: 1.507  val_accuracy: 0.767  train_time: 61.88 s
[epoch 35]  train_loss: 1.482  val_accuracy: 0.748  train_time: 62.06 s
[epoch 36]  train_loss: 1.444  val_accuracy: 0.777  train_time: 61.67 s
[epoch 37]  train_loss: 1.487  val_accuracy: 0.737  train_time: 62.71 s
[epoch 38]  train_loss: 1.478  val_accuracy: 0.775  train_time: 62.24 s
[epoch 39]  train_loss: 1.432  val_accuracy: 0.782  train_time: 62.63 s
[epoch 40]  train_loss: 1.450  val_accuracy: 0.767  train_time: 61.99 s
[epoch 41]  train_loss: 1.401  val_accuracy: 0.784  train_time: 61.43 s
[epoch 42]  train_loss: 1.383  val_accuracy: 0.752  train_time: 61.51 s
[epoch 43]  train_loss: 1.385  val_accuracy: 0.809  train_time: 61.54 s
[epoch 44]  train_loss: 1.377  val_accuracy: 0.788  train_time: 61.89 s
[epoch 45]  train_loss: 1.332  val_accuracy: 0.824  train_time: 62.13 s
[epoch 46]  train_loss: 1.333  val_accuracy: 0.754  train_time: 61.51 s
[epoch 47]  train_loss: 1.346  val_accuracy: 0.832  train_time: 62.21 s
[epoch 48]  train_loss: 1.346  val_accuracy: 0.813  train_time: 62.28 s
[epoch 49]  train_loss: 1.315  val_accuracy: 0.824  train_time: 62.36 s
[epoch 50]  train_loss: 1.313  val_accuracy: 0.828  train_time: 61.94 s
[epoch 51]  train_loss: 1.319  val_accuracy: 0.788  train_time: 62.24 s
[epoch 52]  train_loss: 1.281  val_accuracy: 0.805  train_time: 61.91 s
[epoch 53]  train_loss: 1.276  val_accuracy: 0.786  train_time: 61.58 s
[epoch 54]  train_loss: 1.297  val_accuracy: 0.803  train_time: 62.38 s
[epoch 55]  train_loss: 1.285  val_accuracy: 0.819  train_time: 62.08 s
[epoch 56]  train_loss: 1.284  val_accuracy: 0.830  train_time: 61.57 s
[epoch 57]  train_loss: 1.295  val_accuracy: 0.798  train_time: 62.07 s
[epoch 58]  train_loss: 1.233  val_accuracy: 0.844  train_time: 62.17 s
[epoch 59]  train_loss: 1.265  val_accuracy: 0.851  train_time: 61.64 s
[epoch 60]  train_loss: 1.209  val_accuracy: 0.809  train_time: 62.38 s
[epoch 61]  train_loss: 1.239  val_accuracy: 0.855  train_time: 61.78 s
[epoch 62]  train_loss: 1.210  val_accuracy: 0.868  train_time: 62.24 s
[epoch 63]  train_loss: 1.204  val_accuracy: 0.847  train_time: 61.77 s
[epoch 64]  train_loss: 1.249  val_accuracy: 0.844  train_time: 61.84 s
[epoch 65]  train_loss: 1.179  val_accuracy: 0.859  train_time: 62.40 s
[epoch 66]  train_loss: 1.170  val_accuracy: 0.842  train_time: 62.17 s
[epoch 67]  train_loss: 1.262  val_accuracy: 0.849  train_time: 61.79 s
[epoch 68]  train_loss: 1.168  val_accuracy: 0.859  train_time: 62.43 s
[epoch 69]  train_loss: 1.166  val_accuracy: 0.832  train_time: 61.45 s
