[epoch 1]  train_loss: 1.371  val_accuracy: 0.466  train_time: 68.67 s
[epoch 2]  train_loss: 1.305  val_accuracy: 0.481  train_time: 60.86 s
[epoch 3]  train_loss: 1.269  val_accuracy: 0.422  train_time: 61.58 s
[epoch 4]  train_loss: 1.261  val_accuracy: 0.479  train_time: 61.50 s
[epoch 5]  train_loss: 1.267  val_accuracy: 0.408  train_time: 60.81 s
[epoch 6]  train_loss: 1.244  val_accuracy: 0.511  train_time: 61.51 s
[epoch 7]  train_loss: 1.214  val_accuracy: 0.532  train_time: 60.67 s
[epoch 8]  train_loss: 1.214  val_accuracy: 0.555  train_time: 61.45 s
[epoch 9]  train_loss: 1.201  val_accuracy: 0.464  train_time: 60.85 s
[epoch 10]  train_loss: 1.186  val_accuracy: 0.521  train_time: 61.74 s
[epoch 11]  train_loss: 1.135  val_accuracy: 0.620  train_time: 61.18 s
[epoch 12]  train_loss: 1.099  val_accuracy: 0.565  train_time: 60.98 s
[epoch 13]  train_loss: 1.060  val_accuracy: 0.704  train_time: 61.54 s
[epoch 14]  train_loss: 1.030  val_accuracy: 0.685  train_time: 61.03 s
[epoch 15]  train_loss: 0.969  val_accuracy: 0.712  train_time: 62.54 s
[epoch 16]  train_loss: 0.980  val_accuracy: 0.687  train_time: 60.89 s
[epoch 17]  train_loss: 0.949  val_accuracy: 0.630  train_time: 61.75 s
[epoch 18]  train_loss: 0.972  val_accuracy: 0.733  train_time: 61.28 s
[epoch 19]  train_loss: 0.938  val_accuracy: 0.668  train_time: 60.96 s
[epoch 20]  train_loss: 0.904  val_accuracy: 0.769  train_time: 61.34 s
[epoch 21]  train_loss: 0.884  val_accuracy: 0.779  train_time: 61.17 s
[epoch 22]  train_loss: 0.917  val_accuracy: 0.737  train_time: 60.85 s
[epoch 23]  train_loss: 0.910  val_accuracy: 0.746  train_time: 60.74 s
[epoch 24]  train_loss: 0.880  val_accuracy: 0.784  train_time: 61.57 s
[epoch 25]  train_loss: 0.866  val_accuracy: 0.706  train_time: 61.51 s
[epoch 26]  train_loss: 0.866  val_accuracy: 0.792  train_time: 60.29 s
[epoch 27]  train_loss: 0.862  val_accuracy: 0.628  train_time: 61.34 s
[epoch 28]  train_loss: 0.821  val_accuracy: 0.769  train_time: 61.06 s
[epoch 29]  train_loss: 0.828  val_accuracy: 0.796  train_time: 60.41 s
[epoch 30]  train_loss: 0.846  val_accuracy: 0.727  train_time: 60.87 s
[epoch 31]  train_loss: 0.819  val_accuracy: 0.748  train_time: 61.26 s
[epoch 32]  train_loss: 0.802  val_accuracy: 0.790  train_time: 60.91 s
[epoch 33]  train_loss: 0.795  val_accuracy: 0.796  train_time: 61.18 s
[epoch 34]  train_loss: 0.794  val_accuracy: 0.838  train_time: 60.31 s
[epoch 35]  train_loss: 0.815  val_accuracy: 0.784  train_time: 60.91 s
[epoch 36]  train_loss: 0.787  val_accuracy: 0.769  train_time: 60.94 s
[epoch 37]  train_loss: 0.747  val_accuracy: 0.719  train_time: 61.19 s
