[epoch 1]  train_loss: 1.356  val_accuracy: 0.452  train_time: 78.85 s
[epoch 2]  train_loss: 1.201  val_accuracy: 0.384  train_time: 67.73 s
[epoch 3]  train_loss: 1.137  val_accuracy: 0.519  train_time: 67.92 s
[epoch 4]  train_loss: 1.073  val_accuracy: 0.677  train_time: 68.16 s
[epoch 5]  train_loss: 1.005  val_accuracy: 0.473  train_time: 69.06 s
[epoch 6]  train_loss: 0.987  val_accuracy: 0.731  train_time: 67.53 s
[epoch 7]  train_loss: 0.935  val_accuracy: 0.622  train_time: 68.43 s
[epoch 8]  train_loss: 0.940  val_accuracy: 0.750  train_time: 67.57 s
[epoch 9]  train_loss: 0.899  val_accuracy: 0.706  train_time: 67.88 s
[epoch 10]  train_loss: 0.889  val_accuracy: 0.677  train_time: 68.72 s
[epoch 11]  train_loss: 0.890  val_accuracy: 0.702  train_time: 68.72 s
[epoch 12]  train_loss: 0.852  val_accuracy: 0.775  train_time: 67.80 s
[epoch 13]  train_loss: 0.796  val_accuracy: 0.815  train_time: 67.83 s
[epoch 14]  train_loss: 0.826  val_accuracy: 0.788  train_time: 67.72 s
[epoch 15]  train_loss: 0.791  val_accuracy: 0.754  train_time: 68.23 s
[epoch 16]  train_loss: 0.744  val_accuracy: 0.803  train_time: 67.51 s
[epoch 17]  train_loss: 0.762  val_accuracy: 0.769  train_time: 68.07 s
[epoch 18]  train_loss: 0.744  val_accuracy: 0.865  train_time: 67.20 s
[epoch 19]  train_loss: 0.735  val_accuracy: 0.866  train_time: 68.12 s
[epoch 20]  train_loss: 0.721  val_accuracy: 0.824  train_time: 68.63 s
[epoch 21]  train_loss: 0.671  val_accuracy: 0.849  train_time: 68.10 s
[epoch 22]  train_loss: 0.728  val_accuracy: 0.847  train_time: 68.30 s
[epoch 23]  train_loss: 0.693  val_accuracy: 0.899  train_time: 68.30 s
[epoch 24]  train_loss: 0.664  val_accuracy: 0.821  train_time: 68.96 s
[epoch 25]  train_loss: 0.695  val_accuracy: 0.857  train_time: 69.31 s
[epoch 26]  train_loss: 0.652  val_accuracy: 0.897  train_time: 67.58 s
[epoch 27]  train_loss: 0.619  val_accuracy: 0.872  train_time: 68.24 s
[epoch 28]  train_loss: 0.629  val_accuracy: 0.865  train_time: 68.01 s
[epoch 29]  train_loss: 0.661  val_accuracy: 0.887  train_time: 67.98 s
[epoch 30]  train_loss: 0.623  val_accuracy: 0.870  train_time: 69.82 s
[epoch 31]  train_loss: 0.636  val_accuracy: 0.874  train_time: 67.98 s
[epoch 32]  train_loss: 0.646  val_accuracy: 0.889  train_time: 67.47 s
[epoch 33]  train_loss: 0.620  val_accuracy: 0.834  train_time: 67.50 s
[epoch 34]  train_loss: 0.599  val_accuracy: 0.844  train_time: 67.54 s
