[epoch 1]  train_loss: 1.444  val_accuracy: 0.410  train_time: 62.17 s
[epoch 2]  train_loss: 1.346  val_accuracy: 0.393  train_time: 56.98 s
[epoch 3]  train_loss: 1.307  val_accuracy: 0.395  train_time: 57.46 s
[epoch 4]  train_loss: 1.316  val_accuracy: 0.393  train_time: 56.20 s
[epoch 5]  train_loss: 1.326  val_accuracy: 0.414  train_time: 56.69 s
[epoch 6]  train_loss: 1.305  val_accuracy: 0.395  train_time: 57.36 s
[epoch 7]  train_loss: 1.311  val_accuracy: 0.395  train_time: 57.30 s
[epoch 8]  train_loss: 1.301  val_accuracy: 0.393  train_time: 57.52 s
[epoch 9]  train_loss: 1.298  val_accuracy: 0.387  train_time: 57.64 s
[epoch 10]  train_loss: 1.294  val_accuracy: 0.395  train_time: 58.03 s
[epoch 11]  train_loss: 1.287  val_accuracy: 0.406  train_time: 57.86 s
[epoch 12]  train_loss: 1.288  val_accuracy: 0.443  train_time: 57.50 s
[epoch 13]  train_loss: 1.292  val_accuracy: 0.414  train_time: 57.48 s
[epoch 14]  train_loss: 1.306  val_accuracy: 0.405  train_time: 57.35 s
[epoch 15]  train_loss: 1.279  val_accuracy: 0.408  train_time: 56.99 s
[epoch 16]  train_loss: 1.285  val_accuracy: 0.443  train_time: 56.24 s
[epoch 17]  train_loss: 1.273  val_accuracy: 0.443  train_time: 57.53 s
[epoch 18]  train_loss: 1.279  val_accuracy: 0.412  train_time: 56.95 s
[epoch 19]  train_loss: 1.271  val_accuracy: 0.447  train_time: 56.62 s
[epoch 20]  train_loss: 1.260  val_accuracy: 0.479  train_time: 56.75 s
[epoch 21]  train_loss: 1.258  val_accuracy: 0.468  train_time: 57.90 s
[epoch 22]  train_loss: 1.255  val_accuracy: 0.437  train_time: 57.32 s
[epoch 23]  train_loss: 1.250  val_accuracy: 0.460  train_time: 56.07 s
[epoch 24]  train_loss: 1.250  val_accuracy: 0.483  train_time: 57.02 s
[epoch 25]  train_loss: 1.221  val_accuracy: 0.445  train_time: 57.41 s
[epoch 26]  train_loss: 1.252  val_accuracy: 0.452  train_time: 57.23 s
[epoch 27]  train_loss: 1.220  val_accuracy: 0.504  train_time: 56.15 s
[epoch 28]  train_loss: 1.229  val_accuracy: 0.492  train_time: 56.93 s
[epoch 29]  train_loss: 1.207  val_accuracy: 0.519  train_time: 56.56 s
[epoch 30]  train_loss: 1.212  val_accuracy: 0.517  train_time: 56.28 s
[epoch 31]  train_loss: 1.199  val_accuracy: 0.523  train_time: 56.24 s
[epoch 32]  train_loss: 1.204  val_accuracy: 0.561  train_time: 56.68 s
[epoch 33]  train_loss: 1.176  val_accuracy: 0.576  train_time: 56.84 s
[epoch 34]  train_loss: 1.184  val_accuracy: 0.607  train_time: 56.47 s
[epoch 35]  train_loss: 1.156  val_accuracy: 0.641  train_time: 56.89 s
[epoch 36]  train_loss: 1.147  val_accuracy: 0.601  train_time: 56.66 s
[epoch 37]  train_loss: 1.139  val_accuracy: 0.649  train_time: 56.23 s
[epoch 38]  train_loss: 1.134  val_accuracy: 0.632  train_time: 55.67 s
[epoch 39]  train_loss: 1.106  val_accuracy: 0.622  train_time: 56.34 s
[epoch 40]  train_loss: 1.116  val_accuracy: 0.630  train_time: 56.47 s
[epoch 41]  train_loss: 1.097  val_accuracy: 0.658  train_time: 55.88 s
[epoch 42]  train_loss: 1.106  val_accuracy: 0.653  train_time: 56.84 s
[epoch 43]  train_loss: 1.116  val_accuracy: 0.677  train_time: 56.55 s
[epoch 44]  train_loss: 1.103  val_accuracy: 0.639  train_time: 57.01 s
[epoch 45]  train_loss: 1.082  val_accuracy: 0.626  train_time: 56.20 s
[epoch 46]  train_loss: 1.066  val_accuracy: 0.660  train_time: 56.75 s
[epoch 47]  train_loss: 1.079  val_accuracy: 0.655  train_time: 56.62 s
[epoch 48]  train_loss: 1.074  val_accuracy: 0.658  train_time: 56.06 s
[epoch 49]  train_loss: 1.061  val_accuracy: 0.676  train_time: 56.87 s
[epoch 50]  train_loss: 1.069  val_accuracy: 0.637  train_time: 57.26 s
[epoch 51]  train_loss: 1.050  val_accuracy: 0.691  train_time: 58.54 s
[epoch 52]  train_loss: 1.074  val_accuracy: 0.683  train_time: 61.08 s
[epoch 53]  train_loss: 1.054  val_accuracy: 0.634  train_time: 59.69 s
[epoch 54]  train_loss: 1.052  val_accuracy: 0.681  train_time: 60.47 s
[epoch 55]  train_loss: 1.035  val_accuracy: 0.679  train_time: 59.99 s
[epoch 56]  train_loss: 1.047  val_accuracy: 0.704  train_time: 61.84 s
[epoch 57]  train_loss: 1.052  val_accuracy: 0.691  train_time: 60.29 s
[epoch 58]  train_loss: 1.018  val_accuracy: 0.693  train_time: 58.51 s
[epoch 59]  train_loss: 1.024  val_accuracy: 0.683  train_time: 59.59 s
[epoch 60]  train_loss: 1.034  val_accuracy: 0.677  train_time: 58.58 s
[epoch 61]  train_loss: 1.039  val_accuracy: 0.704  train_time: 57.55 s
[epoch 62]  train_loss: 1.038  val_accuracy: 0.706  train_time: 57.64 s
[epoch 63]  train_loss: 1.016  val_accuracy: 0.695  train_time: 58.55 s
[epoch 64]  train_loss: 1.006  val_accuracy: 0.700  train_time: 57.72 s
[epoch 65]  train_loss: 1.010  val_accuracy: 0.651  train_time: 56.68 s
[epoch 66]  train_loss: 1.005  val_accuracy: 0.698  train_time: 56.82 s
[epoch 67]  train_loss: 1.013  val_accuracy: 0.698  train_time: 56.35 s
[epoch 68]  train_loss: 1.020  val_accuracy: 0.689  train_time: 58.17 s
