[epoch 1]  train_loss: 1.436  val_accuracy: 0.338  train_time: 97.80 s
[epoch 2]  train_loss: 1.338  val_accuracy: 0.387  train_time: 87.44 s
[epoch 3]  train_loss: 1.346  val_accuracy: 0.393  train_time: 88.00 s
[epoch 4]  train_loss: 1.305  val_accuracy: 0.395  train_time: 88.52 s
[epoch 5]  train_loss: 1.315  val_accuracy: 0.387  train_time: 88.48 s
[epoch 6]  train_loss: 1.338  val_accuracy: 0.204  train_time: 90.73 s
[epoch 7]  train_loss: 1.337  val_accuracy: 0.391  train_time: 90.76 s
[epoch 8]  train_loss: 1.304  val_accuracy: 0.387  train_time: 89.74 s
[epoch 9]  train_loss: 1.302  val_accuracy: 0.385  train_time: 91.22 s
[epoch 10]  train_loss: 1.306  val_accuracy: 0.282  train_time: 89.19 s
[epoch 11]  train_loss: 1.325  val_accuracy: 0.393  train_time: 89.48 s
[epoch 12]  train_loss: 1.298  val_accuracy: 0.393  train_time: 87.97 s
[epoch 13]  train_loss: 1.299  val_accuracy: 0.393  train_time: 87.65 s
[epoch 14]  train_loss: 1.306  val_accuracy: 0.387  train_time: 87.42 s
[epoch 15]  train_loss: 1.301  val_accuracy: 0.393  train_time: 88.44 s
[epoch 16]  train_loss: 1.299  val_accuracy: 0.393  train_time: 87.84 s
[epoch 17]  train_loss: 1.301  val_accuracy: 0.391  train_time: 88.37 s
[epoch 18]  train_loss: 1.305  val_accuracy: 0.393  train_time: 88.19 s
[epoch 19]  train_loss: 1.300  val_accuracy: 0.393  train_time: 88.23 s
[epoch 20]  train_loss: 1.293  val_accuracy: 0.387  train_time: 87.64 s
[epoch 21]  train_loss: 1.304  val_accuracy: 0.427  train_time: 87.84 s
[epoch 22]  train_loss: 1.288  val_accuracy: 0.395  train_time: 86.54 s
[epoch 23]  train_loss: 1.278  val_accuracy: 0.422  train_time: 87.65 s
[epoch 24]  train_loss: 1.285  val_accuracy: 0.454  train_time: 88.26 s
[epoch 25]  train_loss: 1.276  val_accuracy: 0.420  train_time: 91.08 s
[epoch 26]  train_loss: 1.275  val_accuracy: 0.469  train_time: 92.16 s
[epoch 27]  train_loss: 1.265  val_accuracy: 0.460  train_time: 93.65 s
[epoch 28]  train_loss: 1.268  val_accuracy: 0.447  train_time: 93.21 s
[epoch 29]  train_loss: 1.265  val_accuracy: 0.456  train_time: 92.69 s
[epoch 30]  train_loss: 1.261  val_accuracy: 0.458  train_time: 89.37 s
[epoch 31]  train_loss: 1.267  val_accuracy: 0.468  train_time: 88.23 s
[epoch 32]  train_loss: 1.260  val_accuracy: 0.471  train_time: 90.05 s
[epoch 33]  train_loss: 1.266  val_accuracy: 0.458  train_time: 88.85 s
[epoch 34]  train_loss: 1.282  val_accuracy: 0.466  train_time: 88.16 s
[epoch 35]  train_loss: 1.301  val_accuracy: 0.483  train_time: 87.89 s
[epoch 36]  train_loss: 1.266  val_accuracy: 0.473  train_time: 87.87 s
[epoch 37]  train_loss: 1.260  val_accuracy: 0.469  train_time: 87.94 s
[epoch 38]  train_loss: 1.262  val_accuracy: 0.475  train_time: 87.11 s
[epoch 39]  train_loss: 1.257  val_accuracy: 0.466  train_time: 87.53 s
[epoch 40]  train_loss: 1.253  val_accuracy: 0.469  train_time: 87.79 s
[epoch 41]  train_loss: 1.251  val_accuracy: 0.441  train_time: 86.67 s
[epoch 42]  train_loss: 1.257  val_accuracy: 0.483  train_time: 87.28 s
[epoch 43]  train_loss: 1.236  val_accuracy: 0.485  train_time: 85.78 s
[epoch 44]  train_loss: 1.231  val_accuracy: 0.487  train_time: 87.22 s
[epoch 45]  train_loss: 1.233  val_accuracy: 0.477  train_time: 87.10 s
[epoch 46]  train_loss: 1.234  val_accuracy: 0.481  train_time: 86.64 s
[epoch 47]  train_loss: 1.233  val_accuracy: 0.492  train_time: 86.90 s
[epoch 48]  train_loss: 1.211  val_accuracy: 0.483  train_time: 86.98 s
[epoch 49]  train_loss: 1.221  val_accuracy: 0.490  train_time: 86.39 s
[epoch 50]  train_loss: 1.214  val_accuracy: 0.515  train_time: 87.19 s
[epoch 51]  train_loss: 1.212  val_accuracy: 0.538  train_time: 86.96 s
[epoch 52]  train_loss: 1.211  val_accuracy: 0.555  train_time: 86.95 s
[epoch 53]  train_loss: 1.202  val_accuracy: 0.561  train_time: 86.13 s
[epoch 54]  train_loss: 1.186  val_accuracy: 0.567  train_time: 86.84 s
[epoch 55]  train_loss: 1.169  val_accuracy: 0.590  train_time: 85.89 s
[epoch 56]  train_loss: 1.163  val_accuracy: 0.626  train_time: 86.02 s
[epoch 57]  train_loss: 1.157  val_accuracy: 0.611  train_time: 86.68 s
[epoch 58]  train_loss: 1.133  val_accuracy: 0.630  train_time: 86.29 s
[epoch 59]  train_loss: 1.138  val_accuracy: 0.626  train_time: 86.87 s
[epoch 60]  train_loss: 1.137  val_accuracy: 0.618  train_time: 87.30 s
