[epoch 1]  train_loss: 1.375  val_accuracy: 0.450  train_time: 73.65 s
[epoch 2]  train_loss: 1.344  val_accuracy: 0.527  train_time: 59.89 s
[epoch 3]  train_loss: 1.306  val_accuracy: 0.435  train_time: 59.89 s
[epoch 4]  train_loss: 1.266  val_accuracy: 0.498  train_time: 59.25 s
[epoch 5]  train_loss: 1.238  val_accuracy: 0.561  train_time: 58.81 s
[epoch 6]  train_loss: 1.192  val_accuracy: 0.479  train_time: 59.79 s
[epoch 7]  train_loss: 1.149  val_accuracy: 0.586  train_time: 59.07 s
[epoch 8]  train_loss: 1.116  val_accuracy: 0.563  train_time: 59.16 s
[epoch 9]  train_loss: 1.076  val_accuracy: 0.674  train_time: 59.84 s
[epoch 10]  train_loss: 1.052  val_accuracy: 0.664  train_time: 59.19 s
[epoch 11]  train_loss: 1.022  val_accuracy: 0.742  train_time: 60.02 s
[epoch 12]  train_loss: 0.970  val_accuracy: 0.750  train_time: 59.61 s
[epoch 13]  train_loss: 0.955  val_accuracy: 0.710  train_time: 59.68 s
[epoch 14]  train_loss: 0.989  val_accuracy: 0.649  train_time: 59.13 s
[epoch 15]  train_loss: 0.921  val_accuracy: 0.748  train_time: 58.71 s
[epoch 16]  train_loss: 0.896  val_accuracy: 0.656  train_time: 58.88 s
[epoch 17]  train_loss: 0.918  val_accuracy: 0.781  train_time: 59.18 s
[epoch 18]  train_loss: 0.917  val_accuracy: 0.754  train_time: 59.55 s
[epoch 19]  train_loss: 0.900  val_accuracy: 0.773  train_time: 59.12 s
[epoch 20]  train_loss: 0.842  val_accuracy: 0.746  train_time: 59.39 s
[epoch 21]  train_loss: 0.887  val_accuracy: 0.788  train_time: 59.36 s
[epoch 22]  train_loss: 0.887  val_accuracy: 0.805  train_time: 59.34 s
[epoch 23]  train_loss: 0.831  val_accuracy: 0.790  train_time: 59.34 s
[epoch 24]  train_loss: 0.835  val_accuracy: 0.826  train_time: 59.50 s
[epoch 25]  train_loss: 0.840  val_accuracy: 0.782  train_time: 58.20 s
[epoch 26]  train_loss: 0.845  val_accuracy: 0.729  train_time: 58.97 s
[epoch 27]  train_loss: 0.836  val_accuracy: 0.800  train_time: 59.09 s
[epoch 28]  train_loss: 0.850  val_accuracy: 0.635  train_time: 58.83 s
[epoch 29]  train_loss: 0.822  val_accuracy: 0.788  train_time: 59.07 s
[epoch 30]  train_loss: 0.804  val_accuracy: 0.817  train_time: 58.34 s
[epoch 31]  train_loss: 0.809  val_accuracy: 0.807  train_time: 58.93 s
[epoch 32]  train_loss: 0.793  val_accuracy: 0.838  train_time: 59.02 s
[epoch 33]  train_loss: 0.801  val_accuracy: 0.800  train_time: 58.53 s
[epoch 34]  train_loss: 0.800  val_accuracy: 0.811  train_time: 58.10 s
[epoch 35]  train_loss: 0.795  val_accuracy: 0.817  train_time: 59.54 s
[epoch 36]  train_loss: 0.760  val_accuracy: 0.834  train_time: 59.45 s
[epoch 37]  train_loss: 0.763  val_accuracy: 0.811  train_time: 59.04 s
[epoch 38]  train_loss: 0.774  val_accuracy: 0.845  train_time: 59.19 s
[epoch 39]  train_loss: 0.758  val_accuracy: 0.756  train_time: 58.38 s
[epoch 40]  train_loss: 0.770  val_accuracy: 0.844  train_time: 58.88 s
[epoch 41]  train_loss: 0.746  val_accuracy: 0.880  train_time: 58.97 s
[epoch 42]  train_loss: 0.752  val_accuracy: 0.761  train_time: 58.82 s
[epoch 43]  train_loss: 0.725  val_accuracy: 0.876  train_time: 58.73 s
[epoch 44]  train_loss: 0.789  val_accuracy: 0.866  train_time: 58.57 s
[epoch 45]  train_loss: 0.734  val_accuracy: 0.844  train_time: 59.36 s
[epoch 46]  train_loss: 0.708  val_accuracy: 0.845  train_time: 59.47 s
[epoch 47]  train_loss: 0.753  val_accuracy: 0.855  train_time: 59.15 s
[epoch 48]  train_loss: 0.768  val_accuracy: 0.840  train_time: 58.72 s
[epoch 49]  train_loss: 0.717  val_accuracy: 0.824  train_time: 59.27 s
[epoch 50]  train_loss: 0.696  val_accuracy: 0.853  train_time: 59.01 s
[epoch 51]  train_loss: 0.691  val_accuracy: 0.834  train_time: 59.65 s
[epoch 52]  train_loss: 0.713  val_accuracy: 0.882  train_time: 58.82 s
[epoch 53]  train_loss: 0.697  val_accuracy: 0.750  train_time: 58.15 s
[epoch 54]  train_loss: 0.696  val_accuracy: 0.805  train_time: 59.07 s
[epoch 55]  train_loss: 0.687  val_accuracy: 0.824  train_time: 58.89 s
[epoch 56]  train_loss: 0.708  val_accuracy: 0.834  train_time: 59.56 s
[epoch 57]  train_loss: 0.672  val_accuracy: 0.895  train_time: 58.75 s
[epoch 58]  train_loss: 0.666  val_accuracy: 0.851  train_time: 58.20 s
[epoch 59]  train_loss: 0.691  val_accuracy: 0.830  train_time: 58.82 s
