[epoch 1]  train_loss: 1.405  val_accuracy: 0.422  train_time: 76.49 s
[epoch 2]  train_loss: 1.284  val_accuracy: 0.441  train_time: 63.00 s
[epoch 3]  train_loss: 1.232  val_accuracy: 0.489  train_time: 64.68 s
[epoch 4]  train_loss: 1.180  val_accuracy: 0.594  train_time: 63.87 s
[epoch 5]  train_loss: 1.107  val_accuracy: 0.601  train_time: 63.92 s
[epoch 6]  train_loss: 1.017  val_accuracy: 0.672  train_time: 64.33 s
[epoch 7]  train_loss: 1.038  val_accuracy: 0.666  train_time: 64.91 s
[epoch 8]  train_loss: 0.988  val_accuracy: 0.723  train_time: 64.16 s
[epoch 9]  train_loss: 0.939  val_accuracy: 0.698  train_time: 63.81 s
[epoch 10]  train_loss: 0.945  val_accuracy: 0.573  train_time: 63.98 s
[epoch 11]  train_loss: 0.936  val_accuracy: 0.664  train_time: 63.21 s
[epoch 12]  train_loss: 0.903  val_accuracy: 0.733  train_time: 63.81 s
[epoch 13]  train_loss: 0.899  val_accuracy: 0.723  train_time: 61.64 s
[epoch 14]  train_loss: 0.904  val_accuracy: 0.761  train_time: 62.13 s
[epoch 15]  train_loss: 0.887  val_accuracy: 0.775  train_time: 63.09 s
[epoch 16]  train_loss: 0.876  val_accuracy: 0.727  train_time: 63.79 s
[epoch 17]  train_loss: 0.855  val_accuracy: 0.666  train_time: 63.01 s
[epoch 18]  train_loss: 0.864  val_accuracy: 0.655  train_time: 63.34 s
[epoch 19]  train_loss: 0.853  val_accuracy: 0.731  train_time: 62.34 s
[epoch 20]  train_loss: 0.837  val_accuracy: 0.771  train_time: 62.80 s
[epoch 21]  train_loss: 0.844  val_accuracy: 0.775  train_time: 63.50 s
[epoch 22]  train_loss: 0.798  val_accuracy: 0.731  train_time: 63.31 s
[epoch 23]  train_loss: 0.823  val_accuracy: 0.805  train_time: 62.81 s
[epoch 24]  train_loss: 0.822  val_accuracy: 0.819  train_time: 63.12 s
[epoch 25]  train_loss: 0.844  val_accuracy: 0.813  train_time: 63.73 s
[epoch 26]  train_loss: 0.792  val_accuracy: 0.811  train_time: 63.89 s
[epoch 27]  train_loss: 0.783  val_accuracy: 0.857  train_time: 63.58 s
[epoch 28]  train_loss: 0.767  val_accuracy: 0.832  train_time: 63.85 s
[epoch 29]  train_loss: 0.728  val_accuracy: 0.824  train_time: 64.06 s
[epoch 30]  train_loss: 0.774  val_accuracy: 0.740  train_time: 63.60 s
[epoch 31]  train_loss: 0.772  val_accuracy: 0.838  train_time: 63.27 s
[epoch 32]  train_loss: 0.736  val_accuracy: 0.635  train_time: 63.48 s
[epoch 33]  train_loss: 0.708  val_accuracy: 0.784  train_time: 63.05 s
[epoch 34]  train_loss: 0.745  val_accuracy: 0.874  train_time: 64.09 s
[epoch 35]  train_loss: 0.736  val_accuracy: 0.805  train_time: 63.59 s
[epoch 36]  train_loss: 0.729  val_accuracy: 0.828  train_time: 62.39 s
[epoch 37]  train_loss: 0.727  val_accuracy: 0.771  train_time: 63.14 s
[epoch 38]  train_loss: 0.739  val_accuracy: 0.872  train_time: 62.98 s
[epoch 39]  train_loss: 0.753  val_accuracy: 0.830  train_time: 62.24 s
[epoch 40]  train_loss: 0.724  val_accuracy: 0.695  train_time: 63.70 s
[epoch 41]  train_loss: 0.761  val_accuracy: 0.851  train_time: 63.58 s
[epoch 42]  train_loss: 0.677  val_accuracy: 0.840  train_time: 63.94 s
[epoch 43]  train_loss: 0.686  val_accuracy: 0.842  train_time: 62.83 s
[epoch 44]  train_loss: 0.714  val_accuracy: 0.832  train_time: 62.32 s
[epoch 45]  train_loss: 0.670  val_accuracy: 0.672  train_time: 63.69 s
[epoch 46]  train_loss: 0.692  val_accuracy: 0.834  train_time: 63.17 s
[epoch 47]  train_loss: 0.662  val_accuracy: 0.897  train_time: 63.00 s
[epoch 48]  train_loss: 0.678  val_accuracy: 0.885  train_time: 61.93 s
[epoch 49]  train_loss: 0.667  val_accuracy: 0.842  train_time: 62.14 s
[epoch 50]  train_loss: 0.660  val_accuracy: 0.885  train_time: 61.25 s
[epoch 51]  train_loss: 0.679  val_accuracy: 0.897  train_time: 62.86 s
