[epoch 1]  train_loss: 1.402  val_accuracy: 0.468  train_time: 75.17 s
[epoch 2]  train_loss: 1.293  val_accuracy: 0.477  train_time: 59.09 s
[epoch 3]  train_loss: 1.240  val_accuracy: 0.492  train_time: 60.06 s
[epoch 4]  train_loss: 1.198  val_accuracy: 0.567  train_time: 59.26 s
[epoch 5]  train_loss: 1.168  val_accuracy: 0.584  train_time: 59.73 s
[epoch 6]  train_loss: 1.072  val_accuracy: 0.695  train_time: 59.57 s
[epoch 7]  train_loss: 1.020  val_accuracy: 0.630  train_time: 59.30 s
[epoch 8]  train_loss: 0.973  val_accuracy: 0.622  train_time: 59.28 s
[epoch 9]  train_loss: 0.952  val_accuracy: 0.716  train_time: 59.43 s
[epoch 10]  train_loss: 0.963  val_accuracy: 0.702  train_time: 61.05 s
[epoch 11]  train_loss: 0.941  val_accuracy: 0.775  train_time: 59.49 s
[epoch 12]  train_loss: 0.909  val_accuracy: 0.760  train_time: 59.55 s
[epoch 13]  train_loss: 0.882  val_accuracy: 0.681  train_time: 58.70 s
[epoch 14]  train_loss: 0.879  val_accuracy: 0.777  train_time: 59.79 s
[epoch 15]  train_loss: 0.853  val_accuracy: 0.805  train_time: 59.37 s
[epoch 16]  train_loss: 0.848  val_accuracy: 0.779  train_time: 59.13 s
[epoch 17]  train_loss: 0.869  val_accuracy: 0.796  train_time: 59.49 s
[epoch 18]  train_loss: 0.868  val_accuracy: 0.548  train_time: 59.46 s
[epoch 19]  train_loss: 0.846  val_accuracy: 0.781  train_time: 58.46 s
[epoch 20]  train_loss: 0.822  val_accuracy: 0.779  train_time: 59.72 s
[epoch 21]  train_loss: 0.813  val_accuracy: 0.712  train_time: 59.57 s
[epoch 22]  train_loss: 0.803  val_accuracy: 0.805  train_time: 59.38 s
[epoch 23]  train_loss: 0.792  val_accuracy: 0.800  train_time: 58.99 s
[epoch 24]  train_loss: 0.808  val_accuracy: 0.819  train_time: 58.42 s
[epoch 25]  train_loss: 0.774  val_accuracy: 0.792  train_time: 60.02 s
[epoch 26]  train_loss: 0.762  val_accuracy: 0.815  train_time: 59.23 s
[epoch 27]  train_loss: 0.796  val_accuracy: 0.828  train_time: 59.02 s
[epoch 28]  train_loss: 0.756  val_accuracy: 0.834  train_time: 59.39 s
[epoch 29]  train_loss: 0.758  val_accuracy: 0.859  train_time: 58.42 s
[epoch 30]  train_loss: 0.740  val_accuracy: 0.872  train_time: 60.41 s
