[epoch 1]  train_loss: 3.025  val_accuracy: 0.429  train_time: 71.65 s
[epoch 2]  train_loss: 2.108  val_accuracy: 0.433  train_time: 63.23 s
[epoch 3]  train_loss: 2.087  val_accuracy: 0.452  train_time: 62.85 s
[epoch 4]  train_loss: 2.062  val_accuracy: 0.456  train_time: 63.77 s
[epoch 5]  train_loss: 2.099  val_accuracy: 0.437  train_time: 62.79 s
[epoch 6]  train_loss: 2.050  val_accuracy: 0.368  train_time: 62.51 s
[epoch 7]  train_loss: 2.042  val_accuracy: 0.464  train_time: 63.14 s
[epoch 8]  train_loss: 2.041  val_accuracy: 0.467  train_time: 63.16 s
[epoch 9]  train_loss: 2.029  val_accuracy: 0.483  train_time: 63.49 s
[epoch 10]  train_loss: 1.986  val_accuracy: 0.460  train_time: 63.53 s
[epoch 11]  train_loss: 1.983  val_accuracy: 0.544  train_time: 62.87 s
[epoch 12]  train_loss: 1.963  val_accuracy: 0.506  train_time: 62.70 s
[epoch 13]  train_loss: 2.023  val_accuracy: 0.494  train_time: 62.75 s
[epoch 14]  train_loss: 1.966  val_accuracy: 0.521  train_time: 62.38 s
[epoch 15]  train_loss: 1.900  val_accuracy: 0.529  train_time: 63.17 s
[epoch 16]  train_loss: 1.938  val_accuracy: 0.582  train_time: 63.62 s
[epoch 17]  train_loss: 1.900  val_accuracy: 0.628  train_time: 62.93 s
[epoch 18]  train_loss: 1.842  val_accuracy: 0.682  train_time: 62.48 s
[epoch 19]  train_loss: 1.834  val_accuracy: 0.586  train_time: 63.15 s
[epoch 20]  train_loss: 1.835  val_accuracy: 0.670  train_time: 62.97 s
[epoch 21]  train_loss: 1.802  val_accuracy: 0.670  train_time: 63.56 s
[epoch 22]  train_loss: 1.828  val_accuracy: 0.548  train_time: 62.32 s
[epoch 23]  train_loss: 1.782  val_accuracy: 0.655  train_time: 62.20 s
[epoch 24]  train_loss: 1.758  val_accuracy: 0.628  train_time: 63.56 s
[epoch 25]  train_loss: 1.717  val_accuracy: 0.690  train_time: 63.05 s
[epoch 26]  train_loss: 1.710  val_accuracy: 0.663  train_time: 63.80 s
