[epoch 1]  train_loss: 1.434  val_accuracy: 0.406  train_time: 67.85 s
[epoch 2]  train_loss: 1.266  val_accuracy: 0.437  train_time: 58.39 s
[epoch 3]  train_loss: 1.255  val_accuracy: 0.487  train_time: 58.23 s
[epoch 4]  train_loss: 1.182  val_accuracy: 0.533  train_time: 59.11 s
[epoch 5]  train_loss: 1.129  val_accuracy: 0.674  train_time: 58.31 s
[epoch 6]  train_loss: 1.038  val_accuracy: 0.655  train_time: 57.87 s
[epoch 7]  train_loss: 1.019  val_accuracy: 0.448  train_time: 58.48 s
[epoch 8]  train_loss: 0.988  val_accuracy: 0.651  train_time: 58.27 s
[epoch 9]  train_loss: 0.992  val_accuracy: 0.732  train_time: 60.75 s
[epoch 10]  train_loss: 0.959  val_accuracy: 0.709  train_time: 59.94 s
[epoch 11]  train_loss: 0.946  val_accuracy: 0.766  train_time: 59.55 s
[epoch 12]  train_loss: 0.947  val_accuracy: 0.625  train_time: 60.96 s
[epoch 13]  train_loss: 0.910  val_accuracy: 0.766  train_time: 60.82 s
[epoch 14]  train_loss: 0.911  val_accuracy: 0.586  train_time: 60.89 s
[epoch 15]  train_loss: 0.894  val_accuracy: 0.739  train_time: 59.60 s
[epoch 16]  train_loss: 0.892  val_accuracy: 0.797  train_time: 58.72 s
[epoch 17]  train_loss: 0.885  val_accuracy: 0.793  train_time: 58.16 s
[epoch 18]  train_loss: 0.890  val_accuracy: 0.762  train_time: 59.87 s
[epoch 19]  train_loss: 0.859  val_accuracy: 0.739  train_time: 60.37 s
[epoch 20]  train_loss: 0.821  val_accuracy: 0.789  train_time: 59.72 s
[epoch 21]  train_loss: 0.823  val_accuracy: 0.793  train_time: 59.04 s
[epoch 22]  train_loss: 0.818  val_accuracy: 0.770  train_time: 58.94 s
[epoch 23]  train_loss: 0.803  val_accuracy: 0.751  train_time: 59.94 s
[epoch 24]  train_loss: 0.821  val_accuracy: 0.816  train_time: 59.35 s
[epoch 25]  train_loss: 0.799  val_accuracy: 0.785  train_time: 59.22 s
[epoch 26]  train_loss: 0.799  val_accuracy: 0.839  train_time: 59.98 s
[epoch 27]  train_loss: 0.788  val_accuracy: 0.839  train_time: 58.28 s
[epoch 28]  train_loss: 0.808  val_accuracy: 0.816  train_time: 59.40 s
[epoch 29]  train_loss: 0.771  val_accuracy: 0.801  train_time: 59.28 s
[epoch 30]  train_loss: 0.768  val_accuracy: 0.847  train_time: 59.85 s
[epoch 31]  train_loss: 0.750  val_accuracy: 0.789  train_time: 61.21 s
[epoch 32]  train_loss: 0.743  val_accuracy: 0.854  train_time: 59.52 s
