[epoch 1]  train_loss: 1.398  val_accuracy: 0.395  train_time: 65.10 s
[epoch 2]  train_loss: 1.292  val_accuracy: 0.387  train_time: 58.63 s
[epoch 3]  train_loss: 1.185  val_accuracy: 0.636  train_time: 58.42 s
[epoch 4]  train_loss: 1.092  val_accuracy: 0.632  train_time: 58.35 s
[epoch 5]  train_loss: 1.014  val_accuracy: 0.732  train_time: 57.41 s
[epoch 6]  train_loss: 0.975  val_accuracy: 0.762  train_time: 57.83 s
[epoch 7]  train_loss: 0.983  val_accuracy: 0.736  train_time: 58.23 s
[epoch 8]  train_loss: 0.939  val_accuracy: 0.544  train_time: 58.58 s
[epoch 9]  train_loss: 0.928  val_accuracy: 0.716  train_time: 59.05 s
[epoch 10]  train_loss: 0.937  val_accuracy: 0.728  train_time: 59.09 s
[epoch 11]  train_loss: 0.900  val_accuracy: 0.782  train_time: 58.97 s
[epoch 12]  train_loss: 0.866  val_accuracy: 0.766  train_time: 59.14 s
[epoch 13]  train_loss: 0.863  val_accuracy: 0.793  train_time: 58.74 s
[epoch 14]  train_loss: 0.865  val_accuracy: 0.747  train_time: 58.54 s
[epoch 15]  train_loss: 0.937  val_accuracy: 0.789  train_time: 58.97 s
[epoch 16]  train_loss: 0.833  val_accuracy: 0.759  train_time: 59.50 s
[epoch 17]  train_loss: 0.904  val_accuracy: 0.720  train_time: 59.91 s
[epoch 18]  train_loss: 0.905  val_accuracy: 0.805  train_time: 59.96 s
[epoch 19]  train_loss: 0.883  val_accuracy: 0.789  train_time: 58.61 s
[epoch 20]  train_loss: 0.825  val_accuracy: 0.793  train_time: 59.50 s
[epoch 21]  train_loss: 0.789  val_accuracy: 0.782  train_time: 59.00 s
[epoch 22]  train_loss: 0.816  val_accuracy: 0.816  train_time: 59.76 s
[epoch 23]  train_loss: 0.792  val_accuracy: 0.697  train_time: 59.07 s
[epoch 24]  train_loss: 0.789  val_accuracy: 0.789  train_time: 58.70 s
[epoch 25]  train_loss: 0.787  val_accuracy: 0.847  train_time: 60.38 s
[epoch 26]  train_loss: 0.764  val_accuracy: 0.808  train_time: 59.26 s
[epoch 27]  train_loss: 0.765  val_accuracy: 0.851  train_time: 59.60 s
[epoch 28]  train_loss: 0.742  val_accuracy: 0.831  train_time: 59.75 s
[epoch 29]  train_loss: 0.751  val_accuracy: 0.862  train_time: 59.11 s
[epoch 30]  train_loss: 0.713  val_accuracy: 0.774  train_time: 58.79 s
[epoch 31]  train_loss: 0.725  val_accuracy: 0.778  train_time: 59.12 s
[epoch 32]  train_loss: 0.738  val_accuracy: 0.851  train_time: 59.67 s
[epoch 33]  train_loss: 0.740  val_accuracy: 0.755  train_time: 59.24 s
[epoch 34]  train_loss: 0.763  val_accuracy: 0.828  train_time: 59.02 s
[epoch 35]  train_loss: 0.687  val_accuracy: 0.858  train_time: 58.75 s
[epoch 36]  train_loss: 0.693  val_accuracy: 0.812  train_time: 58.69 s
[epoch 37]  train_loss: 0.715  val_accuracy: 0.828  train_time: 58.91 s
[epoch 38]  train_loss: 0.708  val_accuracy: 0.866  train_time: 58.96 s
[epoch 39]  train_loss: 0.692  val_accuracy: 0.874  train_time: 59.92 s
[epoch 40]  train_loss: 0.667  val_accuracy: 0.697  train_time: 61.24 s
[epoch 41]  train_loss: 0.684  val_accuracy: 0.854  train_time: 59.83 s
[epoch 42]  train_loss: 0.666  val_accuracy: 0.904  train_time: 59.54 s
[epoch 43]  train_loss: 0.702  val_accuracy: 0.881  train_time: 58.91 s
[epoch 44]  train_loss: 0.655  val_accuracy: 0.881  train_time: 59.21 s
[epoch 45]  train_loss: 0.634  val_accuracy: 0.851  train_time: 59.58 s
[epoch 46]  train_loss: 0.623  val_accuracy: 0.885  train_time: 58.49 s
[epoch 47]  train_loss: 0.671  val_accuracy: 0.835  train_time: 58.76 s
[epoch 48]  train_loss: 0.644  val_accuracy: 0.885  train_time: 59.51 s
[epoch 49]  train_loss: 0.615  val_accuracy: 0.881  train_time: 58.73 s
[epoch 50]  train_loss: 0.645  val_accuracy: 0.897  train_time: 58.57 s
[epoch 51]  train_loss: 0.625  val_accuracy: 0.889  train_time: 58.41 s
[epoch 52]  train_loss: 0.642  val_accuracy: 0.877  train_time: 59.22 s
[epoch 53]  train_loss: 0.683  val_accuracy: 0.889  train_time: 60.04 s
[epoch 54]  train_loss: 0.683  val_accuracy: 0.701  train_time: 58.89 s
[epoch 55]  train_loss: 0.712  val_accuracy: 0.885  train_time: 58.21 s
[epoch 56]  train_loss: 0.641  val_accuracy: 0.881  train_time: 58.21 s
[epoch 57]  train_loss: 0.633  val_accuracy: 0.889  train_time: 57.95 s
[epoch 58]  train_loss: 0.629  val_accuracy: 0.877  train_time: 58.04 s
[epoch 59]  train_loss: 0.649  val_accuracy: 0.885  train_time: 57.88 s
[epoch 60]  train_loss: 0.603  val_accuracy: 0.874  train_time: 58.31 s
[epoch 61]  train_loss: 0.627  val_accuracy: 0.897  train_time: 57.62 s
[epoch 62]  train_loss: 0.592  val_accuracy: 0.893  train_time: 58.60 s
[epoch 63]  train_loss: 0.597  val_accuracy: 0.893  train_time: 58.20 s
[epoch 64]  train_loss: 0.593  val_accuracy: 0.897  train_time: 57.95 s
[epoch 65]  train_loss: 0.584  val_accuracy: 0.900  train_time: 58.38 s
[epoch 66]  train_loss: 0.587  val_accuracy: 0.762  train_time: 57.38 s
[epoch 67]  train_loss: 0.575  val_accuracy: 0.889  train_time: 58.13 s
[epoch 68]  train_loss: 0.613  val_accuracy: 0.893  train_time: 57.92 s
[epoch 69]  train_loss: 0.598  val_accuracy: 0.881  train_time: 58.11 s
[epoch 70]  train_loss: 0.582  val_accuracy: 0.908  train_time: 57.50 s
[epoch 71]  train_loss: 0.602  val_accuracy: 0.843  train_time: 58.57 s
[epoch 72]  train_loss: 0.583  val_accuracy: 0.897  train_time: 57.68 s
[epoch 73]  train_loss: 0.588  val_accuracy: 0.858  train_time: 57.92 s
[epoch 74]  train_loss: 0.589  val_accuracy: 0.847  train_time: 57.68 s
[epoch 75]  train_loss: 0.600  val_accuracy: 0.916  train_time: 57.92 s
[epoch 76]  train_loss: 0.570  val_accuracy: 0.881  train_time: 57.83 s
[epoch 77]  train_loss: 0.582  val_accuracy: 0.854  train_time: 58.02 s
[epoch 78]  train_loss: 0.567  val_accuracy: 0.889  train_time: 57.98 s
[epoch 79]  train_loss: 0.569  val_accuracy: 0.889  train_time: 57.71 s
[epoch 80]  train_loss: 0.648  val_accuracy: 0.877  train_time: 58.27 s
[epoch 81]  train_loss: 0.585  val_accuracy: 0.904  train_time: 58.07 s
[epoch 82]  train_loss: 0.549  val_accuracy: 0.897  train_time: 59.03 s
[epoch 83]  train_loss: 0.583  val_accuracy: 0.870  train_time: 57.75 s
[epoch 84]  train_loss: 0.620  val_accuracy: 0.885  train_time: 58.00 s
[epoch 85]  train_loss: 0.558  val_accuracy: 0.908  train_time: 58.55 s
[epoch 86]  train_loss: 0.561  val_accuracy: 0.893  train_time: 58.11 s
[epoch 87]  train_loss: 0.569  val_accuracy: 0.912  train_time: 58.73 s
[epoch 88]  train_loss: 0.537  val_accuracy: 0.904  train_time: 58.37 s
[epoch 89]  train_loss: 0.544  val_accuracy: 0.904  train_time: 58.40 s
[epoch 90]  train_loss: 0.538  val_accuracy: 0.893  train_time: 58.26 s
[epoch 91]  train_loss: 0.527  val_accuracy: 0.916  train_time: 58.67 s
[epoch 92]  train_loss: 0.535  val_accuracy: 0.885  train_time: 58.01 s
[epoch 93]  train_loss: 0.559  val_accuracy: 0.897  train_time: 57.19 s
[epoch 94]  train_loss: 0.527  val_accuracy: 0.897  train_time: 57.99 s
[epoch 95]  train_loss: 0.522  val_accuracy: 0.908  train_time: 58.60 s
[epoch 96]  train_loss: 0.531  val_accuracy: 0.904  train_time: 58.37 s
[epoch 97]  train_loss: 0.517  val_accuracy: 0.923  train_time: 57.38 s
[epoch 98]  train_loss: 0.528  val_accuracy: 0.912  train_time: 58.20 s
