[epoch 1]  train_loss: 1.353  val_accuracy: 0.360  train_time: 65.69 s
[epoch 2]  train_loss: 1.314  val_accuracy: 0.456  train_time: 56.68 s
[epoch 3]  train_loss: 1.270  val_accuracy: 0.510  train_time: 55.69 s
[epoch 4]  train_loss: 1.281  val_accuracy: 0.487  train_time: 56.18 s
[epoch 5]  train_loss: 1.228  val_accuracy: 0.525  train_time: 56.73 s
[epoch 6]  train_loss: 1.218  val_accuracy: 0.529  train_time: 56.49 s
[epoch 7]  train_loss: 1.216  val_accuracy: 0.502  train_time: 56.13 s
[epoch 8]  train_loss: 1.192  val_accuracy: 0.525  train_time: 56.04 s
[epoch 9]  train_loss: 1.188  val_accuracy: 0.494  train_time: 55.83 s
[epoch 10]  train_loss: 1.140  val_accuracy: 0.510  train_time: 55.60 s
[epoch 11]  train_loss: 1.048  val_accuracy: 0.670  train_time: 56.06 s
[epoch 12]  train_loss: 0.992  val_accuracy: 0.663  train_time: 56.14 s
[epoch 13]  train_loss: 0.990  val_accuracy: 0.759  train_time: 55.50 s
[epoch 14]  train_loss: 0.985  val_accuracy: 0.697  train_time: 56.29 s
[epoch 15]  train_loss: 0.963  val_accuracy: 0.755  train_time: 56.60 s
[epoch 16]  train_loss: 0.908  val_accuracy: 0.349  train_time: 56.34 s
[epoch 17]  train_loss: 0.936  val_accuracy: 0.789  train_time: 55.64 s
[epoch 18]  train_loss: 0.903  val_accuracy: 0.701  train_time: 56.26 s
[epoch 19]  train_loss: 0.878  val_accuracy: 0.778  train_time: 56.76 s
[epoch 20]  train_loss: 0.884  val_accuracy: 0.808  train_time: 55.81 s
[epoch 21]  train_loss: 0.829  val_accuracy: 0.812  train_time: 55.82 s
[epoch 22]  train_loss: 0.864  val_accuracy: 0.713  train_time: 56.40 s
[epoch 23]  train_loss: 0.852  val_accuracy: 0.743  train_time: 57.90 s
[epoch 24]  train_loss: 0.848  val_accuracy: 0.812  train_time: 57.53 s
[epoch 25]  train_loss: 0.833  val_accuracy: 0.797  train_time: 55.43 s
[epoch 26]  train_loss: 0.824  val_accuracy: 0.797  train_time: 55.87 s
[epoch 27]  train_loss: 0.829  val_accuracy: 0.797  train_time: 55.86 s
[epoch 28]  train_loss: 0.832  val_accuracy: 0.720  train_time: 55.54 s
[epoch 29]  train_loss: 0.815  val_accuracy: 0.743  train_time: 56.28 s
[epoch 30]  train_loss: 0.822  val_accuracy: 0.808  train_time: 56.58 s
[epoch 31]  train_loss: 0.789  val_accuracy: 0.808  train_time: 56.20 s
[epoch 32]  train_loss: 0.742  val_accuracy: 0.808  train_time: 58.24 s
[epoch 33]  train_loss: 0.791  val_accuracy: 0.812  train_time: 56.56 s
[epoch 34]  train_loss: 0.797  val_accuracy: 0.851  train_time: 57.05 s
[epoch 35]  train_loss: 0.763  val_accuracy: 0.820  train_time: 56.63 s
[epoch 36]  train_loss: 0.767  val_accuracy: 0.831  train_time: 56.57 s
[epoch 37]  train_loss: 0.742  val_accuracy: 0.778  train_time: 56.91 s
[epoch 38]  train_loss: 0.746  val_accuracy: 0.751  train_time: 56.95 s
[epoch 39]  train_loss: 0.782  val_accuracy: 0.648  train_time: 56.67 s
[epoch 40]  train_loss: 0.780  val_accuracy: 0.785  train_time: 57.00 s
[epoch 41]  train_loss: 0.739  val_accuracy: 0.831  train_time: 56.46 s
[epoch 42]  train_loss: 0.742  val_accuracy: 0.847  train_time: 56.38 s
[epoch 43]  train_loss: 0.724  val_accuracy: 0.785  train_time: 57.22 s
[epoch 44]  train_loss: 0.740  val_accuracy: 0.835  train_time: 57.34 s
[epoch 45]  train_loss: 0.730  val_accuracy: 0.785  train_time: 57.30 s
[epoch 46]  train_loss: 0.755  val_accuracy: 0.889  train_time: 56.57 s
[epoch 47]  train_loss: 0.719  val_accuracy: 0.843  train_time: 57.34 s
[epoch 48]  train_loss: 0.735  val_accuracy: 0.831  train_time: 56.86 s
[epoch 49]  train_loss: 0.741  val_accuracy: 0.858  train_time: 57.09 s
[epoch 50]  train_loss: 0.703  val_accuracy: 0.889  train_time: 56.88 s
[epoch 51]  train_loss: 0.739  val_accuracy: 0.774  train_time: 56.84 s
[epoch 52]  train_loss: 0.693  val_accuracy: 0.870  train_time: 57.71 s
[epoch 53]  train_loss: 0.681  val_accuracy: 0.839  train_time: 57.21 s
[epoch 54]  train_loss: 0.707  val_accuracy: 0.858  train_time: 57.64 s
[epoch 55]  train_loss: 0.723  val_accuracy: 0.751  train_time: 56.97 s
[epoch 56]  train_loss: 0.712  val_accuracy: 0.870  train_time: 57.62 s
[epoch 57]  train_loss: 0.690  val_accuracy: 0.877  train_time: 57.09 s
[epoch 58]  train_loss: 0.658  val_accuracy: 0.881  train_time: 56.90 s
[epoch 59]  train_loss: 0.672  val_accuracy: 0.877  train_time: 57.44 s
[epoch 60]  train_loss: 0.707  val_accuracy: 0.877  train_time: 57.30 s
[epoch 61]  train_loss: 0.698  val_accuracy: 0.881  train_time: 56.97 s
[epoch 62]  train_loss: 0.690  val_accuracy: 0.808  train_time: 56.36 s
[epoch 63]  train_loss: 0.672  val_accuracy: 0.889  train_time: 56.49 s
[epoch 64]  train_loss: 0.644  val_accuracy: 0.851  train_time: 57.27 s
[epoch 65]  train_loss: 0.646  val_accuracy: 0.854  train_time: 56.98 s
[epoch 66]  train_loss: 0.659  val_accuracy: 0.851  train_time: 56.72 s
[epoch 67]  train_loss: 0.702  val_accuracy: 0.870  train_time: 56.93 s
[epoch 68]  train_loss: 0.674  val_accuracy: 0.866  train_time: 57.16 s
[epoch 69]  train_loss: 0.667  val_accuracy: 0.820  train_time: 57.18 s
[epoch 70]  train_loss: 0.686  val_accuracy: 0.877  train_time: 56.75 s
[epoch 71]  train_loss: 0.654  val_accuracy: 0.816  train_time: 56.93 s
[epoch 72]  train_loss: 0.640  val_accuracy: 0.908  train_time: 57.04 s
[epoch 73]  train_loss: 0.648  val_accuracy: 0.835  train_time: 57.18 s
[epoch 74]  train_loss: 0.686  val_accuracy: 0.897  train_time: 56.04 s
[epoch 75]  train_loss: 0.669  val_accuracy: 0.858  train_time: 56.64 s
[epoch 76]  train_loss: 0.675  val_accuracy: 0.743  train_time: 56.78 s
[epoch 77]  train_loss: 0.619  val_accuracy: 0.862  train_time: 56.32 s
[epoch 78]  train_loss: 0.622  val_accuracy: 0.858  train_time: 56.12 s
[epoch 79]  train_loss: 0.658  val_accuracy: 0.851  train_time: 56.95 s
[epoch 80]  train_loss: 0.635  val_accuracy: 0.782  train_time: 56.94 s
[epoch 81]  train_loss: 0.642  val_accuracy: 0.866  train_time: 56.05 s
[epoch 82]  train_loss: 0.613  val_accuracy: 0.889  train_time: 56.46 s
[epoch 83]  train_loss: 0.617  val_accuracy: 0.897  train_time: 57.66 s
[epoch 84]  train_loss: 0.611  val_accuracy: 0.897  train_time: 57.87 s
[epoch 85]  train_loss: 0.586  val_accuracy: 0.908  train_time: 56.39 s
[epoch 86]  train_loss: 0.628  val_accuracy: 0.923  train_time: 55.68 s
[epoch 87]  train_loss: 0.623  val_accuracy: 0.904  train_time: 56.26 s
[epoch 88]  train_loss: 0.603  val_accuracy: 0.854  train_time: 56.12 s
[epoch 89]  train_loss: 0.582  val_accuracy: 0.874  train_time: 57.64 s
[epoch 90]  train_loss: 0.611  val_accuracy: 0.839  train_time: 56.73 s
[epoch 91]  train_loss: 0.612  val_accuracy: 0.839  train_time: 55.84 s
[epoch 92]  train_loss: 0.619  val_accuracy: 0.854  train_time: 55.94 s
[epoch 93]  train_loss: 0.673  val_accuracy: 0.897  train_time: 55.76 s
[epoch 94]  train_loss: 0.630  val_accuracy: 0.916  train_time: 55.77 s
[epoch 95]  train_loss: 0.622  val_accuracy: 0.881  train_time: 56.44 s
[epoch 96]  train_loss: 0.600  val_accuracy: 0.916  train_time: 57.44 s
[epoch 97]  train_loss: 0.603  val_accuracy: 0.897  train_time: 55.81 s
[epoch 98]  train_loss: 0.560  val_accuracy: 0.904  train_time: 56.69 s
[epoch 99]  train_loss: 0.579  val_accuracy: 0.904  train_time: 56.64 s
[epoch 100]  train_loss: 0.590  val_accuracy: 0.678  train_time: 56.14 s
