[epoch 1]  train_loss: 1.256  val_accuracy: 0.758  train_time: 220.03 s
[epoch 2]  train_loss: 0.952  val_accuracy: 0.806  train_time: 217.30 s
[epoch 3]  train_loss: 0.902  val_accuracy: 0.829  train_time: 217.59 s
[epoch 4]  train_loss: 0.790  val_accuracy: 0.801  train_time: 216.11 s
[epoch 5]  train_loss: 0.800  val_accuracy: 0.829  train_time: 217.27 s
[epoch 6]  train_loss: 0.770  val_accuracy: 0.844  train_time: 215.30 s
[epoch 7]  train_loss: 0.776  val_accuracy: 0.839  train_time: 217.58 s
[epoch 8]  train_loss: 0.707  val_accuracy: 0.863  train_time: 215.31 s
[epoch 9]  train_loss: 0.690  val_accuracy: 0.839  train_time: 216.91 s
[epoch 10]  train_loss: 0.684  val_accuracy: 0.863  train_time: 215.84 s
[epoch 11]  train_loss: 0.665  val_accuracy: 0.844  train_time: 217.59 s
[epoch 12]  train_loss: 0.672  val_accuracy: 0.858  train_time: 215.81 s
[epoch 13]  train_loss: 0.668  val_accuracy: 0.863  train_time: 216.76 s
[epoch 14]  train_loss: 0.657  val_accuracy: 0.853  train_time: 215.44 s
[epoch 15]  train_loss: 0.673  val_accuracy: 0.863  train_time: 215.66 s
[epoch 16]  train_loss: 0.644  val_accuracy: 0.848  train_time: 217.62 s
[epoch 17]  train_loss: 0.639  val_accuracy: 0.882  train_time: 215.47 s
[epoch 18]  train_loss: 0.663  val_accuracy: 0.867  train_time: 215.03 s
[epoch 19]  train_loss: 0.608  val_accuracy: 0.877  train_time: 216.21 s
[epoch 20]  train_loss: 0.622  val_accuracy: 0.872  train_time: 218.29 s
[epoch 21]  train_loss: 0.611  val_accuracy: 0.877  train_time: 217.08 s
[epoch 22]  train_loss: 0.595  val_accuracy: 0.877  train_time: 215.64 s
[epoch 23]  train_loss: 0.583  val_accuracy: 0.853  train_time: 215.99 s
[epoch 24]  train_loss: 0.589  val_accuracy: 0.872  train_time: 220.54 s
[epoch 25]  train_loss: 0.555  val_accuracy: 0.839  train_time: 216.57 s
[epoch 26]  train_loss: 0.567  val_accuracy: 0.863  train_time: 217.71 s
[epoch 27]  train_loss: 0.571  val_accuracy: 0.863  train_time: 217.80 s
[epoch 28]  train_loss: 0.565  val_accuracy: 0.877  train_time: 216.51 s
[epoch 29]  train_loss: 0.574  val_accuracy: 0.891  train_time: 216.36 s
[epoch 30]  train_loss: 0.546  val_accuracy: 0.896  train_time: 217.36 s
[epoch 31]  train_loss: 0.585  val_accuracy: 0.877  train_time: 215.92 s
[epoch 32]  train_loss: 0.536  val_accuracy: 0.886  train_time: 217.16 s
[epoch 33]  train_loss: 0.564  val_accuracy: 0.863  train_time: 216.82 s
[epoch 34]  train_loss: 0.588  val_accuracy: 0.877  train_time: 216.58 s
[epoch 35]  train_loss: 0.552  val_accuracy: 0.886  train_time: 216.36 s
[epoch 36]  train_loss: 0.625  val_accuracy: 0.872  train_time: 217.88 s
[epoch 37]  train_loss: 0.616  val_accuracy: 0.886  train_time: 216.19 s
[epoch 38]  train_loss: 0.551  val_accuracy: 0.891  train_time: 217.51 s
[epoch 39]  train_loss: 0.562  val_accuracy: 0.886  train_time: 215.08 s
[epoch 40]  train_loss: 0.505  val_accuracy: 0.858  train_time: 216.46 s
[epoch 41]  train_loss: 0.503  val_accuracy: 0.896  train_time: 214.92 s
[epoch 42]  train_loss: 0.532  val_accuracy: 0.882  train_time: 217.87 s
[epoch 43]  train_loss: 0.529  val_accuracy: 0.886  train_time: 217.18 s
[epoch 44]  train_loss: 0.557  val_accuracy: 0.910  train_time: 221.23 s
[epoch 45]  train_loss: 0.529  val_accuracy: 0.886  train_time: 216.62 s
[epoch 46]  train_loss: 0.552  val_accuracy: 0.886  train_time: 216.65 s
[epoch 47]  train_loss: 0.488  val_accuracy: 0.896  train_time: 216.20 s
[epoch 48]  train_loss: 0.523  val_accuracy: 0.891  train_time: 217.25 s
[epoch 49]  train_loss: 0.546  val_accuracy: 0.872  train_time: 217.52 s
[epoch 50]  train_loss: 0.538  val_accuracy: 0.829  train_time: 216.57 s
[epoch 51]  train_loss: 0.502  val_accuracy: 0.872  train_time: 216.47 s
[epoch 52]  train_loss: 0.502  val_accuracy: 0.891  train_time: 215.65 s
[epoch 53]  train_loss: 0.506  val_accuracy: 0.872  train_time: 217.83 s
[epoch 54]  train_loss: 0.519  val_accuracy: 0.910  train_time: 217.41 s
[epoch 55]  train_loss: 0.485  val_accuracy: 0.867  train_time: 217.82 s
[epoch 56]  train_loss: 0.480  val_accuracy: 0.877  train_time: 216.61 s
[epoch 57]  train_loss: 0.518  val_accuracy: 0.872  train_time: 217.07 s
[epoch 58]  train_loss: 0.506  val_accuracy: 0.858  train_time: 215.78 s
[epoch 59]  train_loss: 0.519  val_accuracy: 0.877  train_time: 217.11 s
[epoch 60]  train_loss: 0.526  val_accuracy: 0.882  train_time: 218.42 s
