[epoch 1]  train_loss: 1.448  val_accuracy: 0.310  train_time: 802.27 s
[epoch 2]  train_loss: 1.366  val_accuracy: 0.467  train_time: 805.53 s
[epoch 3]  train_loss: 1.346  val_accuracy: 0.460  train_time: 805.30 s
[epoch 4]  train_loss: 1.304  val_accuracy: 0.513  train_time: 805.60 s
[epoch 5]  train_loss: 1.289  val_accuracy: 0.433  train_time: 805.14 s
[epoch 6]  train_loss: 1.311  val_accuracy: 0.517  train_time: 804.92 s
[epoch 7]  train_loss: 1.253  val_accuracy: 0.529  train_time: 807.76 s
[epoch 8]  train_loss: 1.252  val_accuracy: 0.506  train_time: 806.00 s
[epoch 9]  train_loss: 1.269  val_accuracy: 0.571  train_time: 805.46 s
[epoch 10]  train_loss: 1.252  val_accuracy: 0.521  train_time: 803.51 s
[epoch 11]  train_loss: 1.242  val_accuracy: 0.579  train_time: 804.05 s
[epoch 12]  train_loss: 1.206  val_accuracy: 0.563  train_time: 803.75 s
[epoch 13]  train_loss: 1.202  val_accuracy: 0.544  train_time: 802.50 s
[epoch 14]  train_loss: 1.179  val_accuracy: 0.590  train_time: 800.82 s
[epoch 15]  train_loss: 1.189  val_accuracy: 0.582  train_time: 800.51 s
[epoch 16]  train_loss: 1.124  val_accuracy: 0.644  train_time: 800.60 s
[epoch 17]  train_loss: 1.098  val_accuracy: 0.659  train_time: 799.74 s
[epoch 18]  train_loss: 1.055  val_accuracy: 0.640  train_time: 801.21 s
[epoch 19]  train_loss: 1.047  val_accuracy: 0.724  train_time: 800.71 s
[epoch 20]  train_loss: 1.001  val_accuracy: 0.736  train_time: 799.95 s
[epoch 21]  train_loss: 0.999  val_accuracy: 0.751  train_time: 801.98 s
[epoch 22]  train_loss: 1.001  val_accuracy: 0.709  train_time: 800.34 s
[epoch 23]  train_loss: 0.977  val_accuracy: 0.747  train_time: 798.69 s
[epoch 24]  train_loss: 1.018  val_accuracy: 0.739  train_time: 800.41 s
[epoch 25]  train_loss: 0.934  val_accuracy: 0.766  train_time: 800.87 s
[epoch 26]  train_loss: 0.923  val_accuracy: 0.743  train_time: 800.54 s
[epoch 27]  train_loss: 0.882  val_accuracy: 0.747  train_time: 802.47 s
[epoch 28]  train_loss: 0.875  val_accuracy: 0.743  train_time: 801.82 s
[epoch 29]  train_loss: 0.921  val_accuracy: 0.663  train_time: 800.43 s
[epoch 30]  train_loss: 0.901  val_accuracy: 0.797  train_time: 799.67 s
