[epoch 1]  train_loss: 1.069  val_accuracy: 0.801  train_time: 273.39 s
[epoch 2]  train_loss: 0.788  val_accuracy: 0.655  train_time: 271.68 s
[epoch 3]  train_loss: 0.711  val_accuracy: 0.851  train_time: 270.68 s
[epoch 4]  train_loss: 0.678  val_accuracy: 0.870  train_time: 270.37 s
[epoch 5]  train_loss: 0.667  val_accuracy: 0.858  train_time: 270.53 s
[epoch 6]  train_loss: 0.590  val_accuracy: 0.885  train_time: 270.93 s
[epoch 7]  train_loss: 0.605  val_accuracy: 0.881  train_time: 270.79 s
[epoch 8]  train_loss: 0.597  val_accuracy: 0.877  train_time: 270.01 s
[epoch 9]  train_loss: 0.548  val_accuracy: 0.889  train_time: 271.31 s
[epoch 10]  train_loss: 0.536  val_accuracy: 0.916  train_time: 272.02 s
[epoch 11]  train_loss: 0.529  val_accuracy: 0.881  train_time: 272.44 s
[epoch 12]  train_loss: 0.525  val_accuracy: 0.904  train_time: 271.06 s
[epoch 13]  train_loss: 0.543  val_accuracy: 0.885  train_time: 270.87 s
[epoch 14]  train_loss: 0.530  val_accuracy: 0.881  train_time: 271.76 s
[epoch 15]  train_loss: 0.541  val_accuracy: 0.889  train_time: 271.80 s
[epoch 16]  train_loss: 0.560  val_accuracy: 0.877  train_time: 271.37 s
[epoch 17]  train_loss: 0.527  val_accuracy: 0.889  train_time: 270.72 s
[epoch 18]  train_loss: 0.500  val_accuracy: 0.900  train_time: 271.16 s
[epoch 19]  train_loss: 0.524  val_accuracy: 0.866  train_time: 271.35 s
[epoch 20]  train_loss: 0.528  val_accuracy: 0.904  train_time: 271.84 s
[epoch 21]  train_loss: 0.494  val_accuracy: 0.889  train_time: 275.76 s
[epoch 22]  train_loss: 0.513  val_accuracy: 0.877  train_time: 272.44 s
[epoch 23]  train_loss: 0.491  val_accuracy: 0.893  train_time: 270.49 s
[epoch 24]  train_loss: 0.475  val_accuracy: 0.908  train_time: 271.33 s
[epoch 25]  train_loss: 0.504  val_accuracy: 0.912  train_time: 271.26 s
[epoch 26]  train_loss: 0.462  val_accuracy: 0.908  train_time: 272.53 s
[epoch 27]  train_loss: 0.503  val_accuracy: 0.893  train_time: 271.02 s
[epoch 28]  train_loss: 0.460  val_accuracy: 0.908  train_time: 270.86 s
[epoch 29]  train_loss: 0.454  val_accuracy: 0.912  train_time: 271.25 s
[epoch 30]  train_loss: 0.495  val_accuracy: 0.900  train_time: 271.27 s
