[epoch 1]  train_loss: 1.389  val_accuracy: 0.420  train_time: 406.15 s
[epoch 2]  train_loss: 1.345  val_accuracy: 0.431  train_time: 400.52 s
[epoch 3]  train_loss: 1.285  val_accuracy: 0.490  train_time: 400.29 s
[epoch 4]  train_loss: 1.277  val_accuracy: 0.527  train_time: 399.59 s
[epoch 5]  train_loss: 1.257  val_accuracy: 0.502  train_time: 399.51 s
[epoch 6]  train_loss: 1.221  val_accuracy: 0.557  train_time: 399.44 s
[epoch 7]  train_loss: 1.208  val_accuracy: 0.538  train_time: 401.63 s
[epoch 8]  train_loss: 1.195  val_accuracy: 0.603  train_time: 400.60 s
[epoch 9]  train_loss: 1.161  val_accuracy: 0.565  train_time: 403.64 s
[epoch 10]  train_loss: 1.104  val_accuracy: 0.611  train_time: 400.48 s
[epoch 11]  train_loss: 1.086  val_accuracy: 0.611  train_time: 400.95 s
[epoch 12]  train_loss: 1.038  val_accuracy: 0.727  train_time: 402.18 s
[epoch 13]  train_loss: 1.018  val_accuracy: 0.641  train_time: 401.14 s
[epoch 14]  train_loss: 1.055  val_accuracy: 0.708  train_time: 402.41 s
[epoch 15]  train_loss: 0.962  val_accuracy: 0.704  train_time: 401.89 s
[epoch 16]  train_loss: 0.929  val_accuracy: 0.698  train_time: 401.97 s
[epoch 17]  train_loss: 0.942  val_accuracy: 0.748  train_time: 401.09 s
[epoch 18]  train_loss: 0.915  val_accuracy: 0.677  train_time: 403.32 s
[epoch 19]  train_loss: 0.904  val_accuracy: 0.756  train_time: 401.37 s
[epoch 20]  train_loss: 0.915  val_accuracy: 0.740  train_time: 402.21 s
[epoch 21]  train_loss: 0.907  val_accuracy: 0.748  train_time: 401.87 s
[epoch 22]  train_loss: 0.904  val_accuracy: 0.744  train_time: 402.00 s
[epoch 23]  train_loss: 0.885  val_accuracy: 0.784  train_time: 401.87 s
[epoch 24]  train_loss: 0.850  val_accuracy: 0.809  train_time: 404.20 s
[epoch 25]  train_loss: 0.846  val_accuracy: 0.765  train_time: 402.12 s
[epoch 26]  train_loss: 0.825  val_accuracy: 0.758  train_time: 401.46 s
[epoch 27]  train_loss: 0.839  val_accuracy: 0.765  train_time: 401.53 s
[epoch 28]  train_loss: 0.854  val_accuracy: 0.838  train_time: 401.90 s
[epoch 29]  train_loss: 0.823  val_accuracy: 0.809  train_time: 401.91 s
[epoch 30]  train_loss: 0.834  val_accuracy: 0.769  train_time: 403.76 s
