[epoch 1]  train_loss: 1.511  val_accuracy: 0.393  train_time: 604.96 s
[epoch 2]  train_loss: 1.326  val_accuracy: 0.411  train_time: 597.16 s
[epoch 3]  train_loss: 1.379  val_accuracy: 0.417  train_time: 598.51 s
[epoch 4]  train_loss: 1.358  val_accuracy: 0.471  train_time: 598.00 s
[epoch 5]  train_loss: 1.315  val_accuracy: 0.461  train_time: 597.00 s
[epoch 6]  train_loss: 1.284  val_accuracy: 0.505  train_time: 596.16 s
[epoch 7]  train_loss: 1.291  val_accuracy: 0.489  train_time: 597.28 s
[epoch 8]  train_loss: 1.296  val_accuracy: 0.342  train_time: 596.63 s
[epoch 9]  train_loss: 1.313  val_accuracy: 0.462  train_time: 597.59 s
[epoch 10]  train_loss: 1.267  val_accuracy: 0.466  train_time: 597.40 s
[epoch 11]  train_loss: 1.235  val_accuracy: 0.497  train_time: 596.75 s
[epoch 12]  train_loss: 1.256  val_accuracy: 0.438  train_time: 598.08 s
[epoch 13]  train_loss: 1.267  val_accuracy: 0.495  train_time: 597.43 s
[epoch 14]  train_loss: 1.246  val_accuracy: 0.502  train_time: 598.35 s
[epoch 15]  train_loss: 1.251  val_accuracy: 0.515  train_time: 597.81 s
[epoch 16]  train_loss: 1.223  val_accuracy: 0.479  train_time: 597.18 s
[epoch 17]  train_loss: 1.238  val_accuracy: 0.523  train_time: 594.95 s
[epoch 18]  train_loss: 1.227  val_accuracy: 0.503  train_time: 596.36 s
[epoch 19]  train_loss: 1.229  val_accuracy: 0.545  train_time: 595.76 s
[epoch 20]  train_loss: 1.234  val_accuracy: 0.549  train_time: 595.19 s
[epoch 21]  train_loss: 1.202  val_accuracy: 0.573  train_time: 596.46 s
[epoch 22]  train_loss: 1.168  val_accuracy: 0.629  train_time: 596.95 s
[epoch 23]  train_loss: 1.175  val_accuracy: 0.612  train_time: 595.40 s
[epoch 24]  train_loss: 1.163  val_accuracy: 0.619  train_time: 596.70 s
[epoch 25]  train_loss: 1.121  val_accuracy: 0.630  train_time: 595.08 s
[epoch 26]  train_loss: 1.132  val_accuracy: 0.634  train_time: 594.16 s
[epoch 27]  train_loss: 1.095  val_accuracy: 0.679  train_time: 596.04 s
[epoch 28]  train_loss: 1.109  val_accuracy: 0.685  train_time: 595.02 s
[epoch 29]  train_loss: 1.040  val_accuracy: 0.683  train_time: 594.76 s
[epoch 30]  train_loss: 1.031  val_accuracy: 0.696  train_time: 594.76 s
