[epoch 1]  train_loss: 1.280  val_accuracy: 0.749  train_time: 388.15 s
[epoch 2]  train_loss: 0.985  val_accuracy: 0.796  train_time: 380.84 s
[epoch 3]  train_loss: 0.891  val_accuracy: 0.801  train_time: 374.60 s
[epoch 4]  train_loss: 0.831  val_accuracy: 0.834  train_time: 386.34 s
[epoch 5]  train_loss: 0.807  val_accuracy: 0.844  train_time: 380.34 s
[epoch 6]  train_loss: 0.770  val_accuracy: 0.863  train_time: 367.70 s
[epoch 7]  train_loss: 0.745  val_accuracy: 0.716  train_time: 372.51 s
[epoch 8]  train_loss: 0.751  val_accuracy: 0.801  train_time: 382.76 s
[epoch 9]  train_loss: 0.700  val_accuracy: 0.877  train_time: 379.37 s
[epoch 10]  train_loss: 0.665  val_accuracy: 0.867  train_time: 378.22 s
[epoch 11]  train_loss: 0.676  val_accuracy: 0.858  train_time: 375.00 s
[epoch 12]  train_loss: 0.676  val_accuracy: 0.853  train_time: 375.43 s
[epoch 13]  train_loss: 0.687  val_accuracy: 0.863  train_time: 381.39 s
[epoch 14]  train_loss: 0.700  val_accuracy: 0.872  train_time: 378.40 s
[epoch 15]  train_loss: 0.672  val_accuracy: 0.877  train_time: 375.90 s
[epoch 16]  train_loss: 0.644  val_accuracy: 0.863  train_time: 377.09 s
[epoch 17]  train_loss: 0.641  val_accuracy: 0.886  train_time: 374.88 s
[epoch 18]  train_loss: 0.666  val_accuracy: 0.858  train_time: 381.11 s
[epoch 19]  train_loss: 0.653  val_accuracy: 0.858  train_time: 376.91 s
[epoch 20]  train_loss: 0.623  val_accuracy: 0.900  train_time: 375.45 s
[epoch 21]  train_loss: 0.645  val_accuracy: 0.867  train_time: 376.75 s
[epoch 22]  train_loss: 0.606  val_accuracy: 0.853  train_time: 378.94 s
[epoch 23]  train_loss: 0.610  val_accuracy: 0.872  train_time: 380.19 s
[epoch 24]  train_loss: 0.622  val_accuracy: 0.858  train_time: 380.03 s
[epoch 25]  train_loss: 0.604  val_accuracy: 0.882  train_time: 382.96 s
[epoch 26]  train_loss: 0.632  val_accuracy: 0.877  train_time: 383.67 s
[epoch 27]  train_loss: 0.602  val_accuracy: 0.882  train_time: 385.12 s
[epoch 28]  train_loss: 0.580  val_accuracy: 0.867  train_time: 384.46 s
[epoch 29]  train_loss: 0.601  val_accuracy: 0.867  train_time: 386.72 s
[epoch 30]  train_loss: 0.582  val_accuracy: 0.877  train_time: 385.66 s
