
[epoch 1]  train_loss: 1.258  val_accuracy: 0.730  train_time: 194.42 s
[epoch 2]  train_loss: 0.979  val_accuracy: 0.829  train_time: 190.26 s
[epoch 3]  train_loss: 0.904  val_accuracy: 0.774  train_time: 188.22 s
[epoch 4]  train_loss: 0.844  val_accuracy: 0.860  train_time: 192.60 s
[epoch 5]  train_loss: 0.782  val_accuracy: 0.851  train_time: 188.79 s
[epoch 6]  train_loss: 0.803  val_accuracy: 0.843  train_time: 186.52 s
[epoch 7]  train_loss: 0.776  val_accuracy: 0.845  train_time: 186.29 s
[epoch 8]  train_loss: 0.738  val_accuracy: 0.857  train_time: 187.04 s
[epoch 9]  train_loss: 0.690  val_accuracy: 0.870  train_time: 186.14 s
[epoch 10]  train_loss: 0.745  val_accuracy: 0.871  train_time: 187.02 s
[epoch 11]  train_loss: 0.675  val_accuracy: 0.878  train_time: 187.81 s
[epoch 12]  train_loss: 0.674  val_accuracy: 0.846  train_time: 192.84 s
[epoch 13]  train_loss: 0.700  val_accuracy: 0.868  train_time: 197.36 s
[epoch 14]  train_loss: 0.693  val_accuracy: 0.873  train_time: 191.42 s
[epoch 15]  train_loss: 0.654  val_accuracy: 0.881  train_time: 191.86 s
[epoch 16]  train_loss: 0.618  val_accuracy: 0.879  train_time: 197.08 s
[epoch 17]  train_loss: 0.636  val_accuracy: 0.865  train_time: 191.67 s
[epoch 18]  train_loss: 0.617  val_accuracy: 0.870  train_time: 191.22 s
[epoch 19]  train_loss: 0.624  val_accuracy: 0.885  train_time: 190.14 s
[epoch 20]  train_loss: 0.579  val_accuracy: 0.892  train_time: 191.45 s
[epoch 21]  train_loss: 0.583  val_accuracy: 0.879  train_time: 189.60 s
[epoch 22]  train_loss: 0.596  val_accuracy: 0.874  train_time: 191.79 s
[epoch 23]  train_loss: 0.627  val_accuracy: 0.879  train_time: 193.11 s
[epoch 24]  train_loss: 0.611  val_accuracy: 0.870  train_time: 190.43 s
[epoch 25]  train_loss: 0.622  val_accuracy: 0.882  train_time: 190.28 s
[epoch 26]  train_loss: 0.596  val_accuracy: 0.870  train_time: 191.41 s
[epoch 27]  train_loss: 0.610  val_accuracy: 0.881  train_time: 190.06 s
[epoch 28]  train_loss: 0.575  val_accuracy: 0.876  train_time: 190.06 s
[epoch 29]  train_loss: 0.557  val_accuracy: 0.898  train_time: 189.80 s
[epoch 30]  train_loss: 0.546  val_accuracy: 0.890  train_time: 192.38 s
