[epoch 1]  train_loss: 1.252  val_accuracy: 0.602  train_time: 227.83 s
[epoch 2]  train_loss: 0.983  val_accuracy: 0.791  train_time: 223.64 s
[epoch 3]  train_loss: 0.866  val_accuracy: 0.834  train_time: 222.13 s
[epoch 4]  train_loss: 0.850  val_accuracy: 0.829  train_time: 223.45 s
[epoch 5]  train_loss: 0.790  val_accuracy: 0.853  train_time: 223.27 s
[epoch 6]  train_loss: 0.813  val_accuracy: 0.848  train_time: 222.86 s
[epoch 7]  train_loss: 0.743  val_accuracy: 0.844  train_time: 226.21 s
[epoch 8]  train_loss: 0.732  val_accuracy: 0.872  train_time: 224.01 s
[epoch 9]  train_loss: 0.714  val_accuracy: 0.863  train_time: 223.56 s
[epoch 10]  train_loss: 0.702  val_accuracy: 0.872  train_time: 223.85 s
[epoch 11]  train_loss: 0.708  val_accuracy: 0.806  train_time: 223.82 s
[epoch 12]  train_loss: 0.687  val_accuracy: 0.844  train_time: 224.30 s
[epoch 13]  train_loss: 0.684  val_accuracy: 0.858  train_time: 224.70 s
[epoch 14]  train_loss: 0.654  val_accuracy: 0.872  train_time: 224.55 s
[epoch 15]  train_loss: 0.660  val_accuracy: 0.848  train_time: 228.57 s
[epoch 16]  train_loss: 0.640  val_accuracy: 0.858  train_time: 223.53 s
[epoch 17]  train_loss: 0.648  val_accuracy: 0.844  train_time: 224.48 s
[epoch 18]  train_loss: 0.633  val_accuracy: 0.858  train_time: 224.46 s
[epoch 19]  train_loss: 0.635  val_accuracy: 0.853  train_time: 225.09 s
[epoch 20]  train_loss: 0.640  val_accuracy: 0.848  train_time: 224.17 s
[epoch 21]  train_loss: 0.626  val_accuracy: 0.810  train_time: 225.38 s
[epoch 22]  train_loss: 0.657  val_accuracy: 0.858  train_time: 223.84 s
[epoch 23]  train_loss: 0.614  val_accuracy: 0.882  train_time: 225.36 s
[epoch 24]  train_loss: 0.602  val_accuracy: 0.829  train_time: 230.19 s
[epoch 25]  train_loss: 0.594  val_accuracy: 0.863  train_time: 226.63 s
[epoch 26]  train_loss: 0.578  val_accuracy: 0.863  train_time: 223.16 s
[epoch 27]  train_loss: 0.570  val_accuracy: 0.858  train_time: 223.38 s
[epoch 28]  train_loss: 0.608  val_accuracy: 0.853  train_time: 225.50 s
[epoch 29]  train_loss: 0.564  val_accuracy: 0.853  train_time: 225.01 s
[epoch 30]  train_loss: 0.581  val_accuracy: 0.834  train_time: 224.56 s
