[epoch 1]  train_loss: 1.268  val_accuracy: 0.787  train_time: 217.84 s
[epoch 2]  train_loss: 0.941  val_accuracy: 0.801  train_time: 217.92 s
[epoch 3]  train_loss: 0.868  val_accuracy: 0.844  train_time: 217.49 s
[epoch 4]  train_loss: 0.839  val_accuracy: 0.848  train_time: 217.45 s
[epoch 5]  train_loss: 0.783  val_accuracy: 0.853  train_time: 217.22 s
[epoch 6]  train_loss: 0.760  val_accuracy: 0.820  train_time: 217.45 s
[epoch 7]  train_loss: 0.751  val_accuracy: 0.863  train_time: 216.59 s
[epoch 8]  train_loss: 0.710  val_accuracy: 0.848  train_time: 217.75 s
[epoch 9]  train_loss: 0.726  val_accuracy: 0.867  train_time: 218.14 s
[epoch 10]  train_loss: 0.705  val_accuracy: 0.867  train_time: 218.33 s
[epoch 11]  train_loss: 0.719  val_accuracy: 0.896  train_time: 218.01 s
[epoch 12]  train_loss: 0.693  val_accuracy: 0.872  train_time: 217.35 s
[epoch 13]  train_loss: 0.653  val_accuracy: 0.872  train_time: 217.58 s
[epoch 14]  train_loss: 0.685  val_accuracy: 0.872  train_time: 218.56 s
[epoch 15]  train_loss: 0.661  val_accuracy: 0.853  train_time: 217.33 s
[epoch 16]  train_loss: 0.619  val_accuracy: 0.863  train_time: 217.67 s
[epoch 17]  train_loss: 0.627  val_accuracy: 0.848  train_time: 217.65 s
[epoch 18]  train_loss: 0.644  val_accuracy: 0.853  train_time: 217.41 s
[epoch 19]  train_loss: 0.624  val_accuracy: 0.858  train_time: 217.48 s
[epoch 20]  train_loss: 0.650  val_accuracy: 0.844  train_time: 217.79 s
[epoch 21]  train_loss: 0.630  val_accuracy: 0.853  train_time: 220.97 s
[epoch 22]  train_loss: 0.588  val_accuracy: 0.882  train_time: 218.18 s
[epoch 23]  train_loss: 0.598  val_accuracy: 0.867  train_time: 217.66 s
[epoch 24]  train_loss: 0.555  val_accuracy: 0.872  train_time: 217.68 s
[epoch 25]  train_loss: 0.631  val_accuracy: 0.872  train_time: 218.16 s
[epoch 26]  train_loss: 0.581  val_accuracy: 0.877  train_time: 220.38 s
[epoch 27]  train_loss: 0.574  val_accuracy: 0.882  train_time: 217.41 s
[epoch 28]  train_loss: 0.546  val_accuracy: 0.848  train_time: 215.18 s
[epoch 29]  train_loss: 0.621  val_accuracy: 0.853  train_time: 216.20 s
[epoch 30]  train_loss: 0.549  val_accuracy: 0.863  train_time: 215.27 s
