[epoch 1]  train_loss: 1.131  val_accuracy: 0.808  train_time: 675.87 s
[epoch 2]  train_loss: 0.744  val_accuracy: 0.800  train_time: 671.71 s
[epoch 3]  train_loss: 0.732  val_accuracy: 0.868  train_time: 647.56 s
[epoch 4]  train_loss: 0.697  val_accuracy: 0.866  train_time: 634.61 s
[epoch 5]  train_loss: 0.647  val_accuracy: 0.889  train_time: 637.46 s
[epoch 6]  train_loss: 0.633  val_accuracy: 0.883  train_time: 640.78 s
[epoch 7]  train_loss: 0.562  val_accuracy: 0.888  train_time: 638.76 s
[epoch 8]  train_loss: 0.594  val_accuracy: 0.884  train_time: 636.36 s
[epoch 9]  train_loss: 0.558  val_accuracy: 0.901  train_time: 634.89 s
[epoch 10]  train_loss: 0.530  val_accuracy: 0.899  train_time: 637.57 s
[epoch 11]  train_loss: 0.537  val_accuracy: 0.881  train_time: 635.92 s
[epoch 12]  train_loss: 0.537  val_accuracy: 0.911  train_time: 637.69 s
[epoch 13]  train_loss: 0.519  val_accuracy: 0.907  train_time: 643.74 s
[epoch 14]  train_loss: 0.524  val_accuracy: 0.903  train_time: 637.79 s
[epoch 15]  train_loss: 0.490  val_accuracy: 0.903  train_time: 634.71 s
[epoch 16]  train_loss: 0.448  val_accuracy: 0.904  train_time: 637.84 s
[epoch 17]  train_loss: 0.508  val_accuracy: 0.881  train_time: 642.48 s
[epoch 18]  train_loss: 0.486  val_accuracy: 0.908  train_time: 635.31 s
[epoch 19]  train_loss: 0.484  val_accuracy: 0.916  train_time: 637.34 s
[epoch 20]  train_loss: 0.482  val_accuracy: 0.921  train_time: 637.34 s
[epoch 21]  train_loss: 0.457  val_accuracy: 0.911  train_time: 638.73 s
[epoch 22]  train_loss: 0.465  val_accuracy: 0.908  train_time: 635.39 s
[epoch 23]  train_loss: 0.441  val_accuracy: 0.907  train_time: 641.78 s
[epoch 24]  train_loss: 0.482  val_accuracy: 0.911  train_time: 637.44 s
[epoch 25]  train_loss: 0.436  val_accuracy: 0.910  train_time: 635.07 s
[epoch 26]  train_loss: 0.504  val_accuracy: 0.913  train_time: 637.73 s
[epoch 27]  train_loss: 0.447  val_accuracy: 0.908  train_time: 640.75 s
[epoch 28]  train_loss: 0.434  val_accuracy: 0.921  train_time: 644.24 s
[epoch 29]  train_loss: 0.455  val_accuracy: 0.906  train_time: 638.16 s
[epoch 30]  train_loss: 0.445  val_accuracy: 0.917  train_time: 639.21 s
