[epoch 1]  train_loss: 1.372  val_accuracy: 0.417  train_time: 221.74 s
[epoch 2]  train_loss: 1.323  val_accuracy: 0.483  train_time: 214.62 s
[epoch 3]  train_loss: 1.286  val_accuracy: 0.526  train_time: 215.35 s
[epoch 4]  train_loss: 1.272  val_accuracy: 0.442  train_time: 214.23 s
[epoch 5]  train_loss: 1.246  val_accuracy: 0.497  train_time: 214.58 s
[epoch 6]  train_loss: 1.240  val_accuracy: 0.538  train_time: 215.23 s
[epoch 7]  train_loss: 1.264  val_accuracy: 0.554  train_time: 214.78 s
[epoch 8]  train_loss: 1.201  val_accuracy: 0.561  train_time: 214.89 s
[epoch 9]  train_loss: 1.205  val_accuracy: 0.501  train_time: 215.66 s
[epoch 10]  train_loss: 1.161  val_accuracy: 0.476  train_time: 214.67 s
[epoch 11]  train_loss: 1.095  val_accuracy: 0.597  train_time: 215.02 s
[epoch 12]  train_loss: 1.063  val_accuracy: 0.598  train_time: 214.97 s
[epoch 13]  train_loss: 1.006  val_accuracy: 0.649  train_time: 215.25 s
[epoch 14]  train_loss: 0.979  val_accuracy: 0.701  train_time: 214.33 s
[epoch 15]  train_loss: 0.950  val_accuracy: 0.713  train_time: 216.46 s
[epoch 16]  train_loss: 0.948  val_accuracy: 0.692  train_time: 214.96 s
[epoch 17]  train_loss: 0.916  val_accuracy: 0.731  train_time: 215.52 s
[epoch 18]  train_loss: 0.908  val_accuracy: 0.724  train_time: 215.60 s
[epoch 19]  train_loss: 0.913  val_accuracy: 0.677  train_time: 215.84 s
[epoch 20]  train_loss: 0.907  val_accuracy: 0.666  train_time: 216.19 s
[epoch 21]  train_loss: 0.894  val_accuracy: 0.685  train_time: 215.68 s
[epoch 22]  train_loss: 0.911  val_accuracy: 0.757  train_time: 216.20 s
[epoch 23]  train_loss: 0.879  val_accuracy: 0.690  train_time: 215.35 s
[epoch 24]  train_loss: 0.869  val_accuracy: 0.760  train_time: 216.70 s
[epoch 25]  train_loss: 0.869  val_accuracy: 0.758  train_time: 215.89 s
[epoch 26]  train_loss: 0.849  val_accuracy: 0.750  train_time: 215.15 s
[epoch 27]  train_loss: 0.850  val_accuracy: 0.755  train_time: 215.31 s
[epoch 28]  train_loss: 0.861  val_accuracy: 0.769  train_time: 216.31 s
[epoch 29]  train_loss: 0.838  val_accuracy: 0.731  train_time: 215.54 s
[epoch 30]  train_loss: 0.844  val_accuracy: 0.706  train_time: 215.42 s
