[epoch 1]  train_loss: 1.604  val_accuracy: 0.242  train_time: 61.70 s
[epoch 2]  train_loss: 1.551  val_accuracy: 0.180  train_time: 53.14 s
[epoch 3]  train_loss: 1.543  val_accuracy: 0.427  train_time: 53.16 s
[epoch 4]  train_loss: 1.513  val_accuracy: 0.336  train_time: 55.57 s
[epoch 5]  train_loss: 1.498  val_accuracy: 0.450  train_time: 53.22 s
[epoch 6]  train_loss: 1.455  val_accuracy: 0.389  train_time: 53.45 s
[epoch 7]  train_loss: 1.386  val_accuracy: 0.398  train_time: 54.28 s
[epoch 8]  train_loss: 1.358  val_accuracy: 0.559  train_time: 53.74 s
[epoch 9]  train_loss: 1.274  val_accuracy: 0.630  train_time: 53.95 s
[epoch 10]  train_loss: 1.264  val_accuracy: 0.654  train_time: 54.00 s
[epoch 11]  train_loss: 1.237  val_accuracy: 0.673  train_time: 54.39 s
[epoch 12]  train_loss: 1.182  val_accuracy: 0.583  train_time: 53.59 s
[epoch 13]  train_loss: 1.167  val_accuracy: 0.412  train_time: 53.15 s
[epoch 14]  train_loss: 1.157  val_accuracy: 0.716  train_time: 54.00 s
[epoch 15]  train_loss: 1.152  val_accuracy: 0.512  train_time: 54.26 s
[epoch 16]  train_loss: 1.128  val_accuracy: 0.716  train_time: 53.73 s
[epoch 17]  train_loss: 1.110  val_accuracy: 0.754  train_time: 53.70 s
[epoch 18]  train_loss: 1.080  val_accuracy: 0.635  train_time: 54.35 s
[epoch 19]  train_loss: 1.091  val_accuracy: 0.616  train_time: 54.05 s
[epoch 20]  train_loss: 1.048  val_accuracy: 0.739  train_time: 53.71 s
[epoch 21]  train_loss: 1.063  val_accuracy: 0.706  train_time: 53.10 s
[epoch 22]  train_loss: 1.022  val_accuracy: 0.635  train_time: 55.71 s
[epoch 23]  train_loss: 1.049  val_accuracy: 0.673  train_time: 53.17 s
[epoch 24]  train_loss: 1.046  val_accuracy: 0.673  train_time: 53.50 s
[epoch 25]  train_loss: 1.019  val_accuracy: 0.744  train_time: 53.98 s
[epoch 26]  train_loss: 1.008  val_accuracy: 0.687  train_time: 53.08 s
[epoch 27]  train_loss: 1.027  val_accuracy: 0.725  train_time: 54.42 s
[epoch 28]  train_loss: 0.999  val_accuracy: 0.768  train_time: 53.59 s
[epoch 29]  train_loss: 0.979  val_accuracy: 0.711  train_time: 54.74 s
[epoch 30]  train_loss: 1.029  val_accuracy: 0.555  train_time: 54.63 s
[epoch 31]  train_loss: 1.042  val_accuracy: 0.706  train_time: 52.95 s
[epoch 32]  train_loss: 1.038  val_accuracy: 0.659  train_time: 53.56 s
[epoch 33]  train_loss: 1.012  val_accuracy: 0.711  train_time: 54.22 s
[epoch 34]  train_loss: 0.969  val_accuracy: 0.573  train_time: 54.73 s
[epoch 35]  train_loss: 0.972  val_accuracy: 0.758  train_time: 53.68 s
[epoch 36]  train_loss: 0.948  val_accuracy: 0.687  train_time: 53.10 s
[epoch 37]  train_loss: 0.955  val_accuracy: 0.744  train_time: 54.37 s
[epoch 38]  train_loss: 0.965  val_accuracy: 0.768  train_time: 53.63 s
[epoch 39]  train_loss: 0.941  val_accuracy: 0.777  train_time: 54.29 s
[epoch 40]  train_loss: 0.936  val_accuracy: 0.815  train_time: 54.53 s
[epoch 41]  train_loss: 0.963  val_accuracy: 0.744  train_time: 54.12 s
[epoch 42]  train_loss: 0.926  val_accuracy: 0.782  train_time: 54.10 s
[epoch 43]  train_loss: 0.926  val_accuracy: 0.635  train_time: 52.83 s
[epoch 44]  train_loss: 0.891  val_accuracy: 0.801  train_time: 53.80 s
[epoch 45]  train_loss: 0.918  val_accuracy: 0.834  train_time: 54.37 s
[epoch 46]  train_loss: 0.948  val_accuracy: 0.777  train_time: 53.89 s
[epoch 47]  train_loss: 0.918  val_accuracy: 0.815  train_time: 54.45 s
[epoch 48]  train_loss: 0.890  val_accuracy: 0.825  train_time: 53.81 s
[epoch 49]  train_loss: 0.897  val_accuracy: 0.796  train_time: 53.57 s
[epoch 50]  train_loss: 0.903  val_accuracy: 0.791  train_time: 53.87 s
[epoch 51]  train_loss: 0.898  val_accuracy: 0.815  train_time: 53.49 s
[epoch 52]  train_loss: 0.867  val_accuracy: 0.588  train_time: 55.60 s
[epoch 53]  train_loss: 0.899  val_accuracy: 0.692  train_time: 53.03 s
[epoch 54]  train_loss: 0.902  val_accuracy: 0.810  train_time: 52.80 s
[epoch 55]  train_loss: 0.875  val_accuracy: 0.787  train_time: 54.33 s
[epoch 56]  train_loss: 0.873  val_accuracy: 0.844  train_time: 54.38 s
[epoch 57]  train_loss: 0.828  val_accuracy: 0.815  train_time: 53.48 s
[epoch 58]  train_loss: 0.829  val_accuracy: 0.806  train_time: 53.82 s
[epoch 59]  train_loss: 0.826  val_accuracy: 0.725  train_time: 54.05 s
[epoch 60]  train_loss: 0.838  val_accuracy: 0.867  train_time: 54.92 s
[epoch 61]  train_loss: 0.868  val_accuracy: 0.768  train_time: 54.04 s
[epoch 62]  train_loss: 0.826  val_accuracy: 0.806  train_time: 52.86 s
[epoch 63]  train_loss: 0.885  val_accuracy: 0.825  train_time: 54.45 s
[epoch 64]  train_loss: 0.863  val_accuracy: 0.791  train_time: 55.67 s
[epoch 65]  train_loss: 0.909  val_accuracy: 0.616  train_time: 53.54 s
[epoch 66]  train_loss: 0.846  val_accuracy: 0.825  train_time: 53.15 s
[epoch 67]  train_loss: 0.841  val_accuracy: 0.327  train_time: 54.08 s
[epoch 68]  train_loss: 0.901  val_accuracy: 0.844  train_time: 53.79 s
[epoch 69]  train_loss: 0.846  val_accuracy: 0.829  train_time: 53.81 s
[epoch 70]  train_loss: 0.788  val_accuracy: 0.839  train_time: 53.03 s
[epoch 71]  train_loss: 0.772  val_accuracy: 0.829  train_time: 54.91 s
[epoch 72]  train_loss: 0.772  val_accuracy: 0.853  train_time: 54.32 s
[epoch 73]  train_loss: 0.793  val_accuracy: 0.867  train_time: 53.08 s
[epoch 74]  train_loss: 0.799  val_accuracy: 0.858  train_time: 54.06 s
[epoch 75]  train_loss: 0.796  val_accuracy: 0.773  train_time: 54.06 s
[epoch 76]  train_loss: 0.772  val_accuracy: 0.782  train_time: 55.02 s
[epoch 77]  train_loss: 0.763  val_accuracy: 0.877  train_time: 53.90 s
[epoch 78]  train_loss: 0.799  val_accuracy: 0.863  train_time: 54.66 s
[epoch 79]  train_loss: 0.788  val_accuracy: 0.806  train_time: 54.48 s
[epoch 80]  train_loss: 0.833  val_accuracy: 0.844  train_time: 53.70 s
[epoch 81]  train_loss: 0.835  val_accuracy: 0.758  train_time: 54.32 s
[epoch 82]  train_loss: 0.800  val_accuracy: 0.877  train_time: 52.82 s
[epoch 83]  train_loss: 0.801  val_accuracy: 0.796  train_time: 55.65 s
[epoch 84]  train_loss: 0.761  val_accuracy: 0.863  train_time: 53.90 s
[epoch 85]  train_loss: 0.796  val_accuracy: 0.815  train_time: 53.19 s
[epoch 86]  train_loss: 0.804  val_accuracy: 0.848  train_time: 54.95 s
[epoch 87]  train_loss: 0.752  val_accuracy: 0.536  train_time: 53.99 s
[epoch 88]  train_loss: 0.796  val_accuracy: 0.839  train_time: 54.36 s
[epoch 89]  train_loss: 0.740  val_accuracy: 0.825  train_time: 54.37 s
