[epoch 1]  train_loss: 1.348  val_accuracy: 0.395  train_time: 65.16 s
[epoch 2]  train_loss: 1.325  val_accuracy: 0.467  train_time: 60.17 s
[epoch 3]  train_loss: 1.270  val_accuracy: 0.490  train_time: 61.08 s
[epoch 4]  train_loss: 1.233  val_accuracy: 0.433  train_time: 59.75 s
[epoch 5]  train_loss: 1.239  val_accuracy: 0.548  train_time: 61.69 s
[epoch 6]  train_loss: 1.203  val_accuracy: 0.487  train_time: 60.00 s
[epoch 7]  train_loss: 1.154  val_accuracy: 0.602  train_time: 61.79 s
[epoch 8]  train_loss: 1.100  val_accuracy: 0.644  train_time: 59.38 s
[epoch 9]  train_loss: 1.069  val_accuracy: 0.590  train_time: 60.78 s
[epoch 10]  train_loss: 1.039  val_accuracy: 0.667  train_time: 62.12 s
[epoch 11]  train_loss: 1.010  val_accuracy: 0.736  train_time: 60.17 s
[epoch 12]  train_loss: 0.984  val_accuracy: 0.739  train_time: 60.23 s
[epoch 13]  train_loss: 0.962  val_accuracy: 0.736  train_time: 59.08 s
[epoch 14]  train_loss: 0.978  val_accuracy: 0.663  train_time: 59.85 s
[epoch 15]  train_loss: 0.954  val_accuracy: 0.743  train_time: 59.80 s
[epoch 16]  train_loss: 0.897  val_accuracy: 0.766  train_time: 61.80 s
[epoch 17]  train_loss: 0.939  val_accuracy: 0.766  train_time: 60.18 s
[epoch 18]  train_loss: 0.934  val_accuracy: 0.751  train_time: 59.60 s
[epoch 19]  train_loss: 0.892  val_accuracy: 0.793  train_time: 60.50 s
[epoch 20]  train_loss: 0.876  val_accuracy: 0.728  train_time: 59.63 s
[epoch 21]  train_loss: 0.865  val_accuracy: 0.812  train_time: 61.88 s
[epoch 22]  train_loss: 0.838  val_accuracy: 0.674  train_time: 59.25 s
[epoch 23]  train_loss: 0.852  val_accuracy: 0.793  train_time: 60.56 s
[epoch 24]  train_loss: 0.847  val_accuracy: 0.797  train_time: 59.29 s
[epoch 25]  train_loss: 0.826  val_accuracy: 0.797  train_time: 59.80 s
[epoch 26]  train_loss: 0.811  val_accuracy: 0.644  train_time: 59.80 s
[epoch 27]  train_loss: 0.855  val_accuracy: 0.824  train_time: 62.45 s
[epoch 28]  train_loss: 0.843  val_accuracy: 0.805  train_time: 58.73 s
[epoch 29]  train_loss: 0.786  val_accuracy: 0.824  train_time: 59.37 s
[epoch 30]  train_loss: 0.793  val_accuracy: 0.801  train_time: 59.94 s
[epoch 31]  train_loss: 0.790  val_accuracy: 0.801  train_time: 58.72 s
[epoch 32]  train_loss: 0.792  val_accuracy: 0.843  train_time: 62.99 s
[epoch 33]  train_loss: 0.795  val_accuracy: 0.828  train_time: 60.30 s
[epoch 34]  train_loss: 0.817  val_accuracy: 0.816  train_time: 60.35 s
[epoch 35]  train_loss: 0.748  val_accuracy: 0.820  train_time: 60.29 s
[epoch 36]  train_loss: 0.782  val_accuracy: 0.682  train_time: 59.62 s
[epoch 37]  train_loss: 0.777  val_accuracy: 0.797  train_time: 61.37 s
[epoch 38]  train_loss: 0.767  val_accuracy: 0.824  train_time: 59.24 s
[epoch 39]  train_loss: 0.755  val_accuracy: 0.870  train_time: 59.01 s
[epoch 40]  train_loss: 0.748  val_accuracy: 0.870  train_time: 58.99 s
[epoch 41]  train_loss: 0.773  val_accuracy: 0.847  train_time: 59.04 s
[epoch 42]  train_loss: 0.770  val_accuracy: 0.854  train_time: 59.46 s
[epoch 43]  train_loss: 0.764  val_accuracy: 0.889  train_time: 61.63 s
[epoch 44]  train_loss: 0.760  val_accuracy: 0.789  train_time: 59.68 s
[epoch 45]  train_loss: 0.754  val_accuracy: 0.866  train_time: 59.45 s
[epoch 46]  train_loss: 0.754  val_accuracy: 0.816  train_time: 59.01 s
[epoch 47]  train_loss: 0.793  val_accuracy: 0.808  train_time: 60.43 s
[epoch 48]  train_loss: 0.711  val_accuracy: 0.893  train_time: 61.95 s
[epoch 49]  train_loss: 0.731  val_accuracy: 0.885  train_time: 59.38 s
[epoch 50]  train_loss: 0.689  val_accuracy: 0.858  train_time: 59.97 s
[epoch 51]  train_loss: 0.690  val_accuracy: 0.889  train_time: 59.89 s
[epoch 52]  train_loss: 0.697  val_accuracy: 0.851  train_time: 60.62 s
[epoch 53]  train_loss: 0.699  val_accuracy: 0.877  train_time: 61.96 s
[epoch 54]  train_loss: 0.668  val_accuracy: 0.858  train_time: 62.62 s
[epoch 55]  train_loss: 0.692  val_accuracy: 0.747  train_time: 59.95 s
[epoch 56]  train_loss: 0.702  val_accuracy: 0.816  train_time: 59.10 s
[epoch 57]  train_loss: 0.680  val_accuracy: 0.824  train_time: 59.66 s
[epoch 58]  train_loss: 0.649  val_accuracy: 0.889  train_time: 59.16 s
[epoch 59]  train_loss: 0.665  val_accuracy: 0.862  train_time: 62.03 s
[epoch 60]  train_loss: 0.667  val_accuracy: 0.816  train_time: 59.39 s
[epoch 61]  train_loss: 0.683  val_accuracy: 0.843  train_time: 59.35 s
[epoch 62]  train_loss: 0.645  val_accuracy: 0.866  train_time: 59.85 s
[epoch 63]  train_loss: 0.659  val_accuracy: 0.851  train_time: 58.71 s
[epoch 64]  train_loss: 0.668  val_accuracy: 0.831  train_time: 60.43 s
[epoch 65]  train_loss: 0.672  val_accuracy: 0.877  train_time: 62.71 s
[epoch 66]  train_loss: 0.698  val_accuracy: 0.885  train_time: 60.17 s
[epoch 67]  train_loss: 0.686  val_accuracy: 0.881  train_time: 59.76 s
[epoch 68]  train_loss: 0.640  val_accuracy: 0.877  train_time: 60.16 s
[epoch 69]  train_loss: 0.652  val_accuracy: 0.874  train_time: 59.47 s
[epoch 70]  train_loss: 0.628  val_accuracy: 0.847  train_time: 62.22 s
[epoch 71]  train_loss: 0.598  val_accuracy: 0.862  train_time: 60.29 s
[epoch 72]  train_loss: 0.626  val_accuracy: 0.885  train_time: 59.13 s
[epoch 73]  train_loss: 0.635  val_accuracy: 0.858  train_time: 59.96 s
[epoch 74]  train_loss: 0.624  val_accuracy: 0.789  train_time: 59.94 s
[epoch 75]  train_loss: 0.640  val_accuracy: 0.858  train_time: 59.79 s
[epoch 76]  train_loss: 0.623  val_accuracy: 0.874  train_time: 61.88 s
[epoch 77]  train_loss: 0.618  val_accuracy: 0.874  train_time: 59.15 s
[epoch 78]  train_loss: 0.624  val_accuracy: 0.858  train_time: 59.49 s
[epoch 79]  train_loss: 0.611  val_accuracy: 0.866  train_time: 59.33 s
[epoch 80]  train_loss: 0.626  val_accuracy: 0.866  train_time: 59.54 s
[epoch 81]  train_loss: 0.637  val_accuracy: 0.858  train_time: 61.87 s
[epoch 82]  train_loss: 0.668  val_accuracy: 0.851  train_time: 60.71 s
[epoch 83]  train_loss: 0.611  val_accuracy: 0.885  train_time: 61.69 s
