[epoch 1]  train_loss: 1.257  val_accuracy: 0.763  train_time: 63.96 s
[epoch 2]  train_loss: 0.926  val_accuracy: 0.768  train_time: 56.97 s
[epoch 3]  train_loss: 0.840  val_accuracy: 0.810  train_time: 57.89 s
[epoch 4]  train_loss: 0.809  val_accuracy: 0.848  train_time: 56.88 s
[epoch 5]  train_loss: 0.728  val_accuracy: 0.853  train_time: 57.40 s
[epoch 6]  train_loss: 0.751  val_accuracy: 0.853  train_time: 57.39 s
[epoch 7]  train_loss: 0.753  val_accuracy: 0.834  train_time: 57.67 s
[epoch 8]  train_loss: 0.752  val_accuracy: 0.858  train_time: 57.64 s
[epoch 9]  train_loss: 0.655  val_accuracy: 0.900  train_time: 57.36 s
[epoch 10]  train_loss: 0.676  val_accuracy: 0.882  train_time: 57.70 s
[epoch 11]  train_loss: 0.674  val_accuracy: 0.872  train_time: 57.11 s
[epoch 12]  train_loss: 0.702  val_accuracy: 0.886  train_time: 56.92 s
[epoch 13]  train_loss: 0.668  val_accuracy: 0.896  train_time: 58.30 s
[epoch 14]  train_loss: 0.644  val_accuracy: 0.910  train_time: 58.00 s
[epoch 15]  train_loss: 0.630  val_accuracy: 0.891  train_time: 56.91 s
[epoch 16]  train_loss: 0.643  val_accuracy: 0.900  train_time: 56.99 s
[epoch 17]  train_loss: 0.619  val_accuracy: 0.910  train_time: 56.57 s
[epoch 18]  train_loss: 0.660  val_accuracy: 0.929  train_time: 59.66 s
[epoch 19]  train_loss: 0.642  val_accuracy: 0.896  train_time: 57.36 s
[epoch 20]  train_loss: 0.599  val_accuracy: 0.919  train_time: 56.98 s
[epoch 21]  train_loss: 0.589  val_accuracy: 0.929  train_time: 56.52 s
[epoch 22]  train_loss: 0.622  val_accuracy: 0.900  train_time: 57.66 s
[epoch 23]  train_loss: 0.608  val_accuracy: 0.919  train_time: 57.88 s
[epoch 24]  train_loss: 0.621  val_accuracy: 0.891  train_time: 57.71 s
[epoch 25]  train_loss: 0.580  val_accuracy: 0.919  train_time: 57.10 s
[epoch 26]  train_loss: 0.577  val_accuracy: 0.896  train_time: 58.21 s
[epoch 27]  train_loss: 0.561  val_accuracy: 0.886  train_time: 58.05 s
[epoch 28]  train_loss: 0.562  val_accuracy: 0.915  train_time: 57.57 s
[epoch 29]  train_loss: 0.627  val_accuracy: 0.896  train_time: 57.73 s
[epoch 30]  train_loss: 0.560  val_accuracy: 0.915  train_time: 58.55 s
[epoch 31]  train_loss: 0.573  val_accuracy: 0.919  train_time: 58.91 s
