[epoch 1]  train_loss: 1.252  val_accuracy: 0.716  train_time: 61.49 s
[epoch 2]  train_loss: 0.965  val_accuracy: 0.692  train_time: 55.50 s
[epoch 3]  train_loss: 0.895  val_accuracy: 0.787  train_time: 57.14 s
[epoch 4]  train_loss: 0.833  val_accuracy: 0.787  train_time: 57.76 s
[epoch 5]  train_loss: 0.774  val_accuracy: 0.872  train_time: 56.28 s
[epoch 6]  train_loss: 0.715  val_accuracy: 0.858  train_time: 56.60 s
[epoch 7]  train_loss: 0.742  val_accuracy: 0.891  train_time: 56.79 s
[epoch 8]  train_loss: 0.691  val_accuracy: 0.844  train_time: 56.49 s
[epoch 9]  train_loss: 0.686  val_accuracy: 0.891  train_time: 57.45 s
[epoch 10]  train_loss: 0.694  val_accuracy: 0.924  train_time: 57.88 s
[epoch 11]  train_loss: 0.650  val_accuracy: 0.938  train_time: 57.24 s
[epoch 12]  train_loss: 0.650  val_accuracy: 0.924  train_time: 56.69 s
[epoch 13]  train_loss: 0.695  val_accuracy: 0.938  train_time: 56.66 s
[epoch 14]  train_loss: 0.618  val_accuracy: 0.934  train_time: 56.94 s
[epoch 15]  train_loss: 0.628  val_accuracy: 0.905  train_time: 54.52 s
[epoch 16]  train_loss: 0.623  val_accuracy: 0.929  train_time: 57.11 s
[epoch 17]  train_loss: 0.620  val_accuracy: 0.929  train_time: 56.65 s
[epoch 18]  train_loss: 0.644  val_accuracy: 0.915  train_time: 56.11 s
[epoch 19]  train_loss: 0.622  val_accuracy: 0.915  train_time: 55.80 s
[epoch 20]  train_loss: 0.592  val_accuracy: 0.891  train_time: 55.69 s
[epoch 21]  train_loss: 0.616  val_accuracy: 0.919  train_time: 55.92 s
[epoch 22]  train_loss: 0.614  val_accuracy: 0.924  train_time: 56.63 s
[epoch 23]  train_loss: 0.578  val_accuracy: 0.924  train_time: 56.12 s
[epoch 24]  train_loss: 0.617  val_accuracy: 0.919  train_time: 56.12 s
[epoch 25]  train_loss: 0.573  val_accuracy: 0.929  train_time: 56.08 s
[epoch 26]  train_loss: 0.549  val_accuracy: 0.934  train_time: 56.42 s
[epoch 27]  train_loss: 0.604  val_accuracy: 0.938  train_time: 57.55 s
[epoch 28]  train_loss: 0.564  val_accuracy: 0.924  train_time: 56.32 s
[epoch 29]  train_loss: 0.534  val_accuracy: 0.943  train_time: 55.75 s
[epoch 30]  train_loss: 0.566  val_accuracy: 0.929  train_time: 56.43 s
[epoch 31]  train_loss: 0.547  val_accuracy: 0.919  train_time: 56.18 s
[epoch 32]  train_loss: 0.531  val_accuracy: 0.929  train_time: 54.83 s
[epoch 33]  train_loss: 0.549  val_accuracy: 0.900  train_time: 58.47 s
[epoch 34]  train_loss: 0.541  val_accuracy: 0.910  train_time: 56.27 s
[epoch 35]  train_loss: 0.522  val_accuracy: 0.910  train_time: 55.85 s
[epoch 36]  train_loss: 0.543  val_accuracy: 0.915  train_time: 55.24 s
[epoch 37]  train_loss: 0.518  val_accuracy: 0.924  train_time: 56.16 s
[epoch 38]  train_loss: 0.498  val_accuracy: 0.943  train_time: 56.51 s
[epoch 39]  train_loss: 0.519  val_accuracy: 0.948  train_time: 56.30 s
[epoch 40]  train_loss: 0.544  val_accuracy: 0.919  train_time: 55.10 s
[epoch 41]  train_loss: 0.528  val_accuracy: 0.924  train_time: 55.66 s
[epoch 42]  train_loss: 0.526  val_accuracy: 0.948  train_time: 55.96 s
[epoch 43]  train_loss: 0.551  val_accuracy: 0.957  train_time: 55.32 s
[epoch 44]  train_loss: 0.499  val_accuracy: 0.938  train_time: 56.17 s
[epoch 45]  train_loss: 0.503  val_accuracy: 0.943  train_time: 56.24 s
[epoch 46]  train_loss: 0.513  val_accuracy: 0.924  train_time: 56.96 s
[epoch 47]  train_loss: 0.531  val_accuracy: 0.934  train_time: 57.25 s
[epoch 48]  train_loss: 0.513  val_accuracy: 0.943  train_time: 56.96 s
[epoch 49]  train_loss: 0.502  val_accuracy: 0.905  train_time: 56.30 s
[epoch 50]  train_loss: 0.484  val_accuracy: 0.919  train_time: 55.08 s
[epoch 51]  train_loss: 0.501  val_accuracy: 0.943  train_time: 58.39 s
[epoch 52]  train_loss: 0.502  val_accuracy: 0.900  train_time: 55.72 s
[epoch 53]  train_loss: 0.468  val_accuracy: 0.910  train_time: 55.06 s
[epoch 54]  train_loss: 0.488  val_accuracy: 0.924  train_time: 56.33 s
[epoch 55]  train_loss: 0.471  val_accuracy: 0.934  train_time: 57.11 s
[epoch 56]  train_loss: 0.472  val_accuracy: 0.915  train_time: 56.72 s
[epoch 57]  train_loss: 0.484  val_accuracy: 0.924  train_time: 55.08 s
[epoch 58]  train_loss: 0.450  val_accuracy: 0.929  train_time: 56.48 s
[epoch 59]  train_loss: 0.460  val_accuracy: 0.938  train_time: 56.84 s
[epoch 60]  train_loss: 0.451  val_accuracy: 0.910  train_time: 56.22 s
[epoch 61]  train_loss: 0.525  val_accuracy: 0.934  train_time: 56.49 s
[epoch 62]  train_loss: 0.531  val_accuracy: 0.929  train_time: 56.07 s
[epoch 63]  train_loss: 0.478  val_accuracy: 0.943  train_time: 57.40 s
[epoch 64]  train_loss: 0.486  val_accuracy: 0.929  train_time: 56.05 s
[epoch 65]  train_loss: 0.501  val_accuracy: 0.919  train_time: 55.99 s
[epoch 66]  train_loss: 0.458  val_accuracy: 0.924  train_time: 55.75 s
[epoch 67]  train_loss: 0.433  val_accuracy: 0.962  train_time: 55.58 s
[epoch 68]  train_loss: 0.454  val_accuracy: 0.938  train_time: 59.57 s
[epoch 69]  train_loss: 0.535  val_accuracy: 0.891  train_time: 58.31 s
[epoch 70]  train_loss: 0.475  val_accuracy: 0.934  train_time: 59.13 s
[epoch 71]  train_loss: 0.443  val_accuracy: 0.929  train_time: 57.73 s
[epoch 72]  train_loss: 0.473  val_accuracy: 0.905  train_time: 58.47 s
[epoch 73]  train_loss: 0.477  val_accuracy: 0.910  train_time: 56.34 s
[epoch 74]  train_loss: 0.475  val_accuracy: 0.943  train_time: 58.77 s
[epoch 75]  train_loss: 0.454  val_accuracy: 0.938  train_time: 56.70 s
[epoch 76]  train_loss: 0.469  val_accuracy: 0.943  train_time: 57.07 s
[epoch 77]  train_loss: 0.452  val_accuracy: 0.924  train_time: 56.36 s
[epoch 78]  train_loss: 0.470  val_accuracy: 0.948  train_time: 56.88 s
[epoch 79]  train_loss: 0.448  val_accuracy: 0.915  train_time: 56.49 s
[epoch 80]  train_loss: 0.432  val_accuracy: 0.924  train_time: 56.38 s
[epoch 81]  train_loss: 0.399  val_accuracy: 0.934  train_time: 56.62 s
[epoch 82]  train_loss: 0.424  val_accuracy: 0.919  train_time: 56.78 s
[epoch 83]  train_loss: 0.419  val_accuracy: 0.915  train_time: 56.26 s
[epoch 84]  train_loss: 0.413  val_accuracy: 0.929  train_time: 55.30 s
[epoch 85]  train_loss: 0.431  val_accuracy: 0.919  train_time: 57.26 s
[epoch 86]  train_loss: 0.400  val_accuracy: 0.882  train_time: 56.47 s
[epoch 87]  train_loss: 0.429  val_accuracy: 0.929  train_time: 56.04 s
[epoch 88]  train_loss: 0.408  val_accuracy: 0.905  train_time: 55.53 s
[epoch 89]  train_loss: 0.398  val_accuracy: 0.934  train_time: 55.47 s
[epoch 90]  train_loss: 0.421  val_accuracy: 0.938  train_time: 56.03 s
[epoch 91]  train_loss: 0.435  val_accuracy: 0.938  train_time: 56.20 s
[epoch 92]  train_loss: 0.401  val_accuracy: 0.938  train_time: 55.37 s
[epoch 93]  train_loss: 0.414  val_accuracy: 0.943  train_time: 56.45 s
[epoch 94]  train_loss: 0.405  val_accuracy: 0.929  train_time: 55.95 s
[epoch 95]  train_loss: 0.414  val_accuracy: 0.905  train_time: 55.83 s
