[epoch 1]  train_loss: 1.086  val_accuracy: 0.747  train_time: 79.39 s
[epoch 2]  train_loss: 0.746  val_accuracy: 0.828  train_time: 72.48 s
[epoch 3]  train_loss: 0.701  val_accuracy: 0.824  train_time: 72.94 s
[epoch 4]  train_loss: 0.658  val_accuracy: 0.858  train_time: 71.09 s
[epoch 5]  train_loss: 0.614  val_accuracy: 0.893  train_time: 70.49 s
[epoch 6]  train_loss: 0.617  val_accuracy: 0.897  train_time: 70.99 s
[epoch 7]  train_loss: 0.580  val_accuracy: 0.904  train_time: 70.74 s
[epoch 8]  train_loss: 0.586  val_accuracy: 0.897  train_time: 71.33 s
[epoch 9]  train_loss: 0.595  val_accuracy: 0.900  train_time: 70.86 s
[epoch 10]  train_loss: 0.537  val_accuracy: 0.923  train_time: 70.74 s
[epoch 11]  train_loss: 0.535  val_accuracy: 0.904  train_time: 69.33 s
[epoch 12]  train_loss: 0.511  val_accuracy: 0.897  train_time: 71.68 s
[epoch 13]  train_loss: 0.514  val_accuracy: 0.908  train_time: 69.75 s
[epoch 14]  train_loss: 0.498  val_accuracy: 0.923  train_time: 69.72 s
[epoch 15]  train_loss: 0.523  val_accuracy: 0.943  train_time: 69.73 s
[epoch 16]  train_loss: 0.496  val_accuracy: 0.908  train_time: 70.10 s
[epoch 17]  train_loss: 0.497  val_accuracy: 0.923  train_time: 69.83 s
[epoch 18]  train_loss: 0.464  val_accuracy: 0.923  train_time: 69.80 s
[epoch 19]  train_loss: 0.492  val_accuracy: 0.935  train_time: 69.39 s
[epoch 20]  train_loss: 0.486  val_accuracy: 0.943  train_time: 69.07 s
[epoch 21]  train_loss: 0.481  val_accuracy: 0.893  train_time: 69.15 s
[epoch 22]  train_loss: 0.509  val_accuracy: 0.935  train_time: 70.76 s
[epoch 23]  train_loss: 0.485  val_accuracy: 0.935  train_time: 69.35 s
[epoch 24]  train_loss: 0.518  val_accuracy: 0.916  train_time: 70.73 s
[epoch 25]  train_loss: 0.440  val_accuracy: 0.946  train_time: 70.96 s
[epoch 26]  train_loss: 0.462  val_accuracy: 0.958  train_time: 71.65 s
[epoch 27]  train_loss: 0.475  val_accuracy: 0.916  train_time: 72.43 s
[epoch 28]  train_loss: 0.483  val_accuracy: 0.946  train_time: 72.28 s
[epoch 29]  train_loss: 0.450  val_accuracy: 0.943  train_time: 72.52 s
[epoch 30]  train_loss: 0.453  val_accuracy: 0.950  train_time: 72.72 s
[epoch 31]  train_loss: 0.441  val_accuracy: 0.931  train_time: 72.13 s
[epoch 32]  train_loss: 0.425  val_accuracy: 0.943  train_time: 71.85 s
[epoch 33]  train_loss: 0.443  val_accuracy: 0.950  train_time: 71.86 s
[epoch 34]  train_loss: 0.419  val_accuracy: 0.935  train_time: 72.03 s
[epoch 35]  train_loss: 0.455  val_accuracy: 0.931  train_time: 71.71 s
[epoch 36]  train_loss: 0.451  val_accuracy: 0.923  train_time: 71.02 s
[epoch 37]  train_loss: 0.416  val_accuracy: 0.950  train_time: 72.18 s
[epoch 38]  train_loss: 0.402  val_accuracy: 0.939  train_time: 71.28 s
[epoch 39]  train_loss: 0.441  val_accuracy: 0.950  train_time: 72.11 s
[epoch 40]  train_loss: 0.469  val_accuracy: 0.939  train_time: 72.04 s
[epoch 41]  train_loss: 0.463  val_accuracy: 0.954  train_time: 71.38 s
[epoch 42]  train_loss: 0.440  val_accuracy: 0.927  train_time: 71.42 s
[epoch 43]  train_loss: 0.398  val_accuracy: 0.950  train_time: 72.34 s
[epoch 44]  train_loss: 0.390  val_accuracy: 0.962  train_time: 71.30 s
[epoch 45]  train_loss: 0.407  val_accuracy: 0.931  train_time: 71.32 s
[epoch 46]  train_loss: 0.431  val_accuracy: 0.943  train_time: 71.58 s
[epoch 47]  train_loss: 0.422  val_accuracy: 0.954  train_time: 71.74 s
[epoch 48]  train_loss: 0.435  val_accuracy: 0.931  train_time: 71.16 s
[epoch 49]  train_loss: 0.422  val_accuracy: 0.954  train_time: 71.20 s
[epoch 50]  train_loss: 0.408  val_accuracy: 0.943  train_time: 72.28 s
[epoch 51]  train_loss: 0.427  val_accuracy: 0.943  train_time: 72.96 s
[epoch 52]  train_loss: 0.450  val_accuracy: 0.931  train_time: 73.00 s
[epoch 53]  train_loss: 0.423  val_accuracy: 0.958  train_time: 73.63 s
[epoch 54]  train_loss: 0.431  val_accuracy: 0.962  train_time: 73.70 s
[epoch 55]  train_loss: 0.412  val_accuracy: 0.954  train_time: 72.06 s
[epoch 56]  train_loss: 0.412  val_accuracy: 0.939  train_time: 71.87 s
